gene,dark-tolerant_cluster,parental_cluster,same_periodicity_pattern,resolved_locus_tag,resolution_method
AtpT,4,10,False,PMN2A_2168,multi:gene
Yfr1,1,11,False,,unresolved
Yfr10.like_1,15,15,True,,unresolved
Yfr10.like_2,7,6,False,,unresolved
Yfr10.like_4,14,2,False,,unresolved
Yfr103_1,6,6,True,,unresolved
Yfr103_2,6,6,True,,unresolved
Yfr106,1,1,True,,unresolved
Yfr107,4,8,False,PMN2A_0573,multi:gene
Yfr108,7,7,True,,unresolved
Yfr13,10,9,False,,unresolved
Yfr22_1,15,15,True,,unresolved
Yfr22_2,9,9,True,,unresolved
Yfr22_3,9,9,True,,unresolved
Yfr23,9,9,True,,unresolved
Yfr2_1,9,9,True,,unresolved
Yfr2_2,14,1,False,,unresolved
Yfr2_3,15,11,False,PMN2A_1926,multi:gene
Yfr2_4,2,1,False,,unresolved
cds-PMN2A_RS01135,7,10,False,PMN2A_1548,heuristic:gene
cds-PMN2A_RS05260,14,12,False,,unresolved
cds-PMN2A_RS09840,12,12,True,PMN2A_2187,heuristic:gene
cds-WP_009788866.1,5,11,False,PMN2A_1073,heuristic_multi:gene
cds-WP_011125327.1-2,1,15,False,PMN2A_0604,multi:gene
cds-WP_011125327.1-3,1,1,True,PMN2A_0941,multi:gene
cds-WP_011125758.1,5,11,False,PMN2A_0985,heuristic_multi:gene
cds-WP_011130577.1,5,11,False,PMN2A_1878,heuristic_multi:gene
cds-WP_011293535.1,9,9,True,PMN2A_0001,heuristic_multi:gene
cds-WP_011293536.1,14,11,False,PMN2A_0002,heuristic_multi:gene
cds-WP_011293537.1,10,8,False,PMN2A_0003,heuristic_multi:gene
cds-WP_011293538.1,4,8,False,PMN2A_0004,heuristic_multi:gene
cds-WP_011293539.1,8,8,True,PMN2A_0005,heuristic_multi:gene
cds-WP_011293540.1,7,9,False,PMN2A_0006,heuristic_multi:gene
cds-WP_011293541.1,7,9,False,PMN2A_0007,heuristic_multi:gene
