seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_019393.1,dnaA,dnaA,AMAD1_RS00010,amad1_00010,Protein Homology,696,2360,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516525.1,chromosomal replication initiator protein DnaA,WP_020744861.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",,amad1_00010,
NC_019393.1,dnaN,dnaN,AMAD1_RS00015,amad1_00015,Protein Homology,2393,3493,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_015065833.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,amad1_00015,2.7.7.7
NC_019393.1,recF,recF,AMAD1_RS00020,amad1_00020,Protein Homology,3605,4693,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_041702942.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,amad1_00020,
NC_019393.1,gyrB,gyrB,AMAD1_RS00025,amad1_00025,Protein Homology,4702,7122,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_015065835.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,amad1_00025,5.6.2.2
NC_019393.1,AMAD1_RS00030,,AMAD1_RS00030,amad1_00030,Protein Homology,7333,7776,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,putative periplasmic lipoprotein,WP_015065836.1,,,,,,amad1_00030,
NC_019393.1,glyS,glyS,AMAD1_RS00035,amad1_00035,Protein Homology,7861,9939,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_015065837.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,amad1_00035,6.1.1.14
NC_019393.1,glyQ,glyQ,AMAD1_RS00040,amad1_00040,Protein Homology,9942,10847,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_012516531.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,amad1_00040,6.1.1.14
NC_019393.1,AMAD1_RS00045,,AMAD1_RS00045,amad1_00045,Protein Homology,10993,11601,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_015065838.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,amad1_00045,3.2.2.20
NC_019393.1,AMAD1_RS00050,,AMAD1_RS00050,amad1_00050,Protein Homology,11688,12155,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516533.1,DUF2489 domain-containing protein,WP_012516533.1,,,,,,amad1_00050,
NC_019393.1,yihI,yihI,AMAD1_RS00055,amad1_00055,Protein Homology,12174,12677,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_015065839.1,,,,,,amad1_00055,
