locus_tag,dark_count_rpkm,light_count_rpkm,log2_fold_change,direction,infection_status,time_point_h,inoculation_type,gene_function,pathway,resolved_locus_tag,resolution_method
PMM0356,14936,1565,3.255,up,uninfected,8.5,spent medium,Proline iminopeptidase (EC 3.4.11.5),Arginine and proline metabolism,PMM0356,locus_tag:locus_tag
PMM1176,2905,391,2.893,up,uninfected,8.5,spent medium,"Possible Helix-turn-helix protein, CopG family",Transcriptional regulation,PMM1176,locus_tag:locus_tag
PMM1058,1619,229,2.82,up,uninfected,8.5,spent medium,"petG, Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)",Photosynthesis,PMM1058,locus_tag:locus_tag
PMM1179,498,151,1.722,up,uninfected,8.5,spent medium,Permease of the drug/metabolite transporter (DMT) superfamily,Transport,PMM1179,locus_tag:locus_tag
PMM0747,489,170,1.52,up,uninfected,8.5,spent medium,"pcyA, Phycocyanobilin:ferredoxin oxidoreductase (EC 1.3.7.5)",Porphyrin and chlorophyll metabolism,PMM0747,locus_tag:locus_tag
PMM1289,72,809,-3.487,down,uninfected,8.5,spent medium,"Cyanobacteria-specific RpoD-like sigma factor, type-12",RNA polymerase,PMM1289,locus_tag:locus_tag
PMM1309,62,637,-3.355,down,uninfected,8.5,spent medium,"ftsZ, Cell division protein FtsZ (EC 3.4.24.-)",Cell division,PMM1309,locus_tag:locus_tag
PMM0577,122,1109,-3.18,down,uninfected,8.5,spent medium,"Cyanobacteria-specific RpoD-like sigma factor, type-14",Transcriptional regulation,PMM0577,locus_tag:locus_tag
PMM0245,112,846,-2.917,down,uninfected,8.5,spent medium,cob(I)alamin adenosyltransferase,Porphyrin and chlorophyll metabolism,PMM0245,locus_tag:locus_tag
PMM1711,159,1051,-2.724,down,uninfected,8.5,spent medium,"sps, Sucrose phosphate synthase( EC:2.4.1.14 )",Starch and sucrose metabolism,PMM1711,locus_tag:locus_tag
PMM0244,154,1010,-2.711,down,uninfected,8.5,spent medium,"dcd, Deoxycytidine triphosphate deaminase (EC 3.5.4.13)",Pyrimidine metabolism,PMM0244,locus_tag:locus_tag
PMM0502,93,530,-2.514,down,uninfected,8.5,spent medium,Single-stranded DNA-binding protein,Replication,PMM0502,locus_tag:locus_tag
PMM0243,124,570,-2.196,down,uninfected,8.5,spent medium,"thyX, Thymidylate synthase thyX (EC 2.1.1.-)",Pyrimidine metabolism,PMM0243,locus_tag:locus_tag
PMM0330,100,456,-2.19,down,uninfected,8.5,spent medium,Possible LysM domain,Cell membrane,PMM0330,locus_tag:locus_tag
PMM0779,112,482,-2.11,down,uninfected,8.5,spent medium,"purS, Phosphoribosylformylglycinamidine synthase (EC 6.3.5.3)",Purine metabolism,PMM0779,locus_tag:locus_tag
PMM0661,262,1109,-2.081,down,uninfected,8.5,spent medium,"nrdJ, Ribonucleotide reductase class II (B12-dependent) (EC 1.17.4.1)",Purine and pyrimidine metabolism,PMM0661,locus_tag:locus_tag
PMM0576,131,549,-2.069,down,uninfected,8.5,spent medium,COG3339 conserved hypothetical protein,(unknown),PMM0576,locus_tag:locus_tag
PMM0660,802,3322,-2.051,down,uninfected,8.5,spent medium,Possible RNA recognition motif (RRM),Translational regulation,PMM0660,locus_tag:locus_tag
PMM0519,363,1410,-1.958,down,uninfected,8.5,spent medium,"talB, Transaldolase (EC 2.2.1.2)",Pentose phosphate pathway,PMM0519,locus_tag:locus_tag
PMM0970,297,1109,-1.899,down,uninfected,8.5,spent medium,"urtA, Urea ABC transporter, substrate binding protein UrtA",ABC transporters,PMM0970,locus_tag:locus_tag
,147,544,-1.893,down,uninfected,8.5,spent medium,Protein family PM-1,(unknown),,empty
PMM1611,164,599,-1.87,down,uninfected,8.5,spent medium,"thiC, Thiamin biosynthesis protein ThiC",Thiamine metabolism,PMM1611,locus_tag:locus_tag
PMM1321,771,2759,-1.839,down,uninfected,8.5,spent medium,Bacterial histone-like DNA-binding protein,DNA-binding proteins,PMM1321,locus_tag:locus_tag
PMM1150,223,746,-1.741,down,uninfected,8.5,spent medium,Thioredoxin reductase (EC 1.8.1.9),Pyrimidine metabolism,PMM1150,locus_tag:locus_tag
PMM0387,165,526,-1.676,down,uninfected,8.5,spent medium,"aroD, 3-dehydroquinate dehydratase II (EC 4.2.1.10)","Phe, Tyr and Trp biosynthesis",PMM0387,locus_tag:locus_tag
PMM0920,197,624,-1.665,down,uninfected,8.5,spent medium,"glnA, Glutamine synthetase type I (EC 6.3.1.2)","Alanine, aspartate and glutamate metabolism",PMM0920,locus_tag:locus_tag
PMM1657,391,1181,-1.596,down,uninfected,8.5,spent medium,"clpX, ATP-dependent Clp protease ATP-binding subunit ClpX",Proteolysis,PMM1657,locus_tag:locus_tag
PMM1148,1281,3829,-1.579,down,uninfected,8.5,spent medium,Possible 7kD DNA-binding domain,DNA-binding proteins,PMM1148,locus_tag:locus_tag
PMM1697,367,1095,-1.579,down,uninfected,8.5,spent medium,"Cyanobacteria-specific RpoD-like sigma factor, type-13",RNA polymerase,PMM1697,locus_tag:locus_tag
PMM0258,239,687,-1.52,down,uninfected,8.5,spent medium,"glyA, Serine hydroxymethyltransferase (EC 2.1.2.1)","Glycine, serine and threonine metabolism",PMM0258,locus_tag:locus_tag
PMM1145,146,413,-1.502,down,uninfected,8.5,spent medium,"pntB, NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)",Nicotinate and nicotinamide metabolism,PMM1145,locus_tag:locus_tag
PMM1568,888,2513,-1.501,down,uninfected,8.5,spent medium,Hypothetical membrane protein,Membrane proteins,PMM1568,locus_tag:locus_tag
