locus_tag,infected_count_rpkm,uninfected_count_rpkm,log2_fold_change,direction,light_condition,time_point_h,gene_function,pathway,resolved_locus_tag,resolution_method
PMM0272,6608,3754,0.816,up,light,8.5,"psbK, Photosystem II protein PsbK",Photosynthesis: PSII,PMM0272,locus_tag:locus_tag
RNA_17,1806,1051,0.781,up,light,8.5,"tRNA-Val2, tRNA-Val-TAC",Protein translation,,unresolved
PMM0223,27918,19335,0.53,up,light,8.5,"psbA, Photosystem II protein D1 (PsbA)",Photosynthesis: PSII,PMM0223,locus_tag:locus_tag
PMM1402,203,452,-1.152,down,light,8.5,Ferredoxin-NADP(+) reductase (EC 1.18.1.2) (FNR),Photosynthetic electron transport,PMM1402,locus_tag:locus_tag
PMM0987,1481,3102,-1.067,down,light,8.5,"rpsU, SSU ribosomal protein S21p",Ribosome,PMM0987,locus_tag:locus_tag
PMM1007,218,415,-0.928,down,light,8.5,Cell division protein FtsK,Cell division,PMM1007,locus_tag:locus_tag
PMM1183,2051,3476,-0.761,down,light,8.5,"rpmH, LSU ribosomal protein L34p",Ribosome,PMM1183,locus_tag:locus_tag
PMM0870,3918,6476,-0.725,down,light,8.5,"rpmG, LSU ribosomal protein L33p",Ribosome,PMM0870,locus_tag:locus_tag
PMM0732,657,1048,-0.674,down,light,8.5,Possible major surface glycoprotein,Cell surface glycoproteins,PMM0732,locus_tag:locus_tag
RNA_8,1792,2774,-0.63,down,light,8.5,"tRNA-Lys1, tRNA-Lys-TTT",Protein translation,,unresolved
PMM0870,4417,6814,-0.625,down,light,8.5,"rpmG, SSU ribosomal protein S18p",Ribosome,PMM0870,locus_tag:locus_tag
PMM0500,602,920,-0.611,down,light,8.5,Cyanobacterial protein slr0575,(unknown),PMM0500,locus_tag:locus_tag
PMM1171,766,1160,-0.598,down,light,8.5,"isiB, Flavodoxin 1",Photosynthetic electron transport,PMM1171,locus_tag:locus_tag
PMM1655,428,648,-0.598,down,light,8.5,"tig, Cell division trigger factor (EC 5.2.1.8)",Cell division,PMM1655,locus_tag:locus_tag
PMM1344,1691,2522,-0.577,down,light,8.5,"rplU, LSU ribosomal protein L21p",Ribosome,PMM1344,locus_tag:locus_tag
PMM0943,2555,3798,-0.572,down,light,8.5,"rpsO, SSU ribosomal protein S15p (S13e)",Ribosome,PMM0943,locus_tag:locus_tag
