SeqID	Localization	Score
WP_001083515.1 MULTISPECIES: methylation-associated defense system helix-turn-helix domain-containing protein MAD1 [Gammaproteobacteria]	Unknown	2.00
WP_007106064.1 MULTISPECIES: phosphoribosyl-AMP cyclohydrolase [Alteromonadales]	Cytoplasmic	9.26
WP_007106065.1 MULTISPECIES: mercuric transporter MerT family protein [Alteromonadales]	CytoplasmicMembrane	10.00
WP_007106067.1 MULTISPECIES: mercuric transporter MerT family protein [Alteromonadales]	CytoplasmicMembrane	10.00
WP_007146785.1 MULTISPECIES: helix-turn-helix transcriptional regulator [Gammaproteobacteria]	Unknown	2.00
WP_008110847.1 MULTISPECIES: mercury resistance system periplasmic binding protein MerP [Pseudomonadota]	Unknown	2.50
WP_008110853.1 MULTISPECIES: MerR family transcriptional regulator [Gammaproteobacteria]	Cytoplasmic	8.96
WP_008295681.1 MULTISPECIES: broad-spectrum mercury transporter MerE [Pseudomonadota]	CytoplasmicMembrane	9.82
WP_008295683.1 MULTISPECIES: transposase [Pseudomonadota]	Unknown	2.00
WP_008295684.1 MULTISPECIES: group III truncated hemoglobin [Gammaproteobacteria]	Cytoplasmic	8.96
WP_008295685.1 MULTISPECIES: Glu/Leu/Phe/Val family dehydrogenase [Gammaproteobacteria]	Cytoplasmic	9.97
WP_008301732.1 MULTISPECIES: IS21-like element helper ATPase IstB [Alteromonadaceae]	Cytoplasmic	8.96
WP_008467329.1 MULTISPECIES: mercury(II) reductase [Gammaproteobacteria]	Unknown	6.49
WP_008467336.1 MULTISPECIES: recombinase family protein [Gammaproteobacteria]	Cytoplasmic	8.96
WP_008844395.1 MULTISPECIES: translation initiation factor IF-1 [Alteromonadaceae]	Cytoplasmic	9.97
WP_010179497.1 MULTISPECIES: 30S ribosomal protein S10 [Alteromonadaceae]	Cytoplasmic	9.97
WP_012516525.1 MULTISPECIES: chromosomal replication initiator protein DnaA [Alteromonas]	Cytoplasmic	9.54
WP_012516528.1 DNA topoisomerase (ATP-hydrolyzing) subunit B [Alteromonas mediterranea]	Cytoplasmic	9.97
WP_012516529.1 putative periplasmic lipoprotein [Alteromonas mediterranea]	Unknown	2.50
WP_012516530.1 glycine--tRNA ligase subunit beta [Alteromonas mediterranea]	Cytoplasmic	9.97
WP_012516531.1 MULTISPECIES: glycine--tRNA ligase subunit alpha [Alteromonas]	Cytoplasmic	9.97
WP_012516532.1 MULTISPECIES: DNA-3-methyladenine glycosylase I [Alteromonas]	Unknown	2.00
WP_012516533.1 MULTISPECIES: DUF2489 domain-containing protein [Alteromonas]	CytoplasmicMembrane	9.82
WP_012516534.1 Der GTPase-activating protein YihI [Alteromonas mediterranea]	Cytoplasmic	8.96
WP_012516536.1 MULTISPECIES: c-type cytochrome [Alteromonas]	Periplasmic	10.00
WP_012516537.1 MULTISPECIES: ribosome biogenesis GTP-binding protein YihA/YsxC [Alteromonas]	Cytoplasmic	8.96
WP_012516538.1 DNA polymerase I [Alteromonas mediterranea]	Cytoplasmic	9.97
WP_012516539.1 isoprenoid biosynthesis glyoxalase ElbB [Alteromonas mediterranea]	Cytoplasmic	9.26
WP_012516540.1 MULTISPECIES: TrkH family potassium uptake protein [Alteromonas]	CytoplasmicMembrane	10.00
WP_012516541.1 MULTISPECIES: Trk system potassium transporter TrkA [Alteromonas]	CytoplasmicMembrane	7.88
WP_012516542.1 16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB [Alteromonas mediterranea]	Cytoplasmic	9.97
WP_012516543.1 methionyl-tRNA formyltransferase [Alteromonas mediterranea]	Cytoplasmic	9.97
WP_012516544.1 MULTISPECIES: peptide deformylase [Alteromonas]	Cytoplasmic	9.97
WP_012516545.1 MULTISPECIES: LysM peptidoglycan-binding domain-containing protein [Alteromonas]	Unknown	4.90
WP_012516546.1 MULTISPECIES: DNA-processing protein DprA [Alteromonas]	Unknown	2.00
WP_012516547.1 MULTISPECIES: DUF494 family protein [Alteromonas]	Cytoplasmic	8.96
WP_012516548.1 MULTISPECIES: DNA topoisomerase family protein [Alteromonas]	Unknown	2.00
WP_012516549.1 MULTISPECIES: L-threonylcarbamoyladenylate synthase type 1 TsaC [Alteromonas]	Unknown	2.00
WP_012516550.1 MULTISPECIES: oxygen-dependent coproporphyrinogen oxidase [Alteromonas]	Cytoplasmic	9.97
WP_012516551.1 MULTISPECIES: OmpW family outer membrane protein [Alteromonas]	OuterMembrane	10.00
WP_012516552.1 MULTISPECIES: group II truncated hemoglobin [Alteromonas]	Cytoplasmic	8.96
WP_012516553.1 shikimate dehydrogenase [Alteromonas mediterranea]	Cytoplasmic	9.26
WP_012516554.1 MULTISPECIES: gamma carbonic anhydrase family protein [Alteromonas]	Cytoplasmic	9.97
WP_012516556.1 acyloxyacyl hydrolase [Alteromonas mediterranea]	Unknown	2.50
WP_012516557.1 MULTISPECIES: substrate-binding periplasmic protein [Alteromonas]	Unknown	2.50
WP_012516558.1 MULTISPECIES: type 2 periplasmic-binding domain-containing protein [Alteromonas]	Unknown	2.00
