locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0001,2,2.23,0.1,0.07,0.0,"DNA replication, recombination, and repair","DNA polymerase III, beta chain",3h,PMM0001,locus_tag:locus_tag
PMM0008,2,2.39,0.48,0.34,0.01,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0008,locus_tag:locus_tag
PMM0013,2,0.16,0.31,0.22,1.0,"Fatty acid, phospholipid and sterol metabolism",RNA-binding region RNP-1 (RNA recognition motif),3h,PMM0013,locus_tag:locus_tag
PMM0015,2,-1.69,0.59,0.41,0.27,Conserved hypothetical protein,Domain of unknown function DUF25,3h,PMM0015,locus_tag:locus_tag
PMM0016,2,2.0,0.0,0.0,0.02,Chaperones,Heat shock protein GrpE,3h,PMM0016,locus_tag:locus_tag
PMM0017,2,0.57,0.1,0.07,0.85,Chaperones,DnaJ protein,3h,PMM0017,locus_tag:locus_tag
PMM0020,2,5.88,2.68,1.89,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0020,locus_tag:locus_tag
PMM0023,2,-0.73,1.62,1.15,1.0,CO2 fixation,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),3h,PMM0023,locus_tag:locus_tag
PMM0025,2,2.18,0.56,0.4,0.01,Protein modification and translation factors,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,3h,PMM0025,locus_tag:locus_tag
PMM0026,2,0.09,0.27,0.19,1.0,Protein modification and translation factors,Elongation factor P (EF-P),3h,PMM0026,locus_tag:locus_tag
PMM0027,2,2.07,0.61,0.43,0.02,"Fatty acid, phospholipid and sterol metabolism",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier...,3h,PMM0027,locus_tag:locus_tag
PMM0030,2,0.36,0.04,0.03,0.9,Protein modification and translation factors,possible Transcription factor TFIID (or TATA-b,3h,PMM0030,locus_tag:locus_tag
PMM0031,2,-0.81,1.12,0.79,1.0,"DNA replication, recombination, and repair",HNH endonuclease:HNH nuclease,3h,PMM0031,locus_tag:locus_tag
PMM0032,2,-0.46,0.0,0.0,1.0,Protein and peptide secretion,possible Bacterial type II secretion system pr,3h,PMM0032,locus_tag:locus_tag
PMM0033,2,-1.7,0.77,0.55,0.25,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0033,locus_tag:locus_tag
PMM0034,2,2.41,0.04,0.03,0.01,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0034,locus_tag:locus_tag
PMM0035,2,0.87,0.6,0.43,1.0,Hydrogenase,soluble hydrogenase small subunit,3h,PMM0035,locus_tag:locus_tag
PMM0037,2,-2.08,0.64,0.45,0.01,Purine ribonucleotide biosynthesis,Glutamine amidotransferase class-I:GMP synthase,3h,PMM0037,locus_tag:locus_tag
PMM0043,2,0.25,0.71,0.51,1.0,Other,flavoprotein,3h,PMM0043,locus_tag:locus_tag
PMM0046,2,1.69,0.41,0.29,0.08,Interconversions and salvage of nucleosides and nucleotides,,3h,PMM0046,locus_tag:locus_tag
PMM0048,2,0.4,0.21,0.15,1.0,Aminoacyl tRNA synthetases and tRNA modification Glutamyl-tRNA (Gln) amidotransferase subunit B,,3h,PMM0048,locus_tag:locus_tag
PMM0051,2,4.52,0.18,0.13,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0051,locus_tag:locus_tag
PMM0055,2,2.43,0.72,0.51,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0055,locus_tag:locus_tag
PMM0056,2,3.76,0.03,0.02,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0056,locus_tag:locus_tag
PMM0058,2,0.12,1.33,0.94,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0058,locus_tag:locus_tag
PMM0059,2,-1.66,0.48,0.34,0.29,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0059,locus_tag:locus_tag
PMM0060,2,0.06,0.68,0.48,1.0,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, biotin carboxylase subunit",3h,PMM0060,locus_tag:locus_tag
PMM0061,2,0.7,0.84,0.59,0.65,Other,"YGGT family, conserved hypothetical integral membrane protein",3h,PMM0061,locus_tag:locus_tag
PMM0062,2,3.87,1.92,1.36,0.0,Photosystem II,photosystem II PsbX protein,3h,PMM0062,locus_tag:locus_tag
PMM0063,2,-0.85,0.32,0.22,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0063,locus_tag:locus_tag
PMM0064,2,-1.05,0.38,0.27,0.71,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0064,locus_tag:locus_tag
PMM0068,2,0.83,0.7,0.49,0.71,Regulatory functions,putative formylmethionine deformylase,3h,PMM0068,locus_tag:locus_tag
PMM0073,2,0.54,1.12,0.79,1.0,Transport and binding proteins,"ABC transporter, membrane component",3h,PMM0073,locus_tag:locus_tag
PMM0075,2,-1.42,2.31,1.63,0.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0075,locus_tag:locus_tag
PMM0078,2,-1.43,1.79,1.26,0.69,Other,possible 4'-phosphopantetheinyl transferase family protein,3h,PMM0078,locus_tag:locus_tag
PMM0079,2,-0.42,1.15,0.81,1.0,Transport and binding proteins,putative bacterioferritin comigratory (BCP) protein,3h,PMM0079,locus_tag:locus_tag
PMM0081,2,0.98,0.83,0.59,0.74,Serine family / Sulfur assimilation,Phosphoadenosine phosphosulfate reductase,3h,PMM0081,locus_tag:locus_tag
PMM0082,2,-1.91,0.22,0.16,0.08,Regulatory functions,"putative NADH dehydrogenase, transport associated",3h,PMM0082,locus_tag:locus_tag
PMM0083,2,-0.39,0.37,0.26,1.0,Regulatory functions,"putative sodium/sulfate transporter, DASS family",3h,PMM0083,locus_tag:locus_tag
PMM0085,2,1.1,0.49,0.35,0.61,Regulatory functions,"putative potassium channel, VIC family",3h,PMM0085,locus_tag:locus_tag
PMM0086,2,1.46,1.73,1.22,0.39,Conserved hypothetical protein,Conserved hypothetical protein,3h,PMM0086,locus_tag:locus_tag
PMM0087,2,-1.03,1.08,0.77,0.48,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0087,locus_tag:locus_tag
PMM0088,2,-1.0,0.18,0.12,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0088,locus_tag:locus_tag
PMM0091,2,1.21,0.29,0.21,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0091,locus_tag:locus_tag
PMM0092,2,0.91,1.17,0.83,0.47,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0092,locus_tag:locus_tag
PMM0093,2,-1.87,0.41,0.29,1.0,Adaptations and atypical conditions,possible high light inducible protein,3h,PMM0093,locus_tag:locus_tag
PMM0095,2,-0.2,0.78,0.55,1.0,Other,similar to serum resistance locus BrkB,3h,PMM0095,locus_tag:locus_tag
PMM0099,2,-0.5,0.31,0.22,0.95,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0099,locus_tag:locus_tag
PMM0101,2,0.25,0.16,0.11,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0101,locus_tag:locus_tag
PMM0103,2,1.18,0.68,0.48,0.49,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0103,locus_tag:locus_tag
PMM0105,2,-3.02,1.74,1.23,0.03,Riboflavin,RibD/ribG C-terminal domain,3h,PMM0105,locus_tag:locus_tag
PMM0106,2,-2.05,0.35,0.25,0.57,Other,6-pyruvoyl tetrahydropterin synthase,3h,PMM0106,locus_tag:locus_tag
PMM0111,2,-2.27,0.03,0.02,0.01,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0111,locus_tag:locus_tag
PMM0114,2,-0.86,0.06,0.04,0.8,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0114,locus_tag:locus_tag
PMM0115,2,-0.72,0.27,0.19,1.0,Carotenoid,zeta-carotene desaturase,3h,PMM0115,locus_tag:locus_tag
PMM0116,2,-0.92,0.17,0.12,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0116,locus_tag:locus_tag
PMM0117,2,-1.82,1.76,1.25,0.61,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0117,locus_tag:locus_tag
PMM0120,2,-1.58,0.5,0.35,0.08,Cell division,putative cell division inhibitor,3h,PMM0120,locus_tag:locus_tag
PMM0121,2,-0.54,0.23,0.16,1.0,Conserved hypothetical protein,conserved hypothetical protein,3h,PMM0121,locus_tag:locus_tag
PMM0123,2,0.63,2.65,1.87,1.0,Serine family / Sulfur assimilation,O-acetylserine (thiol)-lyase A,3h,PMM0123,locus_tag:locus_tag
PMM0124,2,-1.88,1.47,1.04,0.1,Conserved hypothetical protein,conserved hypothetical protein in cyanobacteria,3h,PMM0124,locus_tag:locus_tag
PMM0125,2,-1.21,2.22,1.57,0.81,Transport and binding proteins,"possible ABC transporter, ATP-binding component",3h,PMM0125,locus_tag:locus_tag
PMM0126,2,1.23,0.57,0.4,0.61,Other,possible Herpesvirus UL6 like,3h,PMM0126,locus_tag:locus_tag
PMM0128,2,2.03,0.02,0.01,0.05,Regulatory functions,two-component response regulator,3h,PMM0128,locus_tag:locus_tag
PMM0132,2,-0.46,0.59,0.42,1.0,Other,cyanobacterial conserved hypothetical,3h,PMM0132,locus_tag:locus_tag
PMM0133,2,-0.37,0.31,0.22,0.86,Radiation sensitivity,putative DNA repair protein RadA,3h,PMM0133,locus_tag:locus_tag
PMM0134,2,2.57,0.76,0.54,0.0,Regulatory functions,two-component response regulator,3h,PMM0134,locus_tag:locus_tag
PMM0136,2,-0.4,0.11,0.08,1.0,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier-protein] synthase III,3h,PMM0136,locus_tag:locus_tag
