seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NZ_CP097527.1,M8001_RS00005,,M8001_RS00005,M8001_00005,Protein Homology,147,1019,-,,,COORDINATES: similar to AA sequence:RefSeq:NP_254249.1,ParB/RepB/Spo0J family partition protein,WP_003253185.1,GO:0003677,,DNA binding|0003677||IEA,,,M8001_00005,
NZ_CP097527.1,M8001_RS00010,,M8001_RS00010,M8001_00010,Protein Homology,1029,1820,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_003253182.1,ParA family protein,WP_003253182.1,"GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,,M8001_00010,
NZ_CP097527.1,rsmG,rsmG,M8001_RS00015,M8001_00015,Protein Homology,1839,2489,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_020294935.1,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,WP_003253179.1,"GO:0031167,GO:0046118,GO:0008168",,methyltransferase activity|0008168||IEA,"rRNA methylation|0031167||IEA,7-methylguanosine biosynthetic process|0046118||IEA",,M8001_00015,2.1.1.170
NZ_CP097527.1,mnmG,mnmG,M8001_RS00020,M8001_00020,Protein Homology,2486,4378,-,,,COORDINATES: similar to AA sequence:RefSeq:NP_254252.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,WP_049588470.1,"GO:0002098,GO:0008033",,,"tRNA wobble uridine modification|0002098||IEA,tRNA processing|0008033||IEA",,M8001_00020,
NZ_CP097527.1,mnmE,mnmE,M8001_RS00025,M8001_00025,Protein Homology,5012,6382,-,,,COORDINATES: similar to AA sequence:RefSeq:NP_254254.1,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,WP_010951424.1,"GO:0006400,GO:0003924,GO:0005515,GO:0005525",,"GTPase activity|0003924||IEA,protein binding|0005515||IEA,GTP binding|0005525||IEA",tRNA modification|0006400||IEA,,M8001_00025,3.6.-.-
NZ_CP097527.1,yidC,yidC,M8001_RS00030,M8001_00030,Protein Homology,6471,8153,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015886658.1,membrane protein insertase YidC,WP_010951425.1,"GO:0032977,GO:0016020",membrane|0016020||IEA,membrane insertase activity|0032977||IEA,,,M8001_00030,
NZ_CP097527.1,yidD,yidD,M8001_RS00035,M8001_00035,Protein Homology,8156,8401,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_003253169.1,membrane protein insertion efficiency factor YidD,WP_010951426.1,,,,,,M8001_00035,
NZ_CP097527.1,rnpA,rnpA,M8001_RS00040,M8001_00040,Protein Homology,8394,8798,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_003260020.1,ribonuclease P protein component,WP_003253166.1,"GO:0008033,GO:0000049,GO:0004526",,"tRNA binding|0000049||IEA,ribonuclease P activity|0004526||IEA",tRNA processing|0008033||IEA,,M8001_00040,3.1.26.5
NZ_CP097527.1,rpmH,rpmH,M8001_RS00045,M8001_00045,Protein Homology,8812,8946,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002551315.1,50S ribosomal protein L34,WP_003253163.1,"GO:0006412,GO:0003735,GO:0000315,GO:0022625","organellar large ribosomal subunit|0000315||IEA,cytosolic large ribosomal subunit|0022625||IEA",structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,M8001_00045,
NZ_CP097527.1,dnaA,dnaA,M8001_RS00050,M8001_00050,Protein Homology,9542,11062,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_010951427.1,chromosomal replication initiator protein DnaA,WP_010951427.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",,M8001_00050,
NZ_CP097527.1,dnaN,dnaN,M8001_RS00055,M8001_00055,Protein Homology,11103,12206,+,,,COORDINATES: similar to AA sequence:RefSeq:NP_064722.1,DNA polymerase III subunit beta,WP_003253156.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,M8001_00055,2.7.7.7
NZ_CP097527.1,recF,recF,M8001_RS00060,M8001_00060,Protein Homology,12222,13325,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_003253154.1,DNA replication/repair protein RecF,WP_003253154.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,M8001_00060,
