seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_004113.1,TLL_RS00005,,TLL_RS00005,tlr0001,Protein Homology,129,1142,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055856.1,zinc-dependent alcohol dehydrogenase family protein,WP_011055856.1,,,,,,tlr0001,
NC_004113.1,TLL_RS00010,,TLL_RS00010,tll0002,Protein Homology,1351,2502,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011056518.1,trypsin-like peptidase domain-containing protein,WP_164920627.1,,,,,,tll0002,
NC_004113.1,TLL_RS00015,,TLL_RS00015,tsr0004,GeneMarkS-2+,2577,2762,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011055859.1,,,,,,tsr0004,
NC_004113.1,ureC,ureC,TLL_RS00020,tlr0005,Protein Homology,2816,4534,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055860.1,urease subunit alpha,WP_011055860.1,"GO:0019627,GO:0009039,GO:0016151",,"urease activity|0009039||IEA,nickel cation binding|0016151||IEA",urea metabolic process|0019627||IEA,,tlr0005,3.5.1.5
NC_004113.1,TLL_RS00025,,TLL_RS00025,tlr0006,GeneMarkS-2+,4538,5032,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011055861.1,,,,,,tlr0006,
NC_004113.1,xcsA,xcsA,TLL_RS00030,tll0007,Protein Homology,5430,7640,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055862.1,cellulose synthase XcsA,WP_011055862.1,,,,,,tll0007,
NC_004113.1,TLL_RS00035,,TLL_RS00035,tll0008,Protein Homology,7667,8746,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055863.1,PIN/TRAM domain-containing protein,WP_011055863.1,,,,,,tll0008,
NC_004113.1,TLL_RS00040,,TLL_RS00040,tll0009,Protein Homology,8796,9758,-,,,COORDINATES: protein motif:HMM:NF040096.5,HMA2 domain-containing protein,WP_011055864.1,,,,,,tll0009,
NC_004113.1,TLL_RS00045,,TLL_RS00045,tlr0010,Protein Homology,9864,10886,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011244254.1,ABC transporter ATP-binding protein,WP_164920628.1,GO:0005524,,ATP binding|0005524||IEA,,,tlr0010,
NC_004113.1,TLL_RS00050,,TLL_RS00050,tlr0011,Protein Homology,10886,11296,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055866.1,hypothetical protein,WP_011055866.1,,,,,,tlr0011,
NC_004113.1,TLL_RS00055,,TLL_RS00055,tlr0012,Protein Homology,11299,12438,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055867.1,LptF/LptG family permease,WP_011055867.1,"GO:0055085,GO:0042626,GO:0140359,GO:0016020,GO:0043190","membrane|0016020||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA","ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",transmembrane transport|0055085||IEA,,tlr0012,
NC_004113.1,TLL_RS00060,,TLL_RS00060,tll0013,Protein Homology,12457,13638,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055868.1,M20 family metallopeptidase,WP_011055868.1,,,,,,tll0013,
NC_004113.1,TLL_RS00065,,TLL_RS00065,tll0014,Protein Homology,13685,14158,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055869.1,CYTH domain-containing protein,WP_011055869.1,,,,,,tll0014,
NC_004113.1,TLL_RS00070,,TLL_RS00070,tll0015,Protein Homology,14162,15625,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055870.1,carotenoid oxygenase family protein,WP_011055870.1,"GO:0006720,GO:0016702,GO:0046872",,"oxidoreductase activity%2C acting on single donors with incorporation of molecular oxygen%2C incorporation of two atoms of oxygen|0016702||IEA,metal ion binding|0046872||IEA",isoprenoid metabolic process|0006720||IEA,,tll0015,1.13.11.-
NC_004113.1,TLL_RS00075,,TLL_RS00075,tll0016,Protein Homology,15622,16977,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011055871.1,folate/biopterin family MFS transporter,WP_011055871.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,,tll0016,
