alt_id,locus_tag,source_col,source_csv,paper
sync_0349,sync_0349,symbol,table_S1_CC9311.csv,Barreto 2022
sync_0667,sync_0667,symbol,table_S1_CC9311.csv,Barreto 2022
sync_0716,sync_0716,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1050,sync_1050,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1066,sync_1066,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1112,sync_1112,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1494,sync_1494,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1816,sync_1816,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2238,sync_2238,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2304,sync_2304,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2439,sync_2439,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2681,sync_2681,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2757,sync_2757,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2764,sync_2764,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2775,sync_2775,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2793,sync_2793,symbol,table_S1_CC9311.csv,Barreto 2022
sync_0840,sync_0840,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1063,sync_1063,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1121,sync_1121,symbol,table_S1_CC9311.csv,Barreto 2022
sync_1814,sync_1814,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2182,sync_2182,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2421,sync_2421,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2425,sync_2425,symbol,table_S1_CC9311.csv,Barreto 2022
sync_2758,sync_2758,symbol,table_S1_CC9311.csv,Barreto 2022
