gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
SY28_RS00005,,SY28_RS00005,SY28_00005,Protein Homology,293,1348,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014979.1,HD domain-containing phosphohydrolase,WP_223299629.1,,,,,,SY28_00005,
SY28_RS00010,,SY28_RS00010,SY28_00010,Protein Homology,1476,2309,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014978.1,carbohydrate ABC transporter permease,WP_027888844.1,"GO:0008643,GO:0055085,GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA","carbohydrate transport|0008643||IEA,transmembrane transport|0055085||IEA",,SY28_00010,
SY28_RS00015,,SY28_RS00015,SY28_00015,Protein Homology,2371,3165,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_016328442.1,carbohydrate ABC transporter permease,WP_027888843.1,"GO:0008643,GO:0055085",,,"carbohydrate transport|0008643||IEA,transmembrane transport|0055085||IEA",,SY28_00015,
SY28_RS00020,,SY28_RS00020,SY28_00020,Protein Homology,3246,4445,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014976.1,ABC transporter substrate-binding protein,WP_027888842.1,,,,,,SY28_00020,
SY28_RS00025,,SY28_RS00025,SY28_00025,Protein Homology,4677,5915,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014975.1,LeuA family protein,WP_027886519.1,,,,,,SY28_00025,
SY28_RS00030,,SY28_RS00030,SY28_00030,Protein Homology,5972,7222,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014974.1,3-isopropylmalate dehydratase large subunit,WP_027886518.1,"GO:0009098,GO:0003861,GO:0046872,GO:0051539",,"3-isopropylmalate dehydratase activity|0003861||IEA,metal ion binding|0046872||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",L-leucine biosynthetic process|0009098||IEA,,SY28_00030,4.2.1.33
SY28_RS00035,,SY28_RS00035,SY28_00035,Protein Homology,7215,7718,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014973.1,LeuD/DmdB family oxidoreductase small subunit,WP_027886517.1,GO:0016836,,hydro-lyase activity|0016836||IEA,,,SY28_00035,
SY28_RS00040,,SY28_RS00040,SY28_00040,Protein Homology,7740,8051,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014972.1,paraquat-inducible protein A,WP_027886516.1,,,,,,SY28_00040,
lysW,lysW,SY28_RS00045,SY28_00045,Protein Homology,8074,8238,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011229005.1,lysine biosynthesis protein LysW,WP_027886515.1,GO:0019878,,,lysine biosynthetic process via aminoadipic acid|0019878||IEA,,SY28_00045,
lysX,lysX,SY28_RS00050,SY28_00050,Protein Homology,8287,9132,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014970.1,lysine biosynthesis protein LysX,WP_027886514.1,"GO:0009085,GO:0003824,GO:0005524",,"catalytic activity|0003824||IEA,ATP binding|0005524||IEA",lysine biosynthetic process|0009085||IEA,,SY28_00050,
argC,argC,SY28_RS00055,SY28_00055,Protein Homology,9136,10176,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014969.1,N-acetyl-gamma-glutamyl-phosphate reductase,WP_027886513.1,"GO:0006526,GO:0006592,GO:0003942,GO:0070401",,"N-acetyl-gamma-glutamyl-phosphate reductase activity|0003942||IEA,NADP+ binding|0070401||IEA","L-arginine biosynthetic process|0006526||IEA,ornithine biosynthetic process|0006592||IEA",,SY28_00055,1.2.1.38
yjjX,yjjX,SY28_RS00060,SY28_00060,Protein Homology,10180,10704,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_013014968.1,inosine/xanthosine triphosphatase,WP_027886512.1,"GO:0046128,GO:0016462,GO:0005737",cytoplasm|0005737||IEA,pyrophosphatase activity|0016462||IEA,purine ribonucleoside metabolic process|0046128||IEA,,SY28_00060,3.6.1.-
