Gene id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,locus_tag
A9601_00011,11.77,12.93,10.61,0.82,-0.29,0.4,0.65,A9601_00011
A9601_00021,59.53,59.99,59.07,0.98,-0.02,0.86,0.97,A9601_00021
A9601_00041,44.53,48.65,40.4,0.83,-0.27,0.17,0.36,A9601_00041
A9601_00051,4.36,5.0,3.72,0.74,-0.43,0.43,0.67,A9601_00051
A9601_00061,9.47,11.48,7.46,0.65,-0.62,0.09,0.24,A9601_00061
A9601_00071,186.34,225.59,147.08,0.65,-0.62,0.0,0.0,A9601_00071
A9601_00121,171.56,171.94,171.19,1.0,-0.01,0.89,0.99,A9601_00121
A9601_00131,16.97,10.73,23.21,2.16,1.11,0.0,0.0,A9601_00131
A9601_00141,27.04,24.08,29.99,1.25,0.32,0.11,0.27,A9601_00141
A9601_00171,2.28,1.75,2.81,1.61,0.69,0.46,0.7,A9601_00171
A9601_00181,13.99,14.26,13.73,0.96,-0.05,0.95,1.0,A9601_00181
A9601_00191,42.26,44.48,40.04,0.9,-0.15,0.39,0.64,A9601_00191
A9601_00241,104.45,98.11,110.8,1.13,0.18,0.29,0.53,A9601_00241
A9601_00281,7.04,4.92,9.16,1.86,0.9,0.01,0.06,A9601_00281
A9601_00291,3.33,3.4,3.25,0.96,-0.06,0.77,0.93,A9601_00291
A9601_00301,8.32,10.03,6.6,0.66,-0.6,0.1,0.25,A9601_00301
A9601_00311,7.76,10.56,4.96,0.47,-1.09,0.02,0.06,A9601_00311
A9601_00321,15.91,18.31,13.52,0.74,-0.44,0.12,0.29,A9601_00321
A9601_00331,36.95,36.85,37.05,1.01,0.01,0.76,0.92,A9601_00331
A9601_00371,12.2,10.58,13.82,1.31,0.39,0.18,0.38,A9601_00371
A9601_00381,3.94,3.91,3.97,1.02,0.02,0.95,1.0,A9601_00381
A9601_00391,14.47,16.52,12.42,0.75,-0.41,0.12,0.29,A9601_00391
A9601_00401,0.18,0.0,0.36,inf,Inf,0.52,0.74,A9601_00401
A9601_00411,20.78,15.93,25.63,1.61,0.69,0.0,0.01,A9601_00411
A9601_00421,20.76,21.98,19.54,0.89,-0.17,0.42,0.67,A9601_00421
A9601_00431,25.38,16.2,34.56,2.13,1.09,0.0,0.0,A9601_00431
A9601_00441,90.99,70.6,111.37,1.58,0.66,0.0,0.0,A9601_00441
A9601_00521,21.15,21.19,21.12,1.0,0,0.93,1.0,A9601_00521
A9601_00531,32.81,41.39,24.22,0.59,-0.77,0.0,0.01,A9601_00531
A9601_00541,5.3,7.14,3.45,0.48,-1.05,0.04,0.12,A9601_00541
A9601_00551,13.63,17.32,9.94,0.57,-0.8,0.0,0.02,A9601_00551
A9601_00561,5.83,5.27,6.39,1.21,0.28,0.51,0.73,A9601_00561
A9601_00571,1.64,1.18,2.1,1.77,0.82,0.28,0.52,A9601_00571
A9601_00581,0.59,0.52,0.66,1.27,0.34,1.0,1.0,A9601_00581
A9601_00591,0.54,0.29,0.79,2.72,1.44,0.62,0.82,A9601_00591
A9601_00601,107.15,127.72,86.57,0.68,-0.56,0.0,0.0,A9601_00601
A9601_00611,131.73,185.1,78.35,0.42,-1.24,0.0,0.0,A9601_00611
A9601_00631,0.06,0.12,0.0,0.0,#NAME?,1.0,1.0,A9601_00631
A9601_00641,6.89,6.82,6.95,1.02,0.03,0.93,1.0,A9601_00641
A9601_00651,6.61,8.21,5.01,0.61,-0.71,0.04,0.13,A9601_00651
A9601_00661,17.26,22.68,11.85,0.52,-0.94,0.0,0.0,A9601_00661
A9601_00671,54.19,56.99,51.39,0.9,-0.15,0.41,0.65,A9601_00671
A9601_00681,48.73,52.55,44.9,0.85,-0.23,0.17,0.37,A9601_00681
A9601_00701,32.97,32.73,33.21,1.01,0.02,0.89,0.99,A9601_00701
A9601_00711,16.42,14.57,18.26,1.25,0.33,0.19,0.39,A9601_00711
A9601_00731,10.25,10.88,9.62,0.88,-0.18,0.88,0.98,A9601_00731
A9601_00741,45.13,51.96,38.31,0.74,-0.44,0.01,0.03,A9601_00741
A9601_00751,283.0,271.71,294.28,1.08,0.12,0.4,0.65,A9601_00751
A9601_00761,6.87,7.06,6.69,0.95,-0.08,0.97,1.0,A9601_00761
A9601_00771,32.64,25.81,39.47,1.53,0.61,0.0,0.01,A9601_00771
A9601_00781,5.67,4.47,6.87,1.54,0.62,0.28,0.52,A9601_00781
A9601_00821,23.61,22.88,24.34,1.06,0.09,0.96,1.0,A9601_00821
A9601_00831,14.45,9.94,18.96,1.91,0.93,0.0,0.02,A9601_00831
A9601_00851,103.85,87.69,120.0,1.37,0.45,0.0,0.0,A9601_00851
A9601_00861,1.22,1.17,1.28,1.09,0.13,1.0,1.0,A9601_00861
A9601_00871,153.91,142.53,165.29,1.16,0.21,0.09,0.24,A9601_00871
A9601_00881,4.29,3.93,4.65,1.18,0.24,0.95,1.0,A9601_00881
A9601_00911,4.23,4.67,3.8,0.81,-0.3,0.53,0.75,A9601_00911
A9601_00921,22.37,27.94,16.8,0.6,-0.73,0.0,0.01,A9601_00921
A9601_00931,7.2,6.86,7.55,1.1,0.14,0.71,0.89,A9601_00931
A9601_00951,8.82,8.57,9.07,1.06,0.08,0.93,1.0,A9601_00951
A9601_00981,23.8,22.89,24.71,1.08,0.11,0.67,0.85,A9601_00981
A9601_00991,12.97,9.44,16.5,1.75,0.81,0.02,0.08,A9601_00991
A9601_01001,58.12,42.66,73.58,1.72,0.79,0.0,0.0,A9601_01001
A9601_01011,40.14,40.12,40.17,1.0,0,1.0,1.0,A9601_01011
A9601_01021,16.01,18.41,13.62,0.74,-0.43,0.26,0.49,A9601_01021
A9601_01031,2.84,3.59,2.1,0.58,-0.78,0.36,0.61,A9601_01031
A9601_01041,11.73,10.19,13.27,1.3,0.38,0.31,0.55,A9601_01041
A9601_01051,2.38,4.25,0.52,0.12,-3.03,0.0,0.0,A9601_01051
A9601_01061,14.85,16.0,13.7,0.86,-0.22,0.3,0.54,A9601_01061
A9601_01071,59.88,66.79,52.98,0.79,-0.33,0.04,0.12,A9601_01071
A9601_01081,48.13,55.47,40.8,0.74,-0.44,0.01,0.05,A9601_01081
A9601_01091,17.95,21.37,14.53,0.68,-0.56,0.13,0.3,A9601_01091
A9601_01101,25.83,29.5,22.16,0.75,-0.41,0.03,0.1,A9601_01101
A9601_01121,12.98,11.5,14.45,1.26,0.33,0.42,0.67,A9601_01121
A9601_01131,10.6,7.93,13.26,1.67,0.74,0.02,0.07,A9601_01131
A9601_01141,24.58,21.33,27.82,1.3,0.38,0.13,0.3,A9601_01141
