Supplementary Dataset 4: List of full set of Prochlorococcus NATL2A genes for which signficant differential expression was observed on exposure to HDPE or PVC leachate (relative to AMP1 control). Gene features are provided based on current NCBI annotation (NC_007335.2)  and cyanobase functional information (http://genome.microbedb.jp/cyanobase/). ,,,,,,,,,,,,
Gene Start,Gene End,Gene Length,NATL2A original locus tag,NATL2A locus tag (2017 NCBI),product,protein_id,COG (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,,,
1805411,1807072,1662,PMN2A_1298,PMN2A_RS09785,ferredoxin--nitrite reductase,WP_011295642.1,Inorganic ion transport and metabolism,-1.79,,,,
1807338,1808228,891,PMN2A_1299,PMN2A_RS09790,nitrite transporter,WP_038655547.1,Inorganic ion transport and metabolism,-1.76,,,,
1542633,1543910,1278,PMN2A_1048,PMN2A_RS08475,urea ABC transporter substrate-binding protein,WP_011295393.1,Amino acid transport and metabolism,-1.68,,,,
1483727,1483954,228,PMN2A_0992,PMN2A_RS08195,hypothetical protein,WP_011295337.1,Not in COGs,-1.18,,,,
1537817,1538326,510,PMN2A_1042,PMN2A_RS08450,hypothetical protein,WP_011295387.1,Not in COGs,-1.13,,,,
1549234,1549461,228,PMN2A_1056,PMN2A_RS08515,hypothetical protein,WP_041711064.1,Not in COGs,-1.09,,,,
1719155,1722268,3114,PMN2A_1227,PMN2A_RS09410,hypothetical protein,WP_011295571.1,Not in COGs,-0.92,-1.60,,,
283254,283985,732,PMN2A_1612,PMN2A_RS01460,global nitrogen regulator NtcA,WP_011294245.1,Signal transduction mechanisms,-0.90,,,,
786615,787121,507,PMN2A_0238,PMN2A_RS04125,hypothetical protein,WP_011293772.1,Not in COGs,-0.78,,,,
1225075,1226505,1431,PMN2A_0733,PMN2A_RS06830,circularly permuted type 2 ATP-grasp protein,WP_011294822.1,Function unknown,-0.77,,,,
297593,299083,1491,PMN2A_1629,PMN2A_RS01545,ammonium transporter,WP_011294262.1,Not in COGs,-0.73,,,,
284041,284967,927,PMN2A_1613,PMN2A_RS01465,hypothetical protein,WP_011294246.1,Function unknown,-0.71,,,,
493604,494518,915,PMN2A_1832,PMN2A_RS02625,acetylglutamate kinase,WP_011294464.1,Amino acid transport and metabolism,-0.68,-0.55,,,
1448962,1449375,414,PMN2A_0953,PMN2A_RS08000,hypothetical protein,WP_011295300.1,Not in COGs,-0.67,,,,
955715,955969,255,PMN2A_0414,PMN2A_RS05070,hypothetical protein,WP_011293948.1,Not in COGs,-0.66,-0.99,,,
1206877,1207239,363,PMN2A_0710,PMN2A_RS06720,hypothetical protein,WP_011294799.1,Not in COGs,-0.65,,,,
1233746,1238377,4632,PMN2A_0736,PMN2A_RS06850,hypothetical protein,WP_011294824.1,Not in COGs,-0.64,,,,
