Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,Unnamed: 11,NAT_homolog,locus_tag
205,1362.0,1158.0,PMT9312_0001,PMT9312_RS00005,DNA polymerase III subunit beta,WP_011375566.1,"Replication, recombination and repair",DNA replication (GO:0006260),,-0.54,,WP_011293961.1,PMT9312_0001
5916,8357.0,2442.0,PMT9312_0005,PMT9312_RS00025,DNA gyrase subunit A,WP_011375570.1,"Replication, recombination and repair",DNA metabolic process (GO:0006259),0.6,,,WP_011293965.1,PMT9312_0005
17768,18262.0,495.0,PMT9312_0015,PMT9312_RS00075,peptide-methionine (R)-S-oxide reductase,WP_011375580.1,Not in COGs,oxidation reduction (GO:0055114),0.48,1.04,,WP_011293975.1,PMT9312_0015
18338,19057.0,720.0,PMT9312_0016,PMT9312_RS00080,nucleotide exchange factor GrpE,WP_011375581.1,"Posttranslational modification, protein turnover, chaperones",protein folding (GO:0006457),0.57,0.68,,WP_011293976.1,PMT9312_0016
20211,20441.0,231.0,PMT9312_0018,PMT9312_RS00090,SirA family protein,WP_011375583.1,"Posttranslational modification, protein turnover, chaperones",tRNA processing (GO:0008033),,0.95,,WP_011293978.1,PMT9312_0018
27324,27884.0,561.0,PMT9312_0026,PMT9312_RS00130,elongation factor P,WP_011375591.1,Translation,translational elongation (GO:0006414),,-0.69,,WP_011293986.1,PMT9312_0026
31106,31516.0,411.0,PMT9312_0032,PMT9312_RS00160,hypothetical protein,WP_011375597.1,Not in COGs,,0.28,-0.5,,WP_011293992.1,PMT9312_0032
32220,32417.0,198.0,PMT9312_0034,PMT9312_RS00170,hypothetical protein,WP_011375599.1,Not in COGs,,0.69,0.76,,,PMT9312_0034
42366,44147.0,1782.0,PMT9312_0043,PMT9312_RS00215,flavin oxidoreductase,WP_011375608.1,Energy production and conversion,,0.33,0.77,,WP_011294007.1,PMT9312_0043
44164,45939.0,1776.0,PMT9312_0044,PMT9312_RS00220,diflavin flavoprotein A,WP_011375609.1,Energy production and conversion,,0.8,1.29,,WP_011294008.1,PMT9312_0044
53900,54517.0,618.0,PMT9312_0050,PMT9312_RS00250,dephospho-CoA kinase,WP_011375615.1,Coenzyme transport and metabolism,coenzyme A biosynthetic process (GO:0015937),,0.74,,WP_011294014.1,PMT9312_0050
56002,56667.0,666.0,PMT9312_0052,PMT9312_RS00260,chromosome partitioning protein ParA,WP_011375617.1,"Cell cycle control, mitosis and meiosis",,0.39,-0.61,,WP_011294042.1,PMT9312_0052
56820,57782.0,963.0,PMT9312_0053,PMT9312_RS00265,aldo/keto reductase,WP_036924439.1,Energy production and conversion,oxidation reduction (GO:0055114),-0.42,-0.79,,WP_011295506.1,PMT9312_0053
58409,59533.0,1125.0,PMT9312_0054,PMT9312_RS00270,RNA methyltransferase,WP_011375619.1,"Replication, recombination and repair",methylation (GO:0032259),,0.53,,WP_011294047.1,PMT9312_0054
