Supplementary Dataset 3: List of full set of Prochlorococcus MIT9312 genes for which signficant differential expression was observed on exposure to HDPE or PVC leachate (relative to AMP1 control). Gene features are provided based on current NCBI annotation (NC007577.1)  and cyanobase functional information (http://genome.microbedb.jp/cyanobase/). ,,,,,,,,,,,,
Gene Start,Gene End,Gene Length,MIT9312 original locus tag,MIT9312 (2017 NCBI),product,protein_id,COG (cyanobase),GO (cyanobase),HDPE log2 Fold change,PVC log2 Fold change,,NAT_homolog
205,1362,1158,PMT9312_0001,PMT9312_RS00005,DNA polymerase III subunit beta,WP_011375566.1,"Replication, recombination and repair",DNA replication (GO:0006260),,-0.54,,WP_011293961.1
5916,8357,2442,PMT9312_0005,PMT9312_RS00025,DNA gyrase subunit A,WP_011375570.1,"Replication, recombination and repair",DNA metabolic process (GO:0006259),0.60,,,WP_011293965.1
17768,18262,495,PMT9312_0015,PMT9312_RS00075,peptide-methionine (R)-S-oxide reductase,WP_011375580.1,Not in COGs,oxidation reduction (GO:0055114),0.48,1.04,,WP_011293975.1
18338,19057,720,PMT9312_0016,PMT9312_RS00080,nucleotide exchange factor GrpE,WP_011375581.1,"Posttranslational modification, protein turnover, chaperones",protein folding (GO:0006457),0.57,0.68,,WP_011293976.1
20211,20441,231,PMT9312_0018,PMT9312_RS00090,SirA family protein,WP_011375583.1,"Posttranslational modification, protein turnover, chaperones",tRNA processing (GO:0008033),,0.95,,WP_011293978.1
27324,27884,561,PMT9312_0026,PMT9312_RS00130,elongation factor P,WP_011375591.1,Translation,translational elongation (GO:0006414),,-0.69,,WP_011293986.1
31106,31516,411,PMT9312_0032,PMT9312_RS00160,hypothetical protein,WP_011375597.1,Not in COGs,,0.28,-0.50,,WP_011293992.1
32220,32417,198,PMT9312_0034,PMT9312_RS00170,hypothetical protein,WP_011375599.1,Not in COGs,,0.69,0.76,,
42366,44147,1782,PMT9312_0043,PMT9312_RS00215,flavin oxidoreductase,WP_011375608.1,Energy production and conversion,,0.33,0.77,,WP_011294007.1
44164,45939,1776,PMT9312_0044,PMT9312_RS00220,diflavin flavoprotein A,WP_011375609.1,Energy production and conversion,,0.80,1.29,,WP_011294008.1
53900,54517,618,PMT9312_0050,PMT9312_RS00250,dephospho-CoA kinase,WP_011375615.1,Coenzyme transport and metabolism,coenzyme A biosynthetic process (GO:0015937),,0.74,,WP_011294014.1
56002,56667,666,PMT9312_0052,PMT9312_RS00260,chromosome partitioning protein ParA,WP_011375617.1,"Cell cycle control, mitosis and meiosis",,0.39,-0.61,,WP_011294042.1
56820,57782,963,PMT9312_0053,PMT9312_RS00265,aldo/keto reductase,WP_036924439.1,Energy production and conversion,oxidation reduction (GO:0055114),-0.42,-0.79,,WP_011295506.1
58409,59533,1125,PMT9312_0054,PMT9312_RS00270,RNA methyltransferase,WP_011375619.1,"Replication, recombination and repair",methylation (GO:0032259),,0.53,,WP_011294047.1
60790,61152,363,PMT9312_0058,PMT9312_RS00285,hypothetical protein,WP_011375622.1,Not in COGs,,-0.80,-0.85,,WP_011294051.1
67553,68899,1347,PMT9312_0062,PMT9312_RS00310,acetyl-CoA carboxylase biotin carboxylase subunit,WP_011375626.1,Lipid transport and metabolism,metabolic process (GO:0008152),-0.49,-1.06,,WP_011294055.1
69314,69499,186,PMT9312_0064,PMT9312_RS00320,photosystem II reaction center X protein,WP_011375628.1,Not in COGs,photosynthesis (GO:0015979),,-0.51,,WP_011294057.1
70507,70782,276,PMT9312_0066,PMT9312_RS00330,high light inducible protein,WP_011375630.1,Not in COGs,,,0.63,,WP_011294059.1
72816,73094,279,PMT9312_0068,PMT9312_RS00340,hypothetical protein,WP_011375632.1,Not in COGs,,,0.85,,WP_011294061.1
73142,73483,342,PMT9312_0069,PMT9312_RS00345,histidine triad nucleotide-binding protein,WP_011375633.1,Nucleotide transport and metabolism,,,0.65,,WP_011294062.1
77350,78567,1218,PMT9312_0073,PMT9312_RS00365,ABC transporter permease,WP_011375637.1,Not in COGs,iron-sulfur cluster assembly (GO:0016226),-0.54,,,WP_011294066.1
80915,81268,354,PMT9312_0076,PMT9312_RS00380,hypothetical protein,WP_011375640.1,Not in COGs,,,1.31,,WP_011294069.1
85811,86467,657,PMT9312_0081,PMT9312_RS00405,4'-phosphopantetheinyl transferase,WP_011375645.1,Not in COGs,macromolecule biosynthetic process (GO:0009059),0.45,0.70,,WP_049752675.1
86938,87621,684,PMT9312_0083,PMT9312_RS00415,transcriptional regulator,WP_011375647.1,Transcription,positive regulation of transcription (GO:0045941),,-0.79,,WP_049752676.1
87637,88362,726,PMT9312_0084,PMT9312_RS00420,phosphoadenosine phosphosulfate reductase,WP_011375648.1,Amino acid transport and metabolism,metabolic process (GO:0008152),-0.57,-0.84,,WP_011294077.1
88458,89651,1194,PMT9312_0085,PMT9312_RS00425,NADH dehydrogenase family protein,WP_036924436.1,Energy production and conversion,oxidation reduction (GO:0055114),,0.77,,WP_080502528.1
92937,93641,705,PMT9312_0088,PMT9312_RS00440,potassium transporter TrkA,WP_011375652.1,Inorganic ion transport and metabolism,metabolic process (GO:0008152),,-0.56,,WP_011294081.1
93648,93950,303,PMT9312_0089,PMT9312_RS00445,hypothetical protein,WP_011375653.1,Not in COGs,,0.68,-0.43,,WP_011294083.1
94076,94414,339,PMT9312_0090,PMT9312_RS00450,hypothetical protein,WP_011375654.1,Not in COGs,,-0.27,-0.61,,WP_011294084.1
99018,99317,300,PMT9312_0098,PMT9312_RS00485,hypothetical protein,WP_011375662.1,Not in COGs,,,0.84,,
101126,102559,1434,PMT9312_0101,PMT9312_RS00500,TolC family protein,WP_011375665.1,Cell wall/membrane biogenesis,transport (GO:0006810),,0.59,,WP_011294097.1
106576,107511,936,PMT9312_0105,PMT9312_RS00520,thioredoxin,WP_011375669.1,"Posttranslational modification, protein turnover, chaperones",cell redox homeostasis (GO:0045454),,-0.73,,WP_011294101.1
109140,109526,387,PMT9312_0107,PMT9312_RS00535,hypothetical protein,WP_011375672.1,Coenzyme transport and metabolism,,,0.74,,WP_011294103.1
109588,110742,1155,PMT9312_0108,PMT9312_RS00540,hypothetical protein,WP_011375673.1,Function unknown,,,0.74,,WP_011294105.1
113194,113904,711,PMT9312_0112,PMT9312_RS00565,hypothetical protein,WP_011375678.1,Not in COGs,,,0.51,,WP_011294110.1
113891,114616,726,PMT9312_0113,PMT9312_RS00570,glutathione S-transferase,WP_011375679.1,"Posttranslational modification, protein turnover, chaperones",,0.76,1.13,,WP_011294111.1
