Accession,KO,Name,MW,Localization,Score,LTPE26_Supernatant,LTPE397_Supernatant,LTPE403_Supernatant,number of replicates where found in Supernatant (out of 3 replicates) - proteins in the >50 kDa supernatant size fraction,LTPE26_Lysate,LTPE397_Lysate,LTPE403_Lysate,number of replicates where found in Lysate (out of 3 replicates) -  proteins present in crude cell lysates,Amino Acid Metabolism,Carbohydrate Metabolism,Energy Metabolism,Lipid Metabolism,Metabolism of Cofactors and Vitamins,Metabolism of Other Amino Acids,Nucleotide Metabolism,Signal Transduction,Other,Unknown,resolved_locus_tag,resolution_method
WP_014950802,K00024,mdh; malate dehydrogenase [EC:1.1.1.37],32194.7389,Unknown,4.99,no,yes,no,1,yes,yes,yes,3,yes,yes,yes,no,no,no,no,no,no,no,EZ55_03483,multi:Accession
WP_039230617,K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]",39549.0148,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,yes,yes,no,no,no,no,no,no,no,no,,unresolved
WP_014951396,K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],54010.3367,Cytoplasmic,9.97,no,no,no,0,yes,yes,no,2,yes,no,no,no,yes,no,no,no,no,no,EZ55_04065,multi:Accession
WP_039235682,K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],54040.363,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,yes,no,no,no,yes,no,no,no,no,no,,unresolved
WP_014948878,K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],40953.8826,Cytoplasmic,9.26,no,no,no,0,yes,no,yes,2,yes,no,no,no,no,no,no,no,yes,no,EZ55_01358,multi:Accession
WP_039234646,K00259,ald; alanine dehydrogenase [EC:1.4.1.1],39460.4117,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,yes,no,no,no,no,yes,no,no,no,no,,unresolved
WP_014950394,K00382,"DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]",50424.8564,Cytoplasmic,9.97,yes,yes,yes,3,yes,yes,no,2,yes,yes,no,no,yes,no,no,no,no,no,,unresolved
WP_069944319,K00658,"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",53358.7343,Cytoplasmic,9.97,no,no,no,0,yes,yes,no,2,yes,yes,no,no,yes,no,no,no,no,no,,unresolved
WP_014948549,K00674,"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]",29294.3909,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,yes,no,no,no,no,no,no,no,no,no,EZ55_01008,multi:Accession
WP_039236315,K00765,hisG; ATP phosphoribosyltransferase [EC:2.4.2.17],33110.5452,Cytoplasmic,9.97,yes,yes,no,2,no,no,no,0,yes,no,no,no,no,no,no,no,no,no,,unresolved
WP_014948943,K00766,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18],36426.6692,Cytoplasmic,9.26,no,no,yes,1,no,no,no,0,yes,no,no,no,no,no,no,no,no,no,,unresolved
WP_014948032,K00891,"aroK, aroL; shikimate kinase [EC:2.7.1.71]",19237.6812,Cytoplasmic,9.97,no,no,no,0,yes,yes,no,2,yes,no,no,no,no,no,no,no,no,no,EZ55_00422,multi:Accession
WP_069945161,K01243,"mtnN, mtn, pfs; adenosylhomocysteine nucleosidase [EC:3.2.2.9]",37332.1796,Unknown,2.0,no,no,no,0,no,no,yes,1,yes,no,no,no,no,no,no,no,no,no,,unresolved
WP_069945193,K01426,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",57137.9229,Cytoplasmic,9.26,no,no,no,0,no,no,yes,1,yes,no,no,no,no,no,no,no,yes,no,,unresolved
OES26499,K01585,speA; arginine decarboxylase [EC:4.1.1.19],72227.632,Unknown,5.41,no,no,no,0,yes,yes,yes,3,yes,no,no,no,no,no,no,no,no,no,EZ55_03901,multi:Accession
WP_014948940,K01695,trpA; tryptophan synthase alpha chain [EC:4.2.1.20],27970.9477,Cytoplasmic,9.97,no,no,no,0,yes,no,no,1,yes,no,no,no,no,no,no,no,no,no,,unresolved
WP_069944210,K01756,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]",51120.4415,Cytoplasmic,9.97,no,no,no,0,yes,yes,yes,3,yes,no,no,no,no,no,yes,no,no,no,,unresolved
WP_014947970,K01834,"PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",27957.7541,Cytoplasmic,8.96,no,no,no,0,yes,yes,yes,3,yes,yes,yes,no,no,no,no,no,no,no,EZ55_00353,multi:Accession
WP_014950588,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",51843.4631,Cytoplasmic,9.97,no,no,no,0,yes,yes,yes,3,yes,yes,yes,no,no,no,no,yes,no,no,EZ55_03220,multi:Accession
WP_039235323,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",51795.4215,Cytoplasmic,9.97,yes,yes,no,2,no,no,no,0,yes,yes,yes,no,no,no,no,yes,no,no,,unresolved
WP_014950459,K01920,gshB; glutathione synthase [EC:6.3.2.3],35027.3044,Cytoplasmic,9.97,yes,yes,yes,3,no,no,no,0,yes,no,no,no,no,yes,no,no,no,no,EZ55_03078,multi:Accession
WP_014948050,K01940,"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]",44196.9353,Cytoplasmic,9.97,no,no,no,0,no,no,yes,1,yes,no,no,no,no,no,no,no,no,no,,unresolved
WP_039234209,K01955,"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]",34576.8619,Cytoplasmic,8.96,no,yes,no,1,no,no,no,0,yes,no,no,no,no,no,yes,no,no,no,,unresolved
WP_069944212,K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",81287.2567,Cytoplasmic,9.97,no,no,no,0,no,no,yes,1,no,yes,yes,no,no,yes,no,no,no,no,,unresolved
WP_014949853,K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",56474.3671,Cytoplasmic,9.97,no,no,no,0,yes,no,yes,2,no,yes,no,no,no,yes,no,no,no,no,EZ55_02410,multi:Accession
WP_039234862,K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",56488.3939,Cytoplasmic,9.97,yes,yes,no,2,no,no,no,0,no,yes,no,no,no,yes,no,no,no,no,,unresolved
WP_039232918,K00042,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]",31014.0588,Cytoplasmic,9.26,yes,yes,no,2,no,no,no,0,no,yes,no,no,no,no,no,no,no,no,,unresolved
OES35092,K00114,exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],65456.308,Periplasmic,9.44,no,no,no,0,yes,no,no,1,no,yes,no,no,no,no,no,no,yes,no,,unresolved
WP_014976817,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",35377.2208,Cytoplasmic,9.97,no,no,no,0,yes,no,yes,2,no,yes,yes,no,no,no,no,no,no,no,EZ55_02404,multi:Accession
WP_039234855,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",35319.1841,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,no,yes,yes,no,no,no,no,no,no,no,,unresolved
WP_039232184,K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],99867.5506,Cytoplasmic,9.97,no,no,no,0,yes,no,no,1,no,yes,no,no,yes,no,no,no,no,no,,unresolved
OES32696,K00241,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit",10003.7534,CytoplasmicMembrane,10.0,no,no,no,0,yes,no,no,1,no,yes,yes,no,no,no,no,no,no,no,,unresolved
WP_014949446,K00242,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit",12817.2372,CytoplasmicMembrane,10.0,no,no,no,0,yes,yes,yes,3,no,yes,yes,no,no,no,no,no,no,no,EZ55_01999,multi:Accession
WP_039226298,K00616,"TALDO1, talB, talA; transaldolase [EC:2.2.1.2]",34707.1751,Unknown,2.0,yes,yes,yes,3,no,no,no,0,no,yes,yes,no,no,no,no,no,no,no,,unresolved
WP_069944803,K00616,"TALDO1, talB, talA; transaldolase [EC:2.2.1.2]",34721.202,Unknown,2.0,no,no,no,0,yes,yes,no,2,no,yes,yes,no,no,no,no,no,no,no,,unresolved
WP_014948385,K00927,"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",40974.7294,Cytoplasmic,9.97,no,no,no,0,yes,no,no,1,no,yes,yes,no,no,no,no,no,no,no,,unresolved
WP_014949014,K00948,"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",34414.6141,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,no,yes,no,no,no,no,yes,no,no,no,EZ55_01534,multi:Accession
WP_014949316,K01007,"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]",86842.2439,Cytoplasmic,9.97,no,no,no,0,no,no,yes,1,no,yes,yes,no,no,no,no,no,no,no,EZ55_01864,multi:Accession
WP_069944511,K01057,"PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]",24780.1474,Unknown,2.0,no,no,no,0,no,yes,yes,2,no,yes,no,no,no,no,no,no,no,no,,unresolved
WP_014947992,K01433,purU; formyltetrahydrofolate deformylase [EC:3.5.1.10],32371.1139,Cytoplasmic,9.97,no,no,no,0,no,no,yes,1,no,yes,no,no,yes,no,no,no,no,no,,unresolved
OES35554,K01573,oadG; oxaloacetate decarboxylase (Na+ extruding) subunit gamma,8408.8008,CytoplasmicMembrane,9.82,no,no,no,0,yes,yes,no,2,no,yes,no,no,no,no,no,no,no,no,,unresolved
WP_014949849,K01625,eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],22326.8081,Cytoplasmic,9.26,no,no,no,0,yes,yes,no,2,no,yes,no,no,no,no,no,no,no,no,EZ55_02406,multi:Accession
WP_039231492,K01637,"ICL, aceA; isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]",58635.7281,Cytoplasmic,9.97,no,no,yes,1,no,no,no,0,no,yes,no,no,no,no,no,no,no,no,,unresolved
WP_014977274,K01679,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]",48468.4582,Cytoplasmic,9.26,no,no,no,0,no,no,yes,1,no,yes,yes,no,no,no,no,no,no,no,,unresolved
WP_069943840,K01689,"ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]",45306.0707,Cytoplasmic,9.97,no,no,no,0,yes,yes,no,2,no,yes,yes,no,no,no,no,no,yes,no,,unresolved
WP_039230691,K01728,pel; pectate lyase [EC:4.2.2.2],53645.1151,Extracellular,10.0,no,no,yes,1,no,no,no,0,no,yes,no,no,no,no,no,no,yes,no,,unresolved
WP_012518366,K01902,sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],30037.5065,Cytoplasmic,9.97,no,no,no,0,yes,yes,yes,3,no,yes,yes,no,no,no,no,no,no,no,EZ55_02005,multi:Accession
WP_014949450,K01903,sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],41430.3079,Cytoplasmic,8.96,no,no,yes,1,yes,yes,yes,3,no,yes,yes,no,no,no,no,no,no,no,EZ55_02004,multi:Accession
WP_014949589,K00404,ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9],53433.1218,CytoplasmicMembrane,10.0,no,no,no,0,no,no,yes,1,no,no,yes,no,no,no,no,yes,no,no,,unresolved
WP_014949590,K00405,ccoO; cytochrome c oxidase cbb3-type subunit II,22556.887,Unknown,2.0,no,no,no,0,yes,yes,yes,3,no,no,yes,no,no,no,no,yes,no,no,,unresolved
WP_014949592,K00406,ccoP; cytochrome c oxidase cbb3-type subunit III,35030.5944,Unknown,2.0,no,no,no,0,yes,yes,yes,3,no,no,yes,no,no,no,no,yes,no,no,,unresolved
WP_014948332,K00412,"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit",48178.028,CytoplasmicMembrane,10.0,no,no,no,0,no,no,yes,1,no,no,yes,no,no,no,no,yes,no,no,,unresolved
WP_014948333,K00413,"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit",27741.8485,Unknown,2.5,no,no,no,0,yes,yes,no,2,no,no,yes,no,no,no,no,yes,no,no,,unresolved
WP_069945052,K00425,cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7],51187.2606,CytoplasmicMembrane,10.0,no,no,no,0,no,no,yes,1,no,no,yes,no,no,no,no,yes,no,no,,unresolved
WP_069945142,K00425,cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7],58708.1585,CytoplasmicMembrane,10.0,no,no,no,0,yes,yes,no,2,no,no,yes,no,no,no,no,yes,no,no,,unresolved
WP_014950934,K00426,cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7],36958.9928,CytoplasmicMembrane,10.0,no,no,no,0,yes,yes,yes,3,no,no,yes,no,no,no,no,yes,no,no,EZ55_03615,multi:Accession
WP_014951296,K00855,"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]",34196.83,Cytoplasmic,8.96,no,no,no,0,yes,no,no,1,no,no,yes,no,no,no,no,no,no,no,EZ55_03965,multi:Accession
WP_014948796,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25],22359.2471,Cytoplasmic,9.97,no,yes,yes,2,no,no,no,0,no,no,yes,no,no,no,yes,no,no,no,EZ55_01264,multi:Accession
WP_014947861,K01507,ppa; inorganic pyrophosphatase [EC:3.6.1.1],19382.149,Cytoplasmic,9.26,no,yes,yes,2,yes,yes,yes,3,no,no,yes,no,no,no,no,no,no,no,EZ55_00188,multi:Accession
WP_014949029,K01725,cynS; cyanate lyase [EC:4.2.1.104],16756.3478,Cytoplasmic,9.26,no,no,yes,1,no,no,no,0,no,no,yes,no,no,no,no,no,no,no,EZ55_01550,multi:Accession
WP_039231566,K01058,pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4],38803.6988,OuterMembrane,10.0,no,no,no,0,yes,no,yes,2,no,no,no,yes,no,no,no,no,no,no,EZ55_02748,multi:Accession
WP_039231034,K01613,"psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]",34645.3954,CytoplasmicMembrane,9.82,no,no,no,0,no,yes,no,1,no,no,no,yes,no,no,no,no,no,no,,unresolved
WP_069944801,K01897,"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",58894.5319,Cytoplasmic,9.97,no,no,no,0,yes,no,no,1,no,no,no,yes,no,no,no,no,yes,no,,unresolved
WP_039231643,K00793,"ribE, RIB5; riboflavin synthase [EC:2.5.1.9]",23738.2109,Cytoplasmic,9.26,yes,yes,yes,3,no,no,no,0,no,no,no,no,yes,no,no,no,no,no,,unresolved
WP_014950088,K00794,"ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",16588.0174,Cytoplasmic,9.97,yes,yes,yes,3,no,no,no,0,no,no,no,no,yes,no,no,no,no,no,EZ55_02671,multi:Accession
WP_069944611,K00794,"ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",16572.0614,Cytoplasmic,9.97,no,no,no,0,yes,yes,yes,3,no,no,no,no,yes,no,no,no,no,no,,unresolved
WP_014950043,K00939,"adk, AK; adenylate kinase [EC:2.7.4.3]",23536.724,Cytoplasmic,9.97,no,no,no,0,yes,yes,no,2,no,no,no,no,yes,no,yes,no,no,no,,unresolved
WP_014951087,K01772,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]",40763.4211,Cytoplasmic,9.97,no,no,no,0,no,no,yes,1,no,no,no,no,yes,no,no,no,no,no,EZ55_03776,multi:Accession
OES35082,K00681,ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13],60448.4806,Periplasmic,9.44,no,no,no,0,no,no,yes,1,no,no,no,no,no,yes,no,no,no,no,,unresolved
WP_014999437,K01255,"CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]",54830.6692,Cytoplasmic,9.97,yes,no,no,1,no,no,no,0,no,no,no,no,no,yes,no,no,no,no,,unresolved
WP_014976866,K01874,"MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]",76318.8916,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,no,no,no,no,no,yes,no,no,yes,no,,unresolved
WP_014950158,K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",51871.2342,Cytoplasmic,9.97,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,yes,no,yes,no,EZ55_02752,multi:Accession
WP_014949649,K00526,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",43631.3459,Cytoplasmic,9.97,no,no,no,0,yes,no,no,1,no,no,no,no,no,no,yes,no,no,no,EZ55_02198,multi:Accession
WP_039230110,K00839,pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112],45895.6796,Cytoplasmic,9.97,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,yes,no,no,no,,unresolved
WP_012519000,K00940,"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",15574.5918,Cytoplasmic,9.26,no,no,no,0,yes,no,no,1,no,no,no,no,no,no,yes,no,yes,no,EZ55_02764,multi:Accession
WP_014948098,K01588,purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],16784.3384,Unknown,2.0,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,yes,no,no,no,EZ55_00502,multi:Accession
WP_014950157,K01951,"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",58584.9925,Cytoplasmic,9.97,yes,yes,yes,3,yes,yes,no,2,no,no,no,no,no,no,yes,no,yes,no,EZ55_02751,multi:Accession
WP_039230494,K01952,"PFAS, purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]",140144.1784,Cytoplasmic,9.97,no,yes,no,1,no,no,no,0,no,no,no,no,no,no,yes,no,no,no,,unresolved
OES29789,K01991,"wza, gfcE; polysaccharide biosynthesis/export protein",14263.2116,Unknown,2.0,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,yes,yes,no,,unresolved
WP_052234830,K01991,"wza, gfcE; polysaccharide biosynthesis/export protein",22959.358,Unknown,2.0,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,yes,yes,no,,unresolved
WP_014950147,K01358,"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",23091.4369,Cytoplasmic,9.26,yes,yes,no,2,yes,no,no,1,no,no,no,no,no,no,no,no,yes,no,EZ55_02733,multi:Accession
WP_039229711,K00962,"pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]",76453.0202,Cytoplasmic,9.97,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,no,yes,no,EZ55_01935,multi:Accession
WP_014948671,K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]",94504.481,Cytoplasmic,9.97,no,no,yes,1,no,no,no,0,no,no,no,no,no,no,no,no,yes,no,EZ55_01117,multi:Accession
WP_039234367,K01879,glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14],75671.0264,Cytoplasmic,9.97,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,yes,no,,unresolved
WP_069943461,K01879,glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14],75638.9663,Cytoplasmic,9.97,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,no,yes,no,,unresolved
WP_069944565,K00219,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",74332.0659,Cytoplasmic,9.97,no,no,no,0,no,no,yes,1,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014950797,K00347,nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1],43419.5287,CytoplasmicMembrane,10.0,no,no,no,0,no,no,yes,1,no,no,no,no,no,no,no,no,no,no,EZ55_03478,multi:Accession
WP_014950796,K00348,nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1],27811.232,Unknown,2.0,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039231944,K00518,sodN; nickel superoxide dismutase [EC:1.15.1.1],18623.3802,Cytoplasmic,9.26,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039231235,K01278,"DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]",83599.8218,Unknown,6.49,no,yes,no,1,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_069944981,K01278,"DPP4, CD26; dipeptidyl-peptidase 4 [EC:3.4.14.5]",83696.8366,Unknown,6.49,no,no,no,0,yes,no,yes,2,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_069944159,K01283,"ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]",68326.064,Unknown,4.9,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014947729,K01462,"PDF, def; peptide deformylase [EC:3.5.1.88]",19001.7445,Cytoplasmic,9.97,no,no,no,0,yes,no,no,1,no,no,no,no,no,no,no,no,no,no,EZ55_00041,multi:Accession
OES26459,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,87351.9076,OuterMembrane,10.0,no,no,no,0,no,no,yes,1,no,no,no,no,no,no,no,no,no,no,,unresolved
OES28397,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,89717.4317,OuterMembrane,10.0,no,no,no,0,yes,no,yes,2,no,no,no,no,no,no,no,no,no,no,,unresolved
OES34654,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,87256.6431,OuterMembrane,10.0,no,no,no,0,no,no,yes,1,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014949083,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,89029.7197,OuterMembrane,9.52,no,no,no,0,yes,no,yes,2,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014950531,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,82311.2118,OuterMembrane,10.0,no,no,no,0,yes,no,no,1,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014975933,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,101959.5649,OuterMembrane,10.0,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014975983,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,92875.2611,OuterMembrane,8.53,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014976379,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,80869.2115,OuterMembrane,10.0,no,no,no,0,yes,no,yes,2,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_014978882,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,92412.8736,OuterMembrane,10.0,no,no,no,0,yes,yes,yes,3,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039230269,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,92425.8723,OuterMembrane,10.0,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039231401,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,105407.8536,OuterMembrane,9.52,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039231842,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,92280.6817,OuterMembrane,10.0,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039232636,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,80870.2047,OuterMembrane,10.0,no,no,yes,1,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039232881,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,102270.6781,OuterMembrane,9.52,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039233150,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,94149.663,OuterMembrane,8.53,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039233680,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,76452.8036,OuterMembrane,10.0,no,no,yes,1,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039233989,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,77356.7922,OuterMembrane,10.0,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_039235397,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,78335.7799,OuterMembrane,10.0,yes,yes,yes,3,no,no,no,0,no,no,no,no,no,no,no,no,no,no,,unresolved
WP_061486543,K02014,TC.FEV.OM; iron complex outermembrane recepter protein,95273.5024,OuterMembrane,10.0,no,no,no,0,no,no,yes,1,no,no,no,no,no,no,no,no,no,no,,unresolved
