GeneID,logFC,logCPM,PValue,FDR,GeneName,Chr,Start,End,locus_tag,Product,KEGG,GO_Biological_Process,GO_Cellular_Component,GO_Molecular_Function,COG,resolved_locus_tag,resolution_method
gene-NATL1_08781,2.444305755,5.755406616,9.17e-34,2.0499999999999998e-30,wza,CP000553.1,816931,818178,NATL1_08781,Hypothetical protein,-,-,-,-,"gnl|CDD|224512;COG1596, Wza, Periplasmic protein involved in polysaccharide export, contains    SLBB domain of b-grasp fold [Cell wall/membrane/envelope biogenesis].",NATL1_08781,tier1:GeneID
gene-NATL1_08591,2.012736449,4.602165752,8.64e-20,9.68e-17,NATL1_08591,CP000553.1,788809,790689,NATL1_08591,Nucleotide-diphosphate-sugar epimerase%2C membrane associated,-,-,-,-,"gnl|CDD|224011;COG1086, COG1086, Predicted nucleoside-diphosphate sugar epimerases [Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism].",NATL1_08591,tier1:GeneID
gene-NATL1_05011,1.573306226,10.63749661,2.69e-16,2.01e-13,ctaA,CP000553.1,456592,457518,NATL1_05011,Uncharacterized protein required for cytochrome oxidase assembly,K02259,-,-,-,"gnl|CDD|224528;COG1612, CtaA, Uncharacterized protein required for cytochrome oxidase assembly [Posttranslational modification, protein turnover, chaperones].",NATL1_05011,tier1:GeneID
gene-NATL1_05531,1.323715714,8.523912637,1.48e-14,7.81e-12,NATL1_05531,CP000553.1,500947,502209,NATL1_05531,Putative principal RNA polymerase sigma factor,-,GO:0001123:transcription initiation from bacterial-type RNA polymerase promoter,GO:0005737:cytoplasm,GO:0003677:DNA binding;GO:0003700:DNA-binding transcription factor activity;GO:0016987:sigma factor activity,"gnl|CDD|223642;COG0568, RpoD, DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32) [Transcription].",NATL1_05531,tier1:GeneID
gene-NATL1_12321,1.529885308,5.556781854,1.74e-14,7.81e-12,NATL1_12321,CP000553.1,1073799,1074014,NATL1_12321,Hypothetical protein,-,-,-,-,-,NATL1_12321,tier1:GeneID
gene-NATL1_04471,1.501064742,9.11577372,3.35e-14,1.17e-11,NATL1_04471,CP000553.1,408985,409560,NATL1_04471,Uncharacterized protein conserved in bacteria,-,GO:0000917:division septum assembly;GO:0043093:FtsZ-dependent cytokinesis,GO:0005737:cytoplasm,-,"gnl|CDD|224712;COG1799, COG1799, Uncharacterized protein conserved in bacteria [Function unknown].",NATL1_04471,tier1:GeneID
gene-NATL1_18081,1.569825021,7.181725833,3.67e-14,1.17e-11,NATL1_18081,CP000553.1,1476089,1476193,NATL1_18081,Hypothetical protein,-,-,-,-,-,NATL1_18081,tier1:GeneID
gene-NATL1_04481,1.321096761,6.833479288,2.27e-13,6.37e-11,proC,CP000553.1,409574,410416,NATL1_04481,Delta 1-pyrroline-5-carboxylate reductase,K00286,-,-,-,"gnl|CDD|223422;COG0345, ProC, Pyrroline-5-carboxylate reductase [Amino acid transport and metabolism].",NATL1_04481,tier1:GeneID
gene-NATL1_05021,1.226032963,9.118310347,9.64e-13,2.4e-10,cyoE,CP000553.1,457511,458506,NATL1_05021,putative protoheme IX farnesyltransferase,-,GO:0048034:heme O biosynthetic process,GO:0016021:integral component of membrane;GO:0005886:plasma membrane,GO:0008495:protoheme IX farnesyltransferase activity,"gnl|CDD|223187;COG0109, CyoE, Polyprenyltransferase (cytochrome oxidase assembly factor) [Posttranslational modification, protein turnover, chaperones].",NATL1_05021,tier1:GeneID
gene-NATL1_05001,1.249771579,6.233885624,1.38e-12,3.09e-10,cyoA,CP000553.1,455597,456409,NATL1_05001,putative cytochrome c oxidase%2C subunit 2,K02275,-,GO:0016021:integral component of membrane;GO:0005886:plasma membrane;GO:0070469:respiratory chain,GO:0005507:copper ion binding;GO:0004129:cytochrome-c oxidase activity,"gnl|CDD|224537;COG1622, CyoA, Heme/copper-type cytochrome/quinol oxidases, subunit 2 [Energy production and conversion].",NATL1_05001,tier1:GeneID
gene-NATL1_15531,1.30867891,7.07041415,4.87e-12,9.91e-10,NATL1_15531,CP000553.1,1261260,1261949,NATL1_15531,Hypothetical protein,-,-,-,-,-,NATL1_15531,tier1:GeneID
gene-NATL1_06001,1.257800373,6.832517051,1.71e-11,3.19e-09,NATL1_06001,CP000553.1,546707,547072,NATL1_06001,conserved hypothetical,-,-,-,-,-,NATL1_06001,tier1:GeneID
gene-NATL1_21371,1.261868751,8.485641562,4.24e-11,7.3e-09,NATL1_21371,CP000553.1,1793884,1794144,NATL1_21371,conserved hypothetical protein,-,-,-,-,-,NATL1_21371,tier1:GeneID
gene-NATL1_18971,-1.110324825,6.373758524,5.88e-11,9.27e-09,folE,CP000553.1,1561192,1561938,NATL1_18971,GTP cyclohydrolase I,K01495,-,-,-,"gnl|CDD|223379;COG0302, FolE, GTP cyclohydrolase I [Coenzyme metabolism].",NATL1_18971,tier1:GeneID
