GeneID,logFC,logCPM,PValue,FDR,GeneName,Chr,Start,End,locus_tag,Product,KEGG,GO_Biological_Process,GO_Cellular_Component,GO_Molecular_Function,COG,resolved_locus_tag,resolution_method
gene-PMM0087,1.601411113,7.454029618,4.86e-16,9.92e-13,PMM0087,BX548174.1,92390,92728,PMED4_asRNA_18171,conserved hypothetical protein,-,-,-,-,-,PMM0087,tier1:GeneID
gene-PMM0195,-1.119894114,8.305199777,2.61e-10,2.67e-07,pgk%2C cbbK,BX548174.1,188883,190091,PMED4_ncRNA_Yfr11,Phosphoglycerate kinase,K00927,GO:0006096:glycolytic process,GO:0005737:cytoplasm,GO:0005524:ATP binding;GO:0004618:phosphoglycerate kinase activity,"gnl|CDD|223204;COG0126, Pgk, 3-phosphoglycerate kinase [Carbohydrate transport and metabolism].",PMM0195,tier1:GeneID
gene-PMM1359,-1.413532052,5.553686637,1.13e-09,7.71e-07,PMM1359,BX548174.1,1307800,1308360,PMED4_ncRNA_Yfr16,conserved hypothetical protein,-,-,-,-,"gnl|CDD|225168;COG2259, COG2259, Predicted membrane protein [Function unknown].",PMM1359,tier1:GeneID
gene-PMM1602,1.090499743,8.670953786,3.53e-09,1.8e-06,PMM1602,BX548174.1,1533406,1533738,PMM0016,conserved hypothetical protein,-,-,-,-,-,PMM1602,tier1:GeneID
gene-PMM0316,-1.358596395,5.767944538,2.87e-08,1.17e-05,PMM0316,BX548174.1,302812,303174,PMM0017,possible ferredoxin,-,-,-,-,"gnl|CDD|223706;COG0633, Fdx, Ferredoxin [Energy production and conversion].",PMM0316,tier1:GeneID
gene-PMM0280,-1.18060652,5.641457908,8.25e-08,2.81e-05,PMM0280,BX548174.1,269602,271125,PMM0020,Retinal pigment epithelial membrane protein,-,-,-,-,"gnl|CDD|226196;COG3670, COG3670, Lignostilbene-alpha,beta-dioxygenase and related enzymes [Secondary metabolites biosynthesis, transport, and catabolism].",PMM0280,tier1:GeneID
gene-PMM0383,0.893476441,10.81225537,1.15e-07,3.2e-05,PMM0383,BX548174.1,361951,362733,PMM0022,probable periplasmic protein,-,-,-,-,"gnl|CDD|225414;COG2859, COG2859, Uncharacterized protein conserved in bacteria [Function unknown].",PMM0383,tier1:GeneID
gene-RNA_44,-1.252174152,7.453418739,1.25e-07,3.2e-05,ffs,BX548174.1,1263327,1263426,PMM0034,signal recognition particle RNA (4.5 S RNA),K01983,-,-,-,-,PMM0236,tier1:GeneID
gene-PMM1846,0.929758456,11.23441475,4.55e-07,0.000103142,PMM1846,BX548174.1,395600,395797,PMM0035,Conserved hypothetical protein,-,-,-,-,-,PMM1846,tier1:GeneID
gene-PMM1006,-1.040864936,5.220881102,8.91e-07,0.000181855,PMM1006,BX548174.1,956998,957510,PMM0051,Glutathione peroxidase,K00432,-,-,-,"gnl|CDD|223463;COG0386, BtuE, Glutathione peroxidase [Posttranslational modification, protein turnover, chaperones].",PMM1006,tier1:GeneID
gene-PMM0348,1.754307687,5.887295192,1e-06,0.00018604,PMM0348,BX548174.1,333688,333927,PMM0064,possible Spectrin repeat,-,-,-,-,-,PMM0348,tier1:GeneID
gene-PMM1400,1.039584873,7.417358951,1.86e-06,0.000315772,PMM1400,BX548174.1,1346108,1346626,PMM0068,possible Hemagglutinin-neuraminidase,-,-,-,-,-,PMM1400,tier1:GeneID
gene-PMM1608,0.879714474,7.040617727,2.52e-06,0.000373063,acpP%2Cacp,BX548174.1,1538208,1538450,PMM0076,acyl carrier protein (ACP),-,-,GO:0005737:cytoplasm,GO:0000036:acyl carrier activity,"gnl|CDD|223314;COG0236, AcpP, Acyl carrier protein [Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism].",PMM1608,tier1:GeneID
gene-PMM0382,0.926257199,6.292587968,2.56e-06,0.000373063,PMM0382,BX548174.1,361091,361597,PMM0077,possible Ribosomal RNA adenine dimethylase,-,-,-,-,-,PMM0382,tier1:GeneID
gene-PMM0227,-0.893458032,7.298061964,3.47e-06,0.000472228,cysD,BX548174.1,221663,222838,PMM0087,ATP-sulfurylase,K00958,-,-,-,"gnl|CDD|224957;COG2046, MET3, ATP sulfurylase (sulfate adenylyltransferase) [Inorganic ion transport and metabolism].",PMM0227,tier1:GeneID
gene-PMM0206,1.057787941,5.407426599,4.08e-06,0.000520133,secE,BX548174.1,198110,198349,PMM0088,putative preprotein translocase%2C SecE subunit,K03073,-,-,-,-,PMM0206,tier1:GeneID
gene-PMM1538,1.08191425,6.096467964,6.68e-06,0.000802328,rpmJ%2Crpl36,BX548174.1,1476900,1477016,PMM0089,50S Ribosomal protein L36,K02919,GO:0006412:translation,GO:0005840:ribosome,GO:0003735:structural constituent of ribosome,"gnl|CDD|223335;COG0257, RpmJ, Ribosomal protein L36 [Translation, ribosomal structure and biogenesis].",PMM1538,tier1:GeneID
gene-PMM0661,0.808193884,10.98053067,7.15e-06,0.000810594,nrdJ,BX548174.1,628726,631134,PMM0092,ribonucleotide reductase (Class II),K00524,-,-,-,-,PMM0661,tier1:GeneID
gene-PMM1164,0.950557282,6.760680845,1.8e-05,0.001934199,futA%2CsfuA%2C idiA,BX548174.1,1116122,1117144,PMM0106,putative iron ABC transporter%2C substrate binding protein,K02012,-,-,-,"gnl|CDD|224753;COG1840, AfuA, ABC-type Fe3+ transport system, periplasmic component [Inorganic ion transport and metabolism].",PMM1164,tier1:GeneID
gene-PMM1379,-0.93542744,5.291891935,2.08e-05,0.002125912,PMM1379,BX548174.1,1327594,1328478,PMM0117,putative dape gene and orf2,K06966,-,-,-,"gnl|CDD|224527;COG1611, COG1611, Predicted Rossmann fold nucleotide-binding protein [General function prediction only].",PMM1379,tier1:GeneID
gene-PMM1881,1.071126905,5.229285951,2.42e-05,0.002352813,PMM1881,BX548174.1,688929,689078,PMM0137,Conserved hypothetical protein,-,-,-,-,-,PMM1881,tier1:GeneID
gene-PMM1506,0.759458383,7.760326901,3.69e-05,0.003425562,PMM1506,BX548174.1,1445288,1445944,PMM0142,ATP-dependent protease La (LON) domain,K01338,-,-,-,"gnl|CDD|225362;COG2802, COG2802, Uncharacterized protein, similar to the N-terminal domain of Lon protease [General function prediction only].",PMM1506,tier1:GeneID
gene-PMM1701,-0.984898213,4.873940205,4.53e-05,0.004024685,PMM1701,BX548174.1,1638126,1639484,PMM0147,putative chloride channel,-,-,-,-,"gnl|CDD|223116;COG0038, EriC, Chloride channel protein EriC [Inorganic ion transport and metabolism].",PMM1701,tier1:GeneID
gene-PMM2003,-2.187073633,2.111950237,6.07e-05,0.005162738,PMM2003,BX548174.1,1340672,1340815,PMM0195,Conserved hypothetical protein,-,-,-,-,-,PMM2003,tier1:GeneID
gene-PMM0680,-0.922807229,5.335402853,6.54e-05,0.005340848,PMM0680,BX548174.1,648173,648970,PMM0200,conserved hypothetical protein,-,-,-,-,-,PMM0680,tier1:GeneID
gene-PMM2051,-1.140787871,5.595847823,7.42e-05,0.005671146,PMM2051,BX548174.1,657730,657891,PMM0202,Hypothetical protein,-,-,-,-,-,PMM2051,tier1:GeneID
gene-PMM0034,0.726111087,7.159932956,7.5e-05,0.005671146,PMM0034,BX548174.1,32335,32532,PMM0203,conserved hypothetical protein,-,-,-,-,-,PMM0034,tier1:GeneID
gene-PMM1135,-0.937661407,6.191463009,8.63e-05,0.006225818,hli14,BX548174.1,1085656,1085862,PMM0206,possible high light inducible protein,-,-,-,-,-,PMM1135,tier1:GeneID
gene-PMM0930,0.691963633,7.427686283,8.84e-05,0.006225818,pdhB,BX548174.1,890595,891578,PMM0208,Pyruvate dehydrogenase E1 beta subunit,K00162,GO:0006096:glycolytic process,GO:0009507:chloroplast,GO:0004739:pyruvate dehydrogenase (acetyl-transferring) activity,"gnl|CDD|223101;COG0022, AcoB, Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit [Energy production and conversion].",PMM0930,tier1:GeneID
gene-PMM1070,-0.837915588,6.797536787,9.72e-05,0.0066164,crtE,BX548174.1,1012480,1013382,PMM0220,Polyprenyl synthetase,K13789,GO:0016117:carotenoid biosynthetic process;GO:0015995:chlorophyll biosynthetic process;GO:0033386:geranylgeranyl diphosphate biosynthetic process;GO:0015979:photosynthesis,GO:0009842:cyanelle,GO:0004311:farnesyltranstransferase activity;GO:0046872:metal ion binding,"gnl|CDD|223220;COG0142, IspA, Geranylgeranyl pyrophosphate synthase [Coenzyme metabolism].",PMM1070,tier1:GeneID
