gene_id,cluster
PMM0970,1
PMM1462,1
PMM0958,1
PMM0920,1
PMM0370,1
PMM0690,2
PMM0337,2
PMM1390,2
PMM0374,2
PMM1041,2
PMM0336,2
PMM0030,2
PMM0365,2
PMM1391,2
PMM0689,2
PMM1463,2
PMM0371,2
PMM1623,2
PMM0687,2
PMM0246,2
PMM0359,2
PMM0936,3
PMM1118,3
PMM1404,3
PMM0817,3
PMM1385,3
PMM0997,3
PMM1562,3
PMM0684,3
PMM1135,3
PMM0548,3
PMM1672,3
PMM0818,3
PMM1262,3
PMM0819,3
PMM0338,3
PMM1396,3
PMM1397,3
PMM0988,3
PMM1384,3
PMM1602,4
PMM0726,4
PMM0448,4
PMM0160,4
PMM0055,4
PMM1074,4
PMM0742,4
PMM0736,4
PMM1512,4
PMM1037,4
PMM0363,4
PMM1050,4
PMM0519,4
PMM0971,4
PMM1678,4
PMM1013,4
PMM0120,4
PMM0294,4
PMM0243,4
PMM0996,4
PMM0387,4
PMM0731,4
PMM1123,4
PMM1313,4
PMM0172,4
PMM1689,4
PMM0368,4
PMM0237,4
PMM0502,4
PMM0810,4
PMM0334,4
PMM0795,4
PMM0651,4
PMM0116,4
PMM1514,4
PMM0957,4
PMM0858,4
PMM1312,4
PMM0063,4
PMM0965,4
PMM0145,4
PMM0103,4
PMM0091,4
PMM0244,4
PMM1314,4
PMM1601,4
PMM1045,4
PMM1069,4
PMM1700,4
PMM1409,4
PMM1134,4
PMM1154,4
PMM0086,4
PMM0447,4
PMM1128,4
PMM1589,4
PMM0224,4
PMM1412,4
PMM0159,4
PMM0343,4
PMM1479,4
PMM0364,4
PMM1434,4
PMM1097,4
PMM0087,4
PMM0245,4
PMM1667,4
PMM0883,4
PMM1038,4
PMM0150,4
PMM0035,4
PMM0661,4
PMM0220,4
PMM0366,4
PMM0342,4
PMM0032,4
PMM1149,4
PMM0558,4
PMM0372,4
PMM0738,4
PMM1169,4
PMM0804,4
PMM1078,4
PMM1442,4
PMM0235,4
PMM0446,4
PMM0611,5
PMM1414,5
