GENE,t=0h,t=3h,t=6h,t=12h,t=24h,t=48h,Cyanate,Urea,ANNOTATION,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,locus_tag
MED4_ARR_or0124,-0.094207108,-0.438814398,0.03301839,0.793480216,0.490745067,0.38699969,0.035411124,0.026934038,unknown ,,,,,,,,,
PMM0001,0.157728843,0.156438946,0.511060209,1.008046207,0.862812829,1.198463266,0.333966973,0.212055072,"dnaN DNA polymerase III, beta chain",,,,,,,,,PMM0001
PMM0002,-0.671781132,-0.452380712,-0.267182916,0.412667599,0.302738583,0.639495095,-0.135277827,-0.485688376,conserved hypothetical protein,,,,,,,,,PMM0002
PMM0003,-0.20819386,-0.310335627,0.103944054,0.575603304,0.6165926,0.325769461,0.14520068,0.02802293,purL phosphoribosylformylglycinamidine synthetase II,,,,,,,,,PMM0003
PMM0004,-0.482099557,-0.329130861,-0.547538198,-0.317374133,-0.237108909,-1.051878033,0.318758053,0.050447575,purF Glutamine amidotransferaseclass-II:Phosphoribosyl transferase,,,,,,,,,PMM0004
PMM0005,-0.441733516,0.065428234,0.436360907,0.732291009,0.253954756,0.197707383,0.292467949,0.32173297,"DNA gyrase/topoisomerase IV, subunit A",,,,,,,,,PMM0005
PMM0006,-0.101090139,-0.546083736,0.805378895,0.835978276,0.349281172,0.403011519,0.245812855,0.277903386,conserved hypothetical protein,,,,,,,,,PMM0006
PMM0007,-0.525177382,0.062528725,0.553211547,0.965104735,0.597983996,0.346973178,1.253241457,1.116928897,conserved hypothetical protein,,,,,,,,,PMM0007
PMM0008,-0.058501539,0.32296302,0.121910151,0.311352582,0.586534521,0.615908031,-0.00758425,0.187255389,conserved hypothetical protein,,,,,,,,,PMM0008
PMM0009,-0.655788632,-0.272419492,0.098702526,0.432989787,-0.003759203,-0.237364888,0.681550648,0.211628961,nusB Antitermination protein NusB,,,,,,,,,PMM0009
PMM0010,-0.312172016,0.166601788,0.046997381,0.459009626,0.027666438,-0.056038284,0.186447503,0.141927295,ftsY signal recognition particle docking protein FtsY,,,,,,,,,PMM0010
PMM0011,-0.932570445,-0.252418453,0.149405312,0.272356548,0.029176084,0.05602078,-0.106641445,-0.34533176,Protein phosphatase 2C domain,,,,,,,,,PMM0011
PMM0012,0.104577351,0.720717846,0.626642582,*1.07536491567947,0.759915519,0.702568626,0.088334383,0.19107511,argH Fumarate lyase:Delta crystallin,,,,,,,,,PMM0012
PMM0013,0.131530893,-0.43382556,-0.647797834,-0.627357491,-0.123839738,0.234498351,-0.362283764,-0.234377518,RNA-binding region RNP-1 (RNA recognition motif),,,,,,,,,PMM0013
PMM0014,-0.723340224,-0.894736803,0.29423416,-0.421120598,-0.079062021,-2.699619884,0.468033189,-0.269035545,conserved hypothetical protein,,,,,,,,,PMM0014
PMM0015,0.337868466,0.702203237,*0.88393357554726,0.875220135,0.452852268,0.230509338,0.61732538,-0.025518137,Domain of unknown function DUF25,,,,,,,,,PMM0015
PMM0016,-0.771230097,-0.265995923,-0.547387836,-0.219143288,**-1.7737755133787,-1.170243462,0.612020685,0.089495144,grpE Heat shock protein GrpE,,,,,,,,,PMM0016
PMM0017,-0.519732023,-0.857448316,*-0.935051735999431,-1.028708344,-0.9166041,-0.107270847,0.677163288,-0.028581261,dnaJ DnaJ protein,,,,,,,,,PMM0017
PMM0018,-0.667268716,-0.934824456,-1.182444677,-1.275147027,-2.693442508,-2.066821565,0.722131014,-0.102369351,conserved hypothetical protein,,,,,,,,,PMM0018
PMM0019,-0.51086329,-0.462426669,-0.388606864,-0.37812415,-0.249218854,-0.289055152,0.976698771,0.951367805,conserved hypothetical protein,,,,,,,,,PMM0019
PMM0020,-0.185342314,0.377268141,0.727603005,1.043163398,0.288570075,0.198693373,-0.29262971,-0.109072363,conserved hypothetical protein,,,,,,,,,PMM0020
PMM0021,-0.930389257,-0.06886361,-0.48307991,-0.319977781,-0.106831843,-0.453623899,1.083387246,-0.760522294,murB UDP-N-acetylenolpyruvoylglucosamine reductase,,,,,,,,,PMM0021
PMM0022,-0.504499041,-0.334766703,0.212345328,0.235212788,-0.206044656,-0.19093122,0.354647724,0.161185775,murC Probable UDP-N-acetylmuramate-alanine ligase,,,,,,,,,PMM0022
PMM0023,-0.590503465,-0.512036525,**-1.413139210045,**-2.17268321469254,**-1.77527807460095,*-1.98007070302444,-0.479979377,-0.461724626,gap2 Glyceraldehyde 3-phosphatedehydrogenase(NADP+)(phosphorylating),,,,,,,,,PMM0023
PMM0024,0.065436952,-0.625757029,-0.822490036,-0.943345486,0.196512084,-0.400839553,-0.12640824,-0.121074416,thiL putative thiamine-monophosphate kinase,,,,,,,,,PMM0024
PMM0025,0.404640656,0.004045689,-0.784125462,-0.989339083,-0.580166379,-0.255614349,-0.297963044,-0.087605538,Cyclophilin-type peptidyl-prolyl cis-transisomerase,,,,,,,,,PMM0025
PMM0026,-0.231885676,-0.203199603,*-0.866895304171518,*-1.11696475208442,-0.558618667,-0.823831105,-0.489304331,-0.407632464,efp Elongation factor P (EF-P),,,,,,,,,PMM0026
PMM0027,-0.201619045,-0.372002878,**-1.05975231727130,-0.557570738,-0.279896549,-0.218390335,-0.373408826,-0.326157003,"accB,fabE Biotin / Lipoyl attachment:Acetyl-CoA biotincarboxyl carrier...",,,,,,,,,PMM0027
PMM0028,-0.789763829,-0.486507675,0.22241574,-0.487824984,0.463211262,-0.29829216,-0.530859685,-0.277080466,pdxA putative pyridoxal phosphate biosynthetic proteinPdxA,,,,,,,,,PMM0028
PMM0029,-0.883410146,-0.166021225,-0.106066529,-0.20029991,-0.442166133,-0.761038109,-0.716244859,-0.304416907,conserved hypothetical protein,,,,,,,,,PMM0029
PMM0030,-0.009330258,0.46283049,*1.11432288486232,**1.47497577335469,**3.61972999383728,**4.46644526664637,0.905448477,1.06344462,possible Transcription factor TFIID (or TATA-b,,,,,,,,,PMM0030
PMM0031,-0.063184895,0.41222756,0.541649395,0.918306819,0.233742249,0.554985731,-0.111407965,-0.182427941,HNH endonuclease:HNH nuclease,,,,,,,,,PMM0031
PMM0032,-0.407227447,0.155584659,**1.03304218325427,**1.69544886617306,*1.07224728419032,1.139687956,0.112135323,0.361893555,possible Bacterial type II secretion system pr,,,,,,,,,PMM0032
PMM0033,-0.101205992,0.720839482,0.770825883,**1.28822951183976,0.504450204,0.588407964,0.013380871,0.179435981,conserved hypothetical protein,,,,,,,,,PMM0033
PMM0034,0.402957325,0.05571632,0.31383772,-0.132617093,0.04396704,-0.51396138,-0.097538098,0.271276033,conserved hypothetical protein,,,,,,,,,PMM0034
PMM0035,0.092497242,0.650646819,**1.41649447038967,**1.69639905167886,*1.29235948696794,1.333168179,0.057563134,0.202063964,DHSS soluble hydrogenase small subunit,,,,,,,,,PMM0035
PMM0036,-0.969987544,-0.567062452,-0.581609133,-0.313699258,0.390038118,-1.184698157,-0.079450222,-0.04662098,CbiD protein,,,,,,,,,PMM0036
PMM0037,0.029280154,0.241071995,0.429445083,0.679748446,0.641374374,0.646266225,0.167685915,-0.082492513,guaA Glutamine amidotransferase class-I:GMP synthase,,,,,,,,,PMM0037
PMM0038,-0.930428008,-0.42162596,-0.095339486,0.412867716,-0.917232191,-0.724027017,-0.91185086,-0.067844387,hypothetical,,,,,,,,,PMM0038
PMM0039,0.080002211,0.556759574,0.731390738,0.99540448,1.087939058,0.706036748,-0.308065849,-0.165203282,conserved hypothetical protein,,,,,,,,,PMM0039
PMM0040,-0.653268553,-0.664854916,-0.076390092,0.105340651,-0.637756774,-0.496524819,0.224181108,-0.005504692,Putative penicillin-binding protein,,,,,,,,,PMM0040
PMM0041,-0.511126255,-0.770516153,**-2.17519221328589,**-2.11894381147575,-1.378019928,-1.540443008,-0.175694637,-0.184509679,possible reductase,,,,,,,,,PMM0041
PMM0042,0.082886017,-0.200300728,-0.884727416,-0.880299048,-0.082447977,-0.266661693,0.090857754,-0.242725369,flavoprotein,,,,,,,,,PMM0042
PMM0043,0.175035356,0.356493937,-0.043001562,-0.407192823,-0.094502274,0.38799074,0.847687037,0.471161013,flavoprotein,,,,,,,,,PMM0043
PMM0044,-0.467446004,-0.115454093,-0.689864085,-0.590518781,-0.351000054,-0.612110316,-0.08915908,-0.366237933,alaS Alanyl-tRNA synthetase,,,,,,,,,PMM0044
PMM0045,-0.755544109,-0.268210049,0.233028577,0.556160198,0.435627181,0.055495994,-0.229795959,-0.835178778,Orn/DAP/Arg decarboxylases family 2,,,,,,,,,PMM0045
PMM0046,0.279190624,-0.596662692,**-1.18779812775506,*-1.35350967848761,**-1.23125443547191,-1.238006988,-0.362326333,-0.083948627,Nucleoside diphosphate kinase,,,,,,,,,PMM0046
PMM0047,0.180026145,-0.356053039,0.047666922,0.308205233,0.268486485,0.065163446,0.307429957,0.167643761,thiO PUTATIVE THIAMINE BIOSYNTHESIS OXIDOREDUCTASE,,,,,,,,,PMM0047
PMM0048,0.071010044,0.389993868,0.49382672,0.563308512,0.456042613,0.431675953,0.12321585,0.18902255,gatB Glutamyl-tRNA (Gln) amidotransferase subunit B,,,,,,,,,PMM0048
PMM0049,-0.688565079,-0.950298977,-0.146983196,-0.653978904,-0.655386238,-0.815392802,0.421229319,-0.184358557,coaE putative dephospho-CoA kinase,,,,,,,,,PMM0049
PMM0050,-0.683034071,-0.136518261,0.258975084,0.370628737,-0.023925061,-0.026715762,-0.089640891,-0.154211106,argJ ArgJ family,,,,,,,,,PMM0050
PMM0051,-0.055296894,-0.32207882,0.475772147,0.595428882,0.455784619,0.303656254,-0.277171465,-0.165114208,conserved hypothetical protein,,,,,,,,,PMM0051
PMM0052,-1.159161133,-0.437108955,-0.500461849,-0.366931707,-0.587662363,-0.368779802,0.388072863,-0.12829258,Aldo/keto reductase family,,,,,,,,,PMM0052
PMM0053,-0.365827671,0.002217645,-0.300934786,0.158458624,-0.005588254,-1.303660309,0.323095103,-0.390312349,Putative RNA methylase family UPF0020,,,,,,,,,PMM0053
PMM0054,-0.63103228,0.666667415,0.621510422,0.602385279,0.582630583,0.073025443,0.509654126,0.379856505,conserved hypothetical protein,,,,,,,,,PMM0054
PMM0055,-0.265153399,0.334514654,**1.17375814346197,**1.6597841498239,0.971134987,0.84854414,0.027113792,0.203030572,conserved hypothetical protein,,,,,,,,,PMM0055
PMM0056,-0.609121576,-0.205717132,*-0.888128049483557,-1.086602603,-0.788595554,-1.846692229,-0.21496728,-0.044981988,conserved hypothetical protein,,,,,,,,,PMM0056
PMM0057,-0.699679825,-0.085922288,0.452807317,0.542705483,0.288627459,-0.222175051,0.035348445,-0.223943851,"putative chromosome segregation protein, SMCATPase superfamily",,,,,,,,,PMM0057
PMM0058,-0.804009764,0.469136173,0.085293364,0.098854326,0.305548511,0.313568718,-0.007537773,0.058981203,conserved hypothetical protein,,,,,,,,,PMM0058
PMM0059,-0.943431653,-0.159640053,-0.391435619,-0.717986548,-0.517122428,-1.281126826,-0.110341738,-0.076409622,conserved hypothetical protein,,,,,,,,,PMM0059
PMM0060,-0.186270573,-0.584841784,**-1.40051302623322,-0.922707376,-0.558008985,-1.100824393,-0.652650419,-0.621636342,"accC, fabG acetyl-CoA carboxylase, biotin carboxylasesubunit",,,,,,,,,PMM0060
PMM0061,-0.412329917,-0.497062524,-0.130590866,-0.492208068,-0.302438749,-0.793076707,-0.602854753,-0.28089711,"YGGT family, conserved hypothetical integralmembrane protein",,,,,,,,,PMM0061
PMM0063,0.231466924,0.283500525,**1.07426929801500,0.768209252,0.942691952,1.28603078,0.273251415,0.312582411,conserved hypothetical protein,,,,,,,,,PMM0063
PMM0064,0.06678436,0.213497435,-0.372671815,-0.403662481,-1.050251942,-0.004471963,-0.179321306,-0.140078686,hli2 possible high light inducible protein,,,,,,,,,PMM0064
PMM0065,-0.183654301,-0.188137877,-0.441457168,-0.498879852,-0.093380042,-0.22140758,-0.118005115,-0.266331817,"ABC transporter, ATP binding protein",,,,,,,,,PMM0065
PMM0066,-0.787376053,-0.115728187,-0.169121732,0.473263811,0.285515062,0.737407591,1.082387413,0.983233132,conserved hypothetical protein,,,,,,,,,PMM0066
PMM0067,-0.727016358,-0.316665382,-0.448297003,0.258928615,0.339462943,0.457604595,0.520217752,0.069030242,HIT (Histidine triad) family protein,,,,,,,,,PMM0067
PMM0068,-0.053147809,-0.184903701,0.135707775,0.73511294,0.373462459,0.035652251,0.016844967,-0.141956954,def putative formylmethionine deformylase,,,,,,,,,PMM0068
PMM0069,-0.355252948,-0.907406444,-0.099566452,-0.527150325,0.018051963,-0.879782805,0.206584013,0.173049856,Esterase/lipase/thioesterase family active site,,,,,,,,,PMM0069
PMM0070,-0.789695575,-0.28025806,-0.427269037,-0.192657879,0.048504507,-0.10849126,-0.068486374,-0.506488558,putative cysteine desulfurase or selenocysteinelyase,,,,,,,,,PMM0070
PMM0071,-0.763659962,-0.432362015,0.017873989,-0.998061729,-0.849272539,-3.242949498,0.124687672,-0.317092729,"ABC transporter, membrane component",,,,,,,,,PMM0071
PMM0072,-0.071846434,0.327284519,-0.273185528,0.199396214,0.177840289,0.275382948,0.160951069,-0.253194468,"ABC transporter, ATP binding component",,,,,,,,,PMM0072
PMM0073,0.167618681,0.102269266,0.472498382,0.737694542,0.345771442,0.787261772,0.063802343,-0.139890167,"ABC transporter, membrane component",,,,,,,,,PMM0073
PMM0074,-0.683014974,0.154088874,0.159820259,-0.19724787,-0.434725548,-0.620956196,0.524838853,0.657111945,conserved hypothetical,,,,,,,,,PMM0074
PMM0075,-0.132990915,0.690142725,**1.47884435213322,**1.86643245341588,0.535411678,0.517641971,-0.175609242,-0.219417256,conserved hypothetical protein,,,,,,,,,PMM0075
PMM0076,-0.657180083,0.135453095,-0.169005818,-0.614458885,-0.733116249,-0.580357915,0.115950583,0.105538414,pgm Phosphoglucomutase,,,,,,,,,PMM0076
PMM0077,-1.262053148,-0.823820971,-1.261817986,-0.630222561,0.124397658,-0.904627183,1.580580934,1.216490093,"yrvN putative ATPase, AAA family",,,,,,,,,PMM0077
PMM0078,-1.316578111,-0.526704078,1.144739155,-0.888688434,-1.799702284,-3.77738264,-0.184707426,0.085469532,possible 4'-phosphopantetheinyl transferasefamily protein,,,,,,,,,PMM0078
PMM0079,0.138461343,0.096712564,-0.153210257,0.02659765,-0.346116537,-0.851525655,-0.163241106,-0.040969588,bcp putative bacterioferritin comigratory (BCP)protein,,,,,,,,,PMM0079
PMM0080,-1.53585906,-0.781566783,-0.132885937,-0.06414947,-1.231992748,-1.263587955,0.135160865,0.441394181,conserved hypothetical protein,,,,,,,,,PMM0080
PMM0081,-0.267300915,-0.440628988,-0.364372273,-0.286558296,-0.098100679,-0.821587923,-0.267817358,-0.38548002,cysH Phosphoadenosine phosphosulfate reductase,,,,,,,,,PMM0081
PMM0082,-0.892626753,0.28775537,0.458482358,-0.07900217,-0.051948646,-0.281692345,0.893716597,0.090184991,"putative NADH dehydrogenase, transportassociated",,,,,,,,,PMM0082
PMM0083,-0.150261954,0.130590255,-0.406378002,-0.841539548,-0.258885944,-0.465237285,-0.151632055,-0.125108887,"putative sodium/sulfate transporter, DASS family",,,,,,,,,PMM0083
PMM0084,-0.4626454,-0.044830349,-0.392890108,0.061482937,0.160710397,0.371623585,0.066473688,0.313280447,"possible sodium transporter, Trk family",,,,,,,,,PMM0084
PMM0085,-0.149234591,-0.139997022,-0.608759396,-0.473400424,-0.379024148,0.284525616,0.10722567,0.214595195,"putative potassium channel, VIC family",,,,,,,,,PMM0085
PMM0086,0.359877588,0.089936629,**1.30947485341918,**1.44090896308609,**1.51036409864137,1.401953419,-0.225927841,0.197075073,Conserved hypothetical protein,,,,,,,,,PMM0086
PMM0087,0.109009837,0.244430121,0.570007112,**2.20734711904650,**1.87589130338448,**2.42699072707264,-0.454552971,0.014274287,conserved hypothetical protein,,,,,,,,,PMM0087
PMM0088,0.113435535,0.244199371,0.620403323,0.938983941,0.893153339,1.47296267,-0.010258737,0.326121073,conserved hypothetical protein,,,,,,,,,PMM0088
PMM0089,-0.345333973,-0.450004627,-0.271805804,-0.32392936,-0.209327715,-0.296546518,0.524961927,0.675399504,"ABC transporter, ATP binding component",,,,,,,,,PMM0089
PMM0090,-0.984882085,-0.064645001,0.849559741,**1.61256504179732,0.133769349,-0.037466003,0.430095497,0.010258581,possible serine protease,,,,,,,,,PMM0090
PMM0091,-0.162493589,0.59920768,**0.928084151586337,*1.33478937745122,0.573933322,*1.81125769060992,0.407962764,0.546877124,conserved hypothetical protein,,,,,,,,,PMM0091
PMM0092,-0.723701166,0.381318778,0.587837658,0.644603058,0.570269069,0.889425119,0.319040319,-0.212049479,conserved hypothetical protein,,,,,,,,,PMM0092
PMM0093,-0.17464514,-0.001473368,-0.060690617,0.062155349,-0.044172147,0.636282656,-0.2441914,-0.034587203,hli1 possible high light inducible protein,,,,,,,,,PMM0093
PMM0094,0.059933003,-0.10578664,-0.332515856,-0.281227041,-0.280069747,-0.515665801,0.295199276,0.229179934,conserved hypothetical protein,,,,,,,,,PMM0094
PMM0095,-0.553987719,-0.182365053,-0.189350961,-0.282500571,0.075103229,-0.843515523,-0.441227991,-0.606645851,similar to serum resistance locus BrkB,,,,,,,,,PMM0095
PMM0096,-0.807184819,-0.213813436,-0.70562126,-0.92739488,-0.715601172,-2.670830446,0.50278103,0.328081639,inositol monophosphate family protein,,,,,,,,,PMM0096
PMM0097,-0.827628834,-0.30243206,-0.165308583,-0.004489709,-0.556952097,-0.203447759,0.355284174,0.158422608,possible RND family outer membrane effluxprotein,,,,,,,,,PMM0097
PMM0098,-0.586193645,-0.488702398,-0.510025356,-0.183066662,-0.266105693,-0.686133268,0.194828664,0.041047534,possible Fe-S oxidoreductase,,,,,,,,,PMM0098
PMM0099,-0.650930943,-0.372040378,-0.027927232,-0.509162231,0.131342139,0.018632927,0.505557001,0.394127602,conserved hypothetical protein,,,,,,,,,PMM0099
PMM0100,-0.46122048,-0.292717005,-0.365399561,-0.416978129,-0.251967876,-0.608492634,0.051093752,0.100355196,nadB L-aspartate oxidase,,,,,,,,,PMM0100
PMM0101,0.114476299,0.092052857,0.162813755,0.770466985,0.774907944,0.94408126,0.165346241,0.232348245,conserved hypothetical protein,,,,,,,,,PMM0101
PMM0102,-0.785978005,-0.426880131,-0.441143014,-0.405180504,-1.346095257,-2.814909969,-0.032904093,-0.641342144,possible Fe-S oxidoreductase,,,,,,,,,PMM0102
PMM0103,0.210328406,-0.085605702,*0.943593524651835,*1.32261377853767,0.498030569,1.111466059,0.163079518,0.148267395,conserved hypothetical protein,,,,,,,,,PMM0103
PMM0104,-1.088649067,-0.267317309,-0.299653564,-0.338139764,-1.181971921,-0.724243062,0.360468138,-0.037353856,conserved hypothetical protein,,,,,,,,,PMM0104
PMM0105,-0.939129714,-0.381293622,-0.790299137,-0.972989379,-0.755663522,0.406836066,-0.053264518,-0.262822804,ribG RibD/ribG C-terminal domain,,,,,,,,,PMM0105
PMM0106,-0.290069856,-0.297646693,-0.233655615,-0.260145506,-0.018356725,0.694445084,-0.39306923,-0.09438828,6-pyruvoyl tetrahydropterin synthase,,,,,,,,,PMM0106
