gene_id,cluster,resolved_locus_tag,resolution_method
PMT0991,1,PMT0991,locus_tag:gene_id
PMT0990,1,PMT_0990,tier1:gene_id
PMT2240,1,PMT2240,locus_tag:gene_id
PMT2239,1,PMT2239,locus_tag:gene_id
PMT2229,1,PMT2229,locus_tag:gene_id
PMT1831,1,PMT1831,locus_tag:gene_id
PMT0992,1,PMT0992,locus_tag:gene_id
PMT1154,2,PMT_1154,tier1:gene_id
PMT2246,2,PMT2246,locus_tag:gene_id
PMT0039,2,PMT0039,locus_tag:gene_id
PMT0488,2,PMT_0488,tier1:gene_id
PMT1144,2,PMT1144,locus_tag:gene_id
PMT1152,2,PMT1152,locus_tag:gene_id
PMT1874,2,PMT1874,locus_tag:gene_id
PMT0382,2,PMT0382,locus_tag:gene_id
PMT0565,2,PMT0565,locus_tag:gene_id
PMT0951,2,PMT0951,locus_tag:gene_id
PMT2241,2,PMT2241,locus_tag:gene_id
PMT0993,2,PMT0993,locus_tag:gene_id
PMT0963,2,PMT0963,locus_tag:gene_id
PMT1314,2,PMT1314,locus_tag:gene_id
PMT1608,2,PMT1608,locus_tag:gene_id
PMT1946,2,PMT1946,locus_tag:gene_id
PMT0939,2,PMT0939,locus_tag:gene_id
PMT0601,2,PMT0601,locus_tag:gene_id
PMT1631,2,PMT1631,locus_tag:gene_id
PMT1640,2,PMT_1640,tier1:gene_id
PMT0937,2,PMT0937,locus_tag:gene_id
PMT0346,2,PMT0346,locus_tag:gene_id
PMT0845,2,PMT0845,locus_tag:gene_id
PMT0649,2,PMT0649,locus_tag:gene_id
PMT0971,2,PMT_0971,tier1:gene_id
PMT0952,2,PMT0952,locus_tag:gene_id
PMT0964,2,PMT0964,locus_tag:gene_id
PMT2174,2,PMT2174,locus_tag:gene_id
PMT1853,2,PMT1853,locus_tag:gene_id
PMT1153,2,PMT1153,locus_tag:gene_id
PMT0988,2,PMT0988,locus_tag:gene_id
PMT0908,2,PMT0908,locus_tag:gene_id
PMT0201,2,PMT0201,locus_tag:gene_id
PMT0805,2,PMT0805,locus_tag:gene_id
PMT1007,2,PMT1007,locus_tag:gene_id
PMT1341,2,PMT1341,locus_tag:gene_id
PMT2236,3,PMT2236,locus_tag:gene_id
PMT1948,3,PMT1948,locus_tag:gene_id
PMT0508,3,PMT0508,locus_tag:gene_id
PMT0954,3,PMT0954,locus_tag:gene_id
PMT0806,3,PMT0806,locus_tag:gene_id
PMT0366,3,PMT0366,locus_tag:gene_id
