gene_id,cluster,resolved_locus_tag,resolution_method
PMM0970,1,PMM0970,locus_tag:gene_id
PMM1462,1,PMM1462,locus_tag:gene_id
PMM0958,1,PMM0958,locus_tag:gene_id
PMM0920,1,PMM0920,locus_tag:gene_id
PMM0370,1,PMM0370,locus_tag:gene_id
PMM0690,2,PMM0690,locus_tag:gene_id
PMM0337,2,PMM0337,locus_tag:gene_id
PMM1390,2,PMM1390,locus_tag:gene_id
PMM0374,2,PMM0374,locus_tag:gene_id
PMM1041,2,PMM1041,locus_tag:gene_id
PMM0336,2,PMM0336,locus_tag:gene_id
PMM0030,2,PMM0030,locus_tag:gene_id
PMM0365,2,PMM0365,locus_tag:gene_id
PMM1391,2,PMM1391,locus_tag:gene_id
PMM0689,2,PMM0689,locus_tag:gene_id
PMM1463,2,PMM1463,locus_tag:gene_id
PMM0371,2,PMM0371,locus_tag:gene_id
PMM1623,2,PMM1623,locus_tag:gene_id
PMM0687,2,PMM0687,locus_tag:gene_id
PMM0246,2,PMM0246,locus_tag:gene_id
PMM0359,2,PMM0359,locus_tag:gene_id
PMM0936,3,PMM0936,locus_tag:gene_id
PMM1118,3,PMM1118,locus_tag:gene_id
PMM1404,3,PMM1404,locus_tag:gene_id
PMM0817,3,PMM0817,locus_tag:gene_id
PMM1385,3,PMM1385,locus_tag:gene_id
PMM0997,3,PMM0997,locus_tag:gene_id
PMM1562,3,PMM1562,locus_tag:gene_id
PMM0684,3,PMM0684,locus_tag:gene_id
PMM1135,3,PMM1135,locus_tag:gene_id
PMM0548,3,PMM0548,locus_tag:gene_id
PMM1672,3,PMM1672,locus_tag:gene_id
PMM0818,3,PMM0818,locus_tag:gene_id
PMM1262,3,PMM1262,locus_tag:gene_id
PMM0819,3,PMM0819,locus_tag:gene_id
PMM0338,3,PMM0338,locus_tag:gene_id
PMM1396,3,PMM1396,locus_tag:gene_id
PMM1397,3,PMM1397,locus_tag:gene_id
PMM0988,3,PMM0988,locus_tag:gene_id
PMM1384,3,PMM1384,locus_tag:gene_id
PMM1602,4,PMM1602,locus_tag:gene_id
PMM0726,4,PMM0726,locus_tag:gene_id
PMM0448,4,PMM0448,locus_tag:gene_id
PMM0160,4,PMM0160,locus_tag:gene_id
PMM0055,4,PMM0055,locus_tag:gene_id
PMM1074,4,PMM1074,locus_tag:gene_id
PMM0742,4,PMM0742,locus_tag:gene_id
PMM0736,4,PMM0736,locus_tag:gene_id
PMM1512,4,PMM1512,locus_tag:gene_id
PMM1037,4,PMM1037,locus_tag:gene_id
PMM0363,4,PMM0363,locus_tag:gene_id
PMM1050,4,PMM1050,locus_tag:gene_id
PMM0519,4,PMM0519,locus_tag:gene_id
PMM0971,4,PMM0971,locus_tag:gene_id
PMM1678,4,PMM1678,locus_tag:gene_id
PMM1013,4,PMM1013,locus_tag:gene_id
PMM0120,4,PMM0120,locus_tag:gene_id
PMM0294,4,PMM0294,locus_tag:gene_id
PMM0243,4,PMM0243,locus_tag:gene_id
PMM0996,4,PMM0996,locus_tag:gene_id
PMM0387,4,PMM0387,locus_tag:gene_id
PMM0731,4,PMM0731,locus_tag:gene_id
PMM1123,4,PMM1123,locus_tag:gene_id
PMM1313,4,PMM1313,locus_tag:gene_id
PMM0172,4,PMM0172,locus_tag:gene_id
PMM1689,4,PMM1689,locus_tag:gene_id
PMM0368,4,PMM0368,locus_tag:gene_id
PMM0237,4,PMM0237,locus_tag:gene_id
PMM0502,4,PMM0502,locus_tag:gene_id
PMM0810,4,PMM0810,locus_tag:gene_id
PMM0334,4,PMM0334,locus_tag:gene_id
PMM0795,4,PMM0795,locus_tag:gene_id
PMM0651,4,PMM0651,locus_tag:gene_id
PMM0116,4,PMM0116,locus_tag:gene_id
PMM1514,4,PMM1514,locus_tag:gene_id
PMM0957,4,PMM0957,locus_tag:gene_id
PMM0858,4,PMM0858,locus_tag:gene_id
PMM1312,4,PMM1312,locus_tag:gene_id
PMM0063,4,PMM0063,locus_tag:gene_id
PMM0965,4,PMM0965,locus_tag:gene_id
PMM0145,4,PMM0145,locus_tag:gene_id
PMM0103,4,PMM0103,locus_tag:gene_id
PMM0091,4,PMM0091,locus_tag:gene_id
PMM0244,4,PMM0244,locus_tag:gene_id
PMM1314,4,PMM1314,locus_tag:gene_id
PMM1601,4,PMM1601,locus_tag:gene_id
PMM1045,4,PMM1045,locus_tag:gene_id
PMM1069,4,PMM1069,locus_tag:gene_id
PMM1700,4,PMM1700,locus_tag:gene_id
PMM1409,4,PMM1409,locus_tag:gene_id
PMM1134,4,PMM1134,locus_tag:gene_id
PMM1154,4,PMM1154,locus_tag:gene_id
PMM0086,4,PMM0086,locus_tag:gene_id
PMM0447,4,PMM0447,locus_tag:gene_id
PMM1128,4,PMM1128,locus_tag:gene_id
PMM1589,4,PMM1589,locus_tag:gene_id
PMM0224,4,PMM0224,locus_tag:gene_id
PMM1412,4,PMM1412,locus_tag:gene_id
PMM0159,4,PMM0159,locus_tag:gene_id
PMM0343,4,PMM0343,locus_tag:gene_id
PMM1479,4,PMM1479,locus_tag:gene_id
PMM0364,4,PMM0364,locus_tag:gene_id
PMM1434,4,PMM1434,locus_tag:gene_id
PMM1097,4,PMM1097,locus_tag:gene_id
PMM0087,4,PMM0087,locus_tag:gene_id
PMM0245,4,PMM0245,locus_tag:gene_id
PMM1667,4,PMM1667,locus_tag:gene_id
PMM0883,4,PMM0883,locus_tag:gene_id
PMM1038,4,PMM1038,locus_tag:gene_id
PMM0150,4,PMM0150,locus_tag:gene_id
PMM0035,4,PMM0035,locus_tag:gene_id
PMM0661,4,PMM0661,locus_tag:gene_id
PMM0220,4,PMM0220,locus_tag:gene_id
PMM0366,4,PMM0366,locus_tag:gene_id
PMM0342,4,PMM0342,locus_tag:gene_id
PMM0032,4,PMM0032,locus_tag:gene_id
PMM1149,4,PMM1149,locus_tag:gene_id
PMM0558,4,PMM0558,locus_tag:gene_id
PMM0372,4,PMM0372,locus_tag:gene_id
PMM0738,4,PMM0738,locus_tag:gene_id
PMM1169,4,PMM1169,locus_tag:gene_id
PMM0804,4,PMM0804,locus_tag:gene_id
PMM1078,4,PMM1078,locus_tag:gene_id
PMM1442,4,PMM1442,locus_tag:gene_id
PMM0235,4,PMM0235,locus_tag:gene_id
PMM0446,4,PMM0446,locus_tag:gene_id
PMM0611,5,PMM0611,locus_tag:gene_id
PMM1414,5,PMM1414,locus_tag:gene_id
PMM0090,5,PMM0090,locus_tag:gene_id
PMM0964,5,PMM0964,locus_tag:gene_id
PMM0911,5,PMM0911,locus_tag:gene_id
PMM0012,5,PMM0012,locus_tag:gene_id
