Group,response_group,Gene Function,Gene NO.,Gene Locus,logFC-15min_vs_CT30m,logFC-1h_vs_CT30m,logFC-3h_vs_CT30m,logFC-5h_vs_CT30m,logFC-7h_vs_CT30m,Pvalue-15min_vs_CT30m,Pvalue-1h_vs_CT30m,Pvalue-3h_vs_CT30m,Pvalue-5h_vs_CT30m,Pvalue-7h_vs_CT30m,resolved_locus_tag,resolution_method
Group 1a,1a,rbcL,gene685,rbcL,2.53317104092974,1.36658117790308,1.5592448171805,0.943105917088682,-0.459064089562648,0.000247207587447,0.0401136959852205,0.0197690577348055,0.153012822374979,0.485393417490823,SynWH7803_0678,tier1:Gene Locus
Group 1a,1a,carboxysome shell protein,gene687,SYNWH7803_RS03435,2.26000525527837,1.32036437126497,1.33527946924479,0.836627231245943,-0.330642637115033,0.0009723071498381,0.0480430721070282,0.0453483470851602,0.206193062043292,0.619275198081718,SynWH7803_0680,tier1:Gene Locus
Group 1a,1a,carbon dioxide-concentrating mechanism protein CcmK,gene684,SYNWH7803_RS03420,2.2473105973779,1.22799750608002,1.27918798734374,0.740460419274674,0.336263645792678,0.0010354050639211,0.0655208499629953,0.0552592423809462,0.263240032989253,0.612226931102533,SynWH7803_0677,tier1:Gene Locus
Group 1a,1a,ribulose bisphosphate carboxylase small subunit,gene686,SYNWH7803_RS03430,2.10620051807953,0.745144332191952,1.14348962849152,0.649652946517043,-0.639513772875146,0.0020347271130028,0.260702269909241,0.0859638793897056,0.328034878409065,0.341797655126616,SynWH7803_0679,tier1:Gene Locus
Group 1a,1a,peroxiredoxin,gene1104,SYNWH7803_RS05510,2.09703678452466,1.36899143835062,1.47261116205022,0.465542176136853,-0.394039240249921,0.0021304300396042,0.0412379254822805,0.0284901364457148,0.484485323808795,0.557770630510369,SynWH7803_1118,tier1:Gene Locus
Group 1a,1a,alpha/beta hydrolase,gene858,SYNWH7803_RS04285,2.18563829428939,0.486491104488713,1.01437922130647,0.415746023988676,0.487282390732179,0.0019641107889792,0.521600136315843,0.148719748783174,0.566775066495426,0.520023197228666,SynWH7803_0858,tier1:Gene Locus
Group 1a,1a,hypothetical protein,gene961,SYNWH7803_RS04795,2.39568339041052,-0.0276548529586748,-0.528609598870632,-1.05376054181963,-0.402895892335139,0.0004952115485173,0.967456748387383,0.421885448434194,0.112498368407542,0.541615086655342,SynWH7803_0973,tier1:Gene Locus
Group 1a,1a,hypothetical protein,gene2022,SYNWH7803_RS10045,2.54733683002906,0.684361396647146,0.736222708023007,-1.11199656463943,-0.989416379394247,0.0002482550200153,0.309608647998799,0.271421749862866,0.105272262142681,0.155993356173372,SynWH7803_2034,tier1:Gene Locus
Group 1a,1a,DUF4278 domain-containing protein,gene2021,SYNWH7803_RS10040,2.62810284794543,0.622119772069068,0.565854038024238,-1.34059590764429,-1.12700024813326,0.0001523558634637,0.344489336633015,0.389385957893778,0.0448320610993368,0.0912249305655359,SynWH7803_2033,tier1:Gene Locus
Group 1b,1b,50S ribosomal protein L10,gene2364,SYNWH7803_RS11730,0.865385266145525,3.07372592565086,2.43368943018526,1.93476470365667,1.60080596080583,0.189251242754013,1.3687253744083e-05,0.0004102391772224,0.0042601296799502,0.016963955574848,SynWH7803_2372,tier1:Gene Locus
