Group,Gene Function,Gene NO.,Gene Locus,logFC-15min_vs_CT30m,logFC-1h_vs_CT30m,logFC-3h_vs_CT30m,logFC-5h_vs_CT30m,logFC-7h_vs_CT30m,Pvalue-15min_vs_CT30m,Pvalue-1h_vs_CT30m,Pvalue-3h_vs_CT30m,Pvalue-5h_vs_CT30m,Pvalue-7h_vs_CT30m,resolved_locus_tag,resolution_method
Group 1a,rbcL,gene685,rbcL,2.53317104092974,1.36658117790308,1.5592448171805,0.943105917088682,-0.459064089562648,0.000247207587447,0.0401136959852205,0.0197690577348055,0.153012822374979,0.485393417490823,SynWH7803_0678,tier1:Gene Locus
Group 1a,carboxysome shell protein,gene687,SYNWH7803_RS03435,2.26000525527837,1.32036437126497,1.33527946924479,0.836627231245943,-0.330642637115033,0.0009723071498381,0.0480430721070282,0.0453483470851602,0.206193062043292,0.619275198081718,SynWH7803_0680,tier1:Gene Locus
Group 1a,carbon dioxide-concentrating mechanism protein CcmK,gene684,SYNWH7803_RS03420,2.2473105973779,1.22799750608002,1.27918798734374,0.740460419274674,0.336263645792678,0.0010354050639211,0.0655208499629953,0.0552592423809462,0.263240032989253,0.612226931102533,SynWH7803_0677,tier1:Gene Locus
Group 1a,ribulose bisphosphate carboxylase small subunit,gene686,SYNWH7803_RS03430,2.10620051807953,0.745144332191952,1.14348962849152,0.649652946517043,-0.639513772875146,0.0020347271130028,0.260702269909241,0.0859638793897056,0.328034878409065,0.341797655126616,SynWH7803_0679,tier1:Gene Locus
Group 1a,peroxiredoxin,gene1104,SYNWH7803_RS05510,2.09703678452466,1.36899143835062,1.47261116205022,0.465542176136853,-0.394039240249921,0.0021304300396042,0.0412379254822805,0.0284901364457148,0.484485323808795,0.557770630510369,SynWH7803_1118,tier1:Gene Locus
Group 1a,alpha/beta hydrolase,gene858,SYNWH7803_RS04285,2.18563829428939,0.486491104488713,1.01437922130647,0.415746023988676,0.487282390732179,0.0019641107889792,0.521600136315843,0.148719748783174,0.566775066495426,0.520023197228666,SynWH7803_0858,tier1:Gene Locus
Group 1a,hypothetical protein,gene961,SYNWH7803_RS04795,2.39568339041052,-0.0276548529586748,-0.528609598870632,-1.05376054181963,-0.402895892335139,0.0004952115485173,0.967456748387383,0.421885448434194,0.112498368407542,0.541615086655342,SynWH7803_0973,tier1:Gene Locus
Group 1a,hypothetical protein,gene2022,SYNWH7803_RS10045,2.54733683002906,0.684361396647146,0.736222708023007,-1.11199656463943,-0.989416379394247,0.0002482550200153,0.309608647998799,0.271421749862866,0.105272262142681,0.155993356173372,SynWH7803_2034,tier1:Gene Locus
Group 1a,DUF4278 domain-containing protein,gene2021,SYNWH7803_RS10040,2.62810284794543,0.622119772069068,0.565854038024238,-1.34059590764429,-1.12700024813326,0.0001523558634637,0.344489336633015,0.389385957893778,0.0448320610993368,0.0912249305655359,SynWH7803_2033,tier1:Gene Locus
Group 1b,50S ribosomal protein L10,gene2364,SYNWH7803_RS11730,0.865385266145525,3.07372592565086,2.43368943018526,1.93476470365667,1.60080596080583,0.189251242754013,1.3687253744083e-05,0.0004102391772224,0.0042601296799502,0.016963955574848,SynWH7803_2372,tier1:Gene Locus
Group 1b,50S ribosomal protein L7/L12,gene2363,SYNWH7803_RS11725,0.86774158901183,2.95680131994925,2.29660409667644,1.71491163197067,1.01889747324138,0.188395652228925,2.63544904475256e-05,0.0008081934793516,0.0108063819093689,0.124214304994202,SynWH7803_2371,tier1:Gene Locus
Group 1b,50S ribosomal protein L24,gene419,SYNWH7803_RS02090,1.8697754791322,2.83241219387903,2.57264454288036,1.95833404981929,0.926371266020115,0.0072795610204898,8.28998981691837e-05,0.0002972456584312,0.0055208940439185,0.196490395124473,SynWH7803_0423,tier1:Gene Locus
Group 1b,50S ribosomal protein L22,gene425,SYNWH7803_RS02120,2.41297196662433,2.88130403640377,2.80753919872735,1.57618893924211,0.883939321039894,0.0005702289839122,5.50755140840221e-05,7.92461857220957e-05,0.0228914043018485,0.205509675200831,SynWH7803_0429,tier1:Gene Locus
Group 1b,30S ribosomal protein S5,gene414,SYNWH7803_RS02065,1.15312696370198,2.59192258186898,2.46263130705685,1.82772094054658,0.833927504968768,0.0866494139336628,0.0002261165072083,0.000415722101986,0.0078666198540566,0.221673594145517,SynWH7803_0418,tier1:Gene Locus
Group 1b,50S ribosomal protein L6,gene416,SYNWH7803_RS02075,1.78043442004031,2.81212362835258,2.82388340945498,1.8063677086348,0.828974138831396,0.0092717589939694,7.05554998796028e-05,6.55719563153308e-05,0.008680716084854,0.232079210767802,SynWH7803_0420,tier1:Gene Locus
Group 1b,50S ribosomal protein L16,gene423,SYNWH7803_RS02110,1.40346832307651,2.39202439477628,2.28249919427265,1.67029642663908,0.75107906095945,0.0378752300632873,0.0006265125231527,0.0010215867565638,0.0146002380309071,0.273097482876911,SynWH7803_0427,tier1:Gene Locus
Group 1b,30S ribosomal protein S8,gene417,SYNWH7803_RS02080,1.52166079587753,2.80077268958925,2.59380012691336,2.04682689937729,0.697655028383291,0.0278524154703819,0.000101785933992,0.0002933338815214,0.0039547839667499,0.338087927054968,SynWH7803_0421,tier1:Gene Locus
Group 1b,50S ribosomal protein L5,gene418,SYNWH7803_RS02085,1.70119753618936,2.96840962529635,2.83159591938563,1.87447674657031,0.544453703839696,0.0124858698623919,3.07319095998567e-05,6.40828634179124e-05,0.006461573712749,0.431264165017731,SynWH7803_0422,tier1:Gene Locus
Group 1b,30S ribosomal protein S3,gene424,SYNWH7803_RS02115,1.66757503530891,2.79831226706784,2.51320881749188,1.52029816751627,0.409152605837943,0.0136158167336633,6.95477440734793e-05,0.0003022041930992,0.0244534945097908,0.549210946226106,SynWH7803_0428,tier1:Gene Locus
Group 1b,50S ribosomal protein L14,gene420,SYNWH7803_RS02095,1.86706024788874,2.8532709274607,2.48333510451973,1.60840804364957,0.2211704926482,0.0073393476077784,7.55557960464082e-05,0.0005104255867918,0.0226515516636425,0.791891540724666,SynWH7803_0424,tier1:Gene Locus
Group 1b,50S ribosomal protein L18,gene415,SYNWH7803_RS02070,1.30014599419978,2.49707966937691,2.67587144368351,1.45946555249923,1.02890312941431,0.0626913469274554,0.0005390766626108,0.0001958913006878,0.0390202598583361,0.159556104016493,SynWH7803_0419,tier1:Gene Locus
Group 1b,50S ribosomal protein L4,gene429,SYNWH7803_RS02140,2.4542159558636,2.70304964934595,2.47214941478048,1.44994435415158,0.724928659057913,0.0004009119844116,0.0001142381098039,0.0003775166240255,0.0321485289244807,0.284880128172355,SynWH7803_0433,tier1:Gene Locus
Group 1b,50S ribosomal protein L2,gene427,SYNWH7803_RS02130,2.14886403902973,2.74926834579125,2.5618088577062,1.41794158841896,0.451695263083399,0.0016852014491648,8.73705402429739e-05,0.0002277448327809,0.0349177334969365,0.501498366438006,SynWH7803_0431,tier1:Gene Locus
Group 1b,30S ribosomal protein S17,gene421,SYNWH7803_RS02100,1.80648863253499,2.68131379558283,2.41566919476693,1.35230851256311,-0.106395730007312,0.0148059900810096,0.0004560975970192,0.0012157046642722,0.0883561274388733,1.0,SynWH7803_0425,tier1:Gene Locus
