gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2785712097	530	100	1	530	1	530	0.0e+00	1210	KO:K02313	chromosomal replication initiator protein		
2785712098	366	100	1	366	1	366	0.0e+00	808	KO:K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	EC:2.7.7.7	
2785712099	362	100	1	362	1	362	0.0e+00	821	KO:K03629	DNA replication and repair protein RecF		
2785712100	806	100	1	806	1	806	0.0e+00	1830	KO:K02470	DNA gyrase subunit B [EC:5.6.2.2]	EC:5.6.2.2	
2785712101	157	100	1	157	1	157	6.5e-112	364	KO:K07341	death on curing protein		
2785712104	447	54.78	57	443	63	442	0.0e+00	485	KO:K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	EC:3.1.21.3	
2785712105	544	100	1	544	1	544	0.0e+00	1230	KO:K03427	type I restriction enzyme M protein [EC:2.1.1.72]	EC:2.1.1.72	
2785712106	1037	100	1	1037	1	1037	0.0e+00	2350	KO:K01153	type I restriction enzyme, R subunit [EC:3.1.21.3]	EC:3.1.21.3	
2785712107	67	100	1	67	1	67	2.3e-41	154	KO:K07727	putative transcriptional regulator		
2785712110	643	44.64	1	612	1	613	0.0e+00	577	KO:K07497	putative transposase		
2785712116	111	63.21	1	106	1	106	2.5e-42	162	KO:K09946	uncharacterized protein		
2785712123	692	100	1	692	1	692	0.0e+00	1520	KO:K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	EC:6.1.1.14	
2785712124	301	100	1	301	1	301	0.0e+00	719	KO:K01878	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	EC:6.1.1.14	
2785712125	202	100	1	202	1	202	0.0e+00	483	KO:K01246	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	EC:3.2.2.20	
2785712127	167	100	1	167	1	167	6.4e-120	388	KO:K09894	uncharacterized protein		
2785712130	211	100	1	211	1	211	0.0e+00	476	KO:K03978	GTP-binding protein		
2785712131	930	100	1	930	1	930	0.0e+00	2100	KO:K02335	DNA polymerase I [EC:2.7.7.7]	EC:2.7.7.7	
2785712133	483	100	1	483	1	483	0.0e+00	1090	KO:K03498	trk/ktr system potassium uptake protein		
2785712134	459	100	1	459	1	459	0.0e+00	1010	KO:K03499	trk/ktr system potassium uptake protein		
2785712135	439	100	1	439	1	439	0.0e+00	1010	KO:K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	EC:2.1.1.176	
2785712136	316	100	1	316	1	316	0.0e+00	719	KO:K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	EC:2.1.2.9	
2785712137	169	100	1	169	1	169	1.7e-115	376	KO:K01462	peptide deformylase [EC:3.5.1.88]	EC:3.5.1.88	
2785712139	369	100	1	369	1	369	0.0e+00	821	KO:K04096	DNA processing protein		
2785712140	158	100	1	158	1	158	2.4e-112	366	KO:K03747	Smg protein		
2785712141	180	100	1	180	1	180	0.0e+00	459	KO:K07479	putative DNA topoisomerase		
2785712142	201	100	1	201	1	201	0.0e+00	461	KO:K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	EC:2.7.7.87	
2785712143	310	100	1	310	1	310	0.0e+00	753	KO:K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]	EC:1.3.3.3	
2785712144	226	100	1	226	1	226	0.0e+00	521	KO:K07275	outer membrane protein		
2785712145	143	100	1	143	1	143	4.0e-103	338	KO:K06886	hemoglobin		
2785712146	253	100	1	253	1	253	0.0e+00	563	KO:K00014	shikimate dehydrogenase [EC:1.1.1.25]	EC:1.1.1.25	
2785712156	176	100	1	176	1	176	1.6e-129	416	KO:K12976	lipid A 3-O-deacylase [EC:3.1.1.-]	EC:3.1.1.-	
2785712159	1029	100	1	1029	1	1029	0.0e+00	2360	KO:K14162	error-prone DNA polymerase [EC:2.7.7.7]	EC:2.7.7.7	
2785712160	513	100	1	513	1	513	0.0e+00	1200	KO:K14161	protein ImuB		
2785712166	131	100	1	131	1	131	6.2e-92	305	KO:K07483	transposase		
2785712167	255	100	1	255	1	255	0.0e+00	596	KO:K07497	putative transposase		
2785712168	195	100	1	195	1	195	0.0e+00	435	KO:K05501	TetR/AcrR family transcriptional regulator		
2785712169	409	100	1	409	1	409	0.0e+00	901	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:4.1.1.36	
2785712169	409	100	1	409	1	409	0.0e+00	901	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:6.3.2.5	
2785712170	225	100	1	225	1	225	0.0e+00	504	KO:K03630	DNA repair protein RadC		
2785712175	78	100	1	78	1	78	2.8e-50	181	KO:K02902	large subunit ribosomal protein L28		
2785712176	51	100	1	51	1	51	5.5e-30	120	KO:K02913	large subunit ribosomal protein L33		
2785712178	269	100	1	269	1	269	0.0e+00	617	KO:K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	EC:3.2.2.23	
2785712178	269	100	1	269	1	269	0.0e+00	617	KO:K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	EC:4.2.99.18	
2785712179	162	100	1	162	1	162	1.5e-111	364	KO:K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	EC:2.7.7.3	
2785712180	240	100	1	240	1	240	0.0e+00	580	KO:K11211	3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]	EC:2.7.1.166	
2785712183	814	50.43	1	811	1	809	0.0e+00	909	KO:K21024	c-di-GMP phosphodiesterase [EC:3.1.4.52]	EC:3.1.4.52	
2785712184	398	100	1	398	1	398	0.0e+00	905	KO:K00639	glycine C-acetyltransferase [EC:2.3.1.29]	EC:2.3.1.29	
2785712185	341	100	1	341	1	341	0.0e+00	801	KO:K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	EC:1.1.1.103	
2785712186	103	100	1	103	1	103	1.8e-70	241	KO:K02439	thiosulfate sulfurtransferase [EC:2.8.1.1]	EC:2.8.1.1	
2785712187	287	100	1	287	1	287	0.0e+00	668	KO:K02441	rhomboid protease GlpG [EC:3.4.21.105]	EC:3.4.21.105	
2785712188	137	100	1	137	1	137	5.2e-92	306	KO:K02415	flagellar protein FliL		
2785712189	204	100	1	204	1	204	0.0e+00	475	KO:K03181	chorismate lyase [EC:4.1.3.40]	EC:4.1.3.40	
2785712190	285	100	1	285	1	285	0.0e+00	653	KO:K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]	EC:2.5.1.39	
2785712191	83	100	1	83	1	83	3.9e-49	178	KO:K09806	ubiquinone biosynthesis accessory factor UbiK		
2785712192	671	100	1	671	1	671	0.0e+00	1520	KO:K03656	ATP-dependent DNA helicase Rep [EC:5.6.2.4]	EC:5.6.2.4	
2785712196	470	100	1	470	1	470	0.0e+00	1040	KO:K03315	Na+:H+ antiporter, NhaC family		
2785712197	589	100	1	589	1	589	0.0e+00	1370	KO:K03451	betaine/carnitine transporter, BCCT family		
2785712203	697	100	1	697	1	697	0.0e+00	1630	KO:K16088	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid		
2785712205	406	100	1	406	1	406	0.0e+00	948	KO:K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	EC:1.3.8.7	
2785712208	461	100	1	461	1	461	0.0e+00	1070	KO:K06918	uncharacterized protein		
2785712209	364	100	1	364	1	364	0.0e+00	820	KO:K08990	putative membrane protein		
2785712212	377	100	1	377	1	377	0.0e+00	860	KO:K03150	2-iminoacetate synthase [EC:4.1.99.19]	EC:4.1.99.19	
2785712213	256	100	1	256	1	256	0.0e+00	563	KO:K03149	thiazole synthase [EC:2.8.1.10]	EC:2.8.1.10	
2785712214	69	100	1	69	1	69	2.8e-41	154	KO:K03154	sulfur carrier protein		
2785712215	264	100	1	264	1	264	0.0e+00	605	KO:K03148	sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]	EC:2.7.7.73	
2785712216	533	100	1	533	1	533	0.0e+00	1220	KO:K14153	hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]	EC:2.5.1.3	
2785712216	533	100	1	533	1	533	0.0e+00	1220	KO:K14153	hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]	EC:2.7.1.49	
2785712216	533	100	1	533	1	533	0.0e+00	1220	KO:K14153	hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]	EC:2.7.4.7	
2785712217	636	100	1	636	1	636	0.0e+00	1500	KO:K03147	phosphomethylpyrimidine synthase [EC:4.1.99.17]	EC:4.1.99.17	
