gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2785712097	530	1	42	22	64	2.6e-10	37.9	pfam11638	DnaA_N	65
2785712097	530	195	374	2	179	1.5e-83	277.2	pfam00308	Bac_DnaA	180
2785712097	530	439	507	1	69	1.8e-32	109.2	pfam08299	Bac_DnaA_C	69
2785712098	366	1	120	1	119	2.7e-38	128.8	pfam00712	DNA_pol3_beta	120
2785712098	366	129	243	2	116	5.4e-37	124.6	pfam02767	DNA_pol3_beta_2	116
2785712098	366	245	365	1	121	6.6e-42	140.1	pfam02768	DNA_pol3_beta_3	121
2785712099	362	2	360	2	208	1.3e-31	107.7	pfam02463	SMC_N	220
2785712100	806	33	177	2	106	2.0e-17	61.6	pfam02518	HATPase_c	111
2785712100	806	222	393	1	172	2.2e-62	207.5	pfam00204	DNA_gyraseB	173
2785712100	806	421	534	1	95	6.7e-20	69.1	pfam01751	Toprim	96
2785712100	806	535	563	1	29	3.2e-16	56.6	pfam21249	GyrB_hook	29
2785712100	806	566	732	1	167	7.4e-54	180.1	pfam18053	GyrB_insert	167
2785712100	806	733	795	4	63	2.9e-32	108.6	pfam00986	DNA_gyraseB_C	63
2785712101	157	13	91	1	93	1.5e-13	49.4	pfam02661	Fic	93
2785712104	447	77	189	80	167	5.0e-09	34.5	pfam01420	Methylase_S	168
2785712105	544	177	501	4	305	1.6e-63	212.8	pfam02384	N6_Mtase	311
2785712106	1037	2	182	2	187	3.8e-28	96.6	pfam04313	HSDR_N	198
2785712106	1037	290	521	2	206	8.1e-39	131.5	pfam18766	SWI2_SNF2	221
2785712106	1037	548	697	55	157	8.0e-19	66.5	pfam22679	UvrB_D3-like	158
2785712107	67	5	67	1	63	6.9e-23	78.7	pfam13443	HTH_26	63
2785712109	247	69	146	4	85	3.7e-08	31.8	pfam08722	Tn7_TnsA-like_N	85
2785712110	643	469	535	2	61	1.3e-13	48.7	pfam09299	Mu-transpos_C	61
