seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_017506.1,HP15_RS00010,,HP15_RS00010,HP15_2,Protein Homology,1209,2378,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007351508.1,isovaleryl-CoA dehydrogenase,WP_008170605.1,,,,,,HP15_2,
NC_017506.1,HP15_RS00015,,HP15_RS00015,HP15_RS00015,Protein Homology,2408,2851,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014576484.1,MerR family transcriptional regulator,WP_041644814.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,,
NC_017506.1,HP15_RS00020,,HP15_RS00020,HP15_4,Protein Homology,3099,4025,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014575635.1,quinone oxidoreductase family protein,WP_014575635.1,"GO:0008270,GO:0016616,GO:0030554,GO:0048038",,"zinc ion binding|0008270||IEA,oxidoreductase activity%2C acting on the CH-OH group of donors%2C NAD or NADP as acceptor|0016616||IEA,adenyl nucleotide binding|0030554||IEA,quinone binding|0048038||IEA",,,HP15_4,1.1.1.-
NC_017506.1,HP15_RS00025,,HP15_RS00025,HP15_5,Protein Homology,4103,5284,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_003288888.1,acetyl-CoA C-acetyltransferase,WP_041644815.1,GO:0003985,,acetyl-CoA C-acetyltransferase activity|0003985||IEA,,,HP15_5,2.3.1.9
NC_017506.1,HP15_RS00030,,HP15_RS00030,HP15_6,Protein Homology,5654,6496,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_003244724.1,SDR family oxidoreductase,WP_041644816.1,,,,,,HP15_6,
NC_017506.1,HP15_RS00035,,HP15_RS00035,HP15_7,Protein Homology,6910,8571,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014575638.1,DUF1302 domain-containing protein,WP_014575638.1,,,,,,HP15_7,
NC_017506.1,HP15_RS00040,,HP15_RS00040,HP15_8,Protein Homology,8596,9978,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014575639.1,DUF1329 domain-containing protein,WP_014575639.1,,,,,,HP15_8,
NC_017506.1,HP15_RS00045,,HP15_RS00045,HP15_9,Protein Homology,10091,11251,+,,,COORDINATES: protein motif:HMM:NF026220.6,WD40/YVTN/BNR-like repeat-containing protein,WP_014575640.1,,,,,,HP15_9,
NC_017506.1,HP15_RS00050,,HP15_RS00050,HP15_10,Protein Homology,11376,13913,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014575641.1,efflux RND transporter permease subunit,WP_014575641.1,"GO:0055085,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,,HP15_10,
NC_017506.1,HP15_RS00055,,HP15_RS00055,HP15_11,Protein Homology,13976,14941,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014575642.1,VOC family protein,WP_014575642.1,,,,,,HP15_11,
