Gene or region,New gene name,Function,Fourier,FDR,Peak,Peak R value,Cluster,Cluster membership score,"Cyanobase categories, main",Cyanobase sub-categories,Normalized,StdDev Norm,Normalized.1,StdDev Norm.1,Normalized.2,StdDev Norm.2,Normalized.3,StdDev Norm.3,Normalized.4,StdDev Norm.4,Normalized.5,StdDev Norm.5,Normalized.6,StdDev Norm.6,Normalized.7,StdDev Norm.7,Normalized.8,StdDev Norm.8,Normalized.9,StdDev Norm.9,Normalized.10,StdDev Norm.10,Normalized.11,StdDev Norm.11,Normalized.12,StdDev Norm.12,Normalized.13,StdDev Norm.13,Normalized.14,StdDev Norm.14,Normalized.15,StdDev Norm.15,Normalized.16,StdDev Norm.16,Normalized.17,StdDev Norm.17,Normalized.18,StdDev Norm.18,Normalized.19,StdDev Norm.19,Normalized.20,StdDev Norm.20,Normalized.21,StdDev Norm.21,Normalized.22,StdDev Norm.22,Normalized.23,StdDev Norm.23,Normalized.24,StdDev Norm.24,resolved_locus_tag,resolution_method
PMM0001,PMED4_00001,"dnaN DNA polymerase III, beta chain",16.05377599,0.000470588,18.2,0.917160314,5.0,0.672061576,"11.0 DNA replication, recombination, and repair","11.0 DNA replication, recombination, and repair",0.38633642,0.008323202,0.3674509,0.11788837,0.96665746,0.29353213,1.5234025,0.26002866,1.5873419,0.28431132,1.8996264,0.027884694,1.2806671,0.1405079,1.2367717,0.16803142,0.8395859,0.10664295,0.595439,0.031813733,0.5563477,0.0801475,0.43285802,0.048281033,0.3680902,0.13292977,0.429484,0.10774889,1.2094401,0.1918825,2.722688,0.2208378,2.7997942,0.35655463,2.3526511,0.09729919,1.7190257,0.002186443,1.4166365,0.12834713,1.2098298,0.092529304,0.87158036,0.046716746,0.55599105,0.010733438,0.4574065,0.06445935,0.51267374,0.09035944,PMM0001,locus_tag:Gene or region
PMM0002,PMED4_00011,conserved hypothetical protein,14.96153842,0.002642706,18.0,0.855513467,6.0,0.607841656,16.0 Hypothetical,16.1 Conserved hypothetical protein,1.124593,0.16195475,0.48498905,0.06167883,0.89124227,0.001094597,1.1498884,0.15234806,1.1405758,0.33961803,1.5147815,0.040512487,1.5594667,0.19361345,1.2357829,0.109627895,0.9884093,0.07063433,0.8173357,0.30404752,0.84395796,0.14585139,0.6979824,0.08273733,0.712978,0.09262778,0.7154307,0.1113149,1.0591642,0.1109294,1.7910082,0.14516188,2.1365397,0.07140378,1.6481065,0.075114526,1.3351631,0.22521971,1.2947316,0.14424151,1.0210268,0.06881796,0.8934261,0.03552507,0.6318429,0.05321401,0.7246539,0.012137002,0.7050717,0.011100294,PMM0002,locus_tag:Gene or region
PMM0003,PMED4_00021,purL phosphoribosylformylglycinamidine synthetase II,16.33184477,0.000325733,18.4,0.931530392,6.0,0.997901284,"9.0 Purines, pyrimidines, nucleosides, and nucleotides",9.2 Purine ribonucleotide biosynthesis,0.83767873,0.019058136,0.6134913,0.058455907,0.89524627,0.009508674,1.1345949,0.02619364,1.2214066,0.5454436,1.7337112,0.079598054,1.590053,0.19985797,1.3539547,0.08126918,0.9989928,0.06350079,0.83174783,0.077967174,0.777358,0.055366687,0.7291172,0.035789058,0.79126614,0.08708227,0.71036726,0.03463017,1.0536104,0.004440352,1.7071917,0.0624442,1.9132452,0.13005272,1.9252344,0.1415736,1.663355,0.15765037,1.383221,0.0695782,1.2118138,0.101448074,1.0105538,0.12900293,0.69487095,0.005333992,0.7527397,0.04989217,0.8101105,0.0627863,PMM0003,locus_tag:Gene or region
PMM0004,PMED4_00031,purF Glutamine amidotransferaseclass-II,14.96142265,0.002639916,21.8,0.854838364,9.0,0.76781931,"9.0 Purines, pyrimidines, nucleosides, and nucleotides",9.2 Purine ribonucleotide biosynthesis,1.035698,0.17598955,0.68168706,0.020902,0.8144989,0.013220658,0.8001745,0.06223981,0.767206,0.39070272,0.9967665,0.030298637,1.3448653,0.0828503,1.3855836,0.13904573,1.1313354,0.0879513,0.99817413,0.059739478,0.9858199,0.089840874,0.8708901,0.023614068,0.8611261,0.026950823,0.77493703,0.009090275,0.9212953,0.05587937,1.0330796,0.20433247,1.1535103,0.006197626,1.1220564,0.03794589,1.2204901,0.002069579,1.3682792,0.046415895,1.2621483,0.06994019,1.1795024,0.025138961,1.032677,0.07420318,0.90374064,0.06849025,0.9141502,0.023963649,PMM0004,locus_tag:Gene or region
PMM0005,PMED4_00041,"DNA gyrase/topoisomerase IV, subunit A",15.93096264,0.000421053,18.0,0.911298025,6.0,0.631469693,"11.0 DNA replication, recombination, and repair","11.0 DNA replication, recombination, and repair",0.6844061,0.034790408,0.6090897,0.018041862,0.891863,0.03978797,1.3885865,0.002635714,1.4532752,0.50458795,2.2782943,0.042292092,1.6653972,0.2549105,1.1762003,0.011277328,0.88764846,0.038086213,0.7882448,0.043177526,0.7933642,0.10396833,0.7162684,0.048407614,0.70708925,0.01369845,0.5480858,0.03565196,1.1223158,0.053519532,2.2947896,0.11533601,2.5208316,0.21432184,2.7111385,0.06266793,2.1369524,0.22657566,1.3109646,0.27250484,1.1150513,0.05102255,0.9516503,0.1826747,0.75128037,0.07138484,0.756712,0.028957725,0.7124966,0.050417826,PMM0005,locus_tag:Gene or region
PMM0006,PMED4_00051,conserved hypothetical protein,15.22402536,0.000952381,18.8,0.866181825,6.0,0.972469084,16.0 Hypothetical,16.1 Conserved hypothetical protein,0.7769074,0.06906239,0.42945316,0.02118187,0.83312243,0.010860079,1.1231796,0.10970458,1.1562213,0.5054391,1.6085867,0.06054504,1.4729542,0.15978175,1.3387856,0.057049595,0.99093455,0.028937418,0.8709019,0.15712479,0.7605601,0.15064389,0.6929281,0.08962157,0.74094284,2.5e-07,0.63527876,0.009407101,1.0675651,0.009416655,1.8398532,0.016536321,2.044836,0.14870724,1.6683246,0.12438785,1.5177826,0.07953053,1.3809743,0.37475207,1.3318671,0.15154871,1.1106362,0.19999515,0.7701068,0.067106605,0.7940297,0.010151055,0.8025376,0.10088407,PMM0006,locus_tag:Gene or region
PMM0007,PMED4_00061,conserved hypothetical protein,13.62970706,0.015112994,19.6,0.77312412,8.0,0.439104915,16.0 Hypothetical,16.1 Conserved hypothetical protein,0.82526636,0.18957119,0.5409121,0.094155066,0.6319684,0.10673177,0.8872056,0.08203182,1.0011984,0.11949905,1.3045369,0.10203787,1.407459,0.22073832,1.3273958,0.33864525,0.95576024,0.18092272,0.9254697,0.119897,1.024154,0.057058044,0.87998337,0.089077994,0.73497695,0.06531821,0.78575706,0.10558771,1.0097915,0.04754723,1.8527315,0.11410157,1.8125986,0.11188098,1.6207078,0.0865219,1.4574407,0.09728092,1.2997437,0.2621986,1.495161,0.3346049,1.1255839,0.05893233,0.8560684,0.1439558,0.8185495,0.0324749,0.96133673,0.03463264,PMM0007,locus_tag:Gene or region
PMM0008,PMED4_00071,conserved hypothetical protein,15.44879357,0.000824176,18.8,0.879042759,6.0,0.949065779,16.0 Hypothetical,16.1 Conserved hypothetical protein,0.9062444,0.068989664,0.6384533,0.11340126,0.86576587,0.14318147,1.34665,0.25728753,1.2260718,0.27435824,1.5428911,0.30290252,1.4451783,0.020119742,1.3163006,0.045378953,0.97282505,0.065080404,0.8709817,1.38e-05,0.8783149,0.035936624,0.86000854,0.010732049,0.8070052,0.11931786,0.62899786,0.0842782,1.0170426,0.108752914,1.4707576,0.09611555,1.4940355,0.09010362,1.4288595,0.15100619,1.4323449,0.10318943,1.1539346,0.15058817,1.198975,0.024901306,1.0066805,0.038103186,0.6693893,0.12420124,0.8113552,0.014618498,0.83313775,0.10989025,PMM0008,locus_tag:Gene or region
PMM0009,PMED4_00081,nusB Antitermination protein NusB,14.99873566,0.002462527,20.2,0.85038616,7.0,0.694453624,12.0 Transcription,"12.2 RNA synthesis, modification, and DNA transcription",0.9709103,0.08896643,0.6099937,0.026181588,0.69248617,0.055825453,0.9649976,0.09619442,0.79886633,0.504113,1.3125092,0.097657144,1.3412764,0.13328831,1.1989273,0.05611767,1.0932305,0.04505837,0.8971537,0.031487335,0.94431925,0.11868078,0.9132504,0.068359986,0.72650754,0.022423314,0.60300326,0.08352597,0.8783709,0.18236805,1.2355378,0.1406058,1.1847662,0.31600222,1.3254735,0.33496204,1.2298205,0.07108266,1.2070954,0.35992783,1.3599764,0.000987,1.1927435,0.1377533,0.7782304,0.009557969,0.8140187,0.097272724,0.81522465,0.030524896,PMM0009,locus_tag:Gene or region
PMM0010,PMED4_00091,ftsY signal recognition particle docking protein FtsY,14.54980661,0.005369718,19.4,0.825717776,6.0,0.654253974,4.0 Cellular processes,4.1 Cell division,0.90520316,0.08246207,0.7609995,0.01892876,0.82533634,0.12555487,0.87511015,0.051681936,0.8947234,0.32413384,1.3714336,0.008095937,1.284361,0.22947991,1.3073272,0.012881704,0.9953305,0.010113268,1.0698378,0.17149104,0.9929946,0.006347021,0.9051315,0.005077757,0.7689561,0.1376331,0.6469609,0.17523125,1.0111309,0.11033897,1.4265257,0.18585335,1.574328,0.19172531,1.3977357,0.080552585,1.338607,0.1492801,1.2585151,0.2437457,1.2560699,0.05150709,1.1034318,0.017063923,0.75818104,0.1322181,0.83189386,0.009612807,0.99521226,0.045024388,PMM0010,locus_tag:Gene or region
