seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
NZ_JNAS01000001.1,EV02_RS08490,,EV02_RS08490,EV02_0002,GeneMarkS-2+,1305.0,2012.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_032518646.1,,,,,EV02_0002,1305.0,2012.0,+,CK_Pro_SB_00002,,,CK_00041023,,,,,,,,conserved hypothetical protein,,,,,,
NZ_JNAS01000001.1,EV02_RS08485,,EV02_RS08485,EV02_0003,Protein Homology,2349.0,3002.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006853963.1,hypothetical protein,WP_032519169.1,,,,,EV02_0003,2349.0,3002.0,+,CK_Pro_SB_00003,,GO:0016020,CK_00039880,,,,,,,membrane,putative membrane protein,,,88,Cell envelope / Other,,
NZ_JNAS01000001.1,EV02_RS08480,,EV02_RS08480,EV02_0004,Protein Homology,3250.0,3522.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808354.1,DUF3303 domain-containing protein,WP_032519170.1,,,,,EV02_0004,3250.0,3522.0,+,CK_Pro_SB_00004,,,CK_00001433,R.2,Conserved hypothetical proteins,"NOG45619,bactNOG67584,cyaNOG07276","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein (DUF3303),"PF11746,IPR021734","Protein of unknown function (DUF3303),Protein of unknown function DUF3303",156,Hypothetical proteins / Conserved,,
NZ_JNAS01000001.1,EV02_RS0108500,,EV02_RS0108500,EV02_0005,Protein Homology,3574.0,3840.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294704.1,hypothetical protein,WP_032518648.1,,,,,EV02_0005,3652.0,3840.0,+,CK_Pro_SB_00005,,,CK_00055576,,,,,,,,conserved hypothetical protein,,,,,,
NZ_JNAS01000001.1,EV02_RS09330,,EV02_RS09330,EV02_0006,Protein Homology,3858.0,4007.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818161.1,hypothetical protein,WP_179850896.1,,,,,EV02_0006,3858.0,4007.0,-,CK_Pro_SB_00006,,,CK_00043729,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,,
NZ_JNAS01000001.1,EV02_RS08475,,EV02_RS08475,EV02_0007,Protein Homology,4550.0,4744.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818162.1,hypothetical protein,WP_011818162.1,,,,,EV02_0007,4550.0,4744.0,+,CK_Pro_SB_00007,,,CK_00054584,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,,
NZ_JNAS01000001.1,EV02_RS08470,,EV02_RS08470,EV02_0008,Protein Homology,4741.0,5007.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806025.1,RNA recognition motif-containing protein,WP_032518650.1,,,,,EV02_0008,4741.0,5007.0,-,CK_Pro_SB_00008,,,CK_00036837,,,,,,,,conserved hypothetical protein,"PF07878,IPR012869","CopG-like RHH_1 or ribbon-helix-helix domain%2C RHH_5,CopG-like ribbon-helix-helix domain",156,Hypothetical proteins / Conserved,,
NZ_JNAS01000001.1,nrdJ,nrdJ,EV02_RS08465,EV02_0010,Protein Homology,5096.0,7429.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862702.1,ribonucleoside-triphosphate reductase%2C adenosylcobalamin-dependent,WP_032518651.1,"GO:0006260,GO:0000166,GO:0004748,GO:0031419",,"nucleotide binding|0000166||IEA,ribonucleoside-diphosphate reductase activity%2C thioredoxin disulfide as acceptor|0004748||IEA,cobalamin binding|0031419||IEA",DNA replication|0006260||IEA,EV02_0010,5096.0,7429.0,-,CK_Pro_SB_00010,nrdJ,"GO:0006260,GO:0055114,GO:0000166,GO:0004748,GO:0008998,GO:0031419",CK_00000867,"B.9,F.1,M.1"," Thioredoxin%2C glutaredoxin and glutathione,DNA replication%2C recombination%2C and repair,2'-Deoxyribonucleotide metabolism","COG0209,COG1372,COG0085,bactNOG29089,bactNOG04305,cyaNOG05463,cyaNOG04022","COG: METABOLISM [F] Nucleotide transport and metabolism,COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",1.17.4.1,ribonucleoside-diphosphate reductase%3B ribonucleotide reductase (ambiguous)%3B CDP reductase%3B ribonucleoside diphosphate reductase%3B UDP reductase%3B ADP reductase%3B nucleoside diphosphate reductase%3B ribonucleoside 5'-diphosphate reductase%3B ribonucleotide diphosphate reductase%3B 2'-deoxyribonucleoside-diphosphate:oxidized-thioredoxin 2'-oxidoreductase%3B RR%3B nrdB (gene name)%3B nrdF (gene name)%3B nrdJ (gene name),"DNA replication,oxidation-reduction process,DNA replication,oxidation-reduction process,nucleotide binding,ribonucleoside-diphosphate reductase activity%2C thioredoxin disulfide as acceptor,ribonucleoside-triphosphate reductase activity,cobalamin binding",ribonucleoside-diphosphate reductase,"TIGR02504,IPR013345","ribonucleoside-diphosphate reductase%2C adenosylcobalamin-dependent,Ribonucleoside-triphosphate reductase%2C adenosylcobalamin-dependent","123,132,86","Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / 2'-Deoxyribonucleotide metabolism,DNA metabolism / DNA replication%2C recombination%2C and repair,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Glutathione and analogs",,1.17.4.2
NZ_JNAS01000001.1,EV02_RS08460,,EV02_RS08460,EV02_0011,Protein Homology,7564.0,8259.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007478.1,class I SAM-dependent methyltransferase,WP_032518652.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,EV02_0011,7564.0,8259.0,+,CK_Pro_SB_00011,,,CK_00000866,,,"NOG266996,COG0500,COG4106,COG2226,NOG71304,COG2230,bactNOG25222,bactNOG97912,bactNOG90129,cyaNOG03419,cyaNOG08500","COG: QR,COG: POORLY CHARACTERIZED [R] General function prediction only,COG: METABOLISM [H] Coenzyme transport and metabolism,COG: POORLY CHARACTERIZED [R] General function prediction only,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,,methyltransferase domain protein,"PF13489,IPR025714","Methyltransferase domain,Methyltransferase domain",703,Unknown function / Enzymes of unknown specificity,,2.1.1.-
NZ_JNAS01000001.1,EV02_RS08455,,EV02_RS08455,EV02_0012,Protein Homology,8291.0,9928.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862704.1,peptide chain release factor 3,WP_032518653.1,"GO:0006415,GO:0003924",,GTPase activity|0003924||IEA,translational termination|0006415||IEA,EV02_0012,8291.0,9928.0,+,CK_Pro_SB_00012,prfC,"GO:0006415,GO:0003747,GO:0005525,GO:0016149,GO:0003924,GO:0005737",CK_00000865,D.1.5,Phosphorus,"COG4108,bactNOG01623,cyaNOG01865","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"translational termination,translational termination,translation release factor activity,GTP binding,translation release factor activity%2C codon specific,GTPase activity,translational termination,translation release factor activity,GTP binding,translation release factor activity%2C codon specific,GTPase activity,cytoplasm",peptide chain release factor 3,"TIGR00231,TIGR00503,PF03144,PF00009,PS00301,IPR004548,IPR004161,IPR000795,IPR005225,IPR027417,IPR009000,IPR009022,IPR032090,IPR031157","small GTP-binding protein domain,peptide chain release factor 3,Elongation factor Tu domain 2,Elongation factor Tu GTP binding domain,Translational (tr)-type guanine nucleotide-binding (G) domain signature.,Peptide chain release factor 3,Translation elongation factor EFTu-like%2C domain 2,Transcription factor%2C GTP-binding domain,Small GTP-binding protein domain,P-loop containing nucleoside triphosphate hydrolase,Translation protein%2C beta-barrel domain superfamily,Elongation factor G%2C domain III,Peptide chain release factor 3%2C C-terminal,Tr-type G domain%2C conserved site",169,Protein synthesis / Translation factors,,
