cds_fna_id	old_locus_tag	product
lcl|CP000111.1_cds_Pmt9312_0001_1	PMT9312_0001	DNA polymerase III, beta subunit
lcl|CP000111.1_cds_Pmt9312_0002_2	PMT9312_0002	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0003_3	PMT9312_0003	phosphoribosylformylglycinamidine synthase subunit II
lcl|CP000111.1_cds_Pmt9312_0004_4	PMT9312_0004	amidophosphoribosyltransferase
lcl|CP000111.1_cds_Pmt9312_0005_5	PMT9312_0005	DNA topoisomerase IV subunit A
lcl|CP000111.1_cds_Pmt9312_0006_6	PMT9312_0006	TPR repeat
lcl|CP000111.1_cds_Pmt9312_0007_7	PMT9312_0007	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0008_8	PMT9312_0008	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0009_9	PMT9312_0009	antitermination protein NusB
lcl|CP000111.1_cds_Pmt9312_0010_10	PMT9312_0010	signal recognition particle-docking protein FtsY
lcl|CP000111.1_cds_Pmt9312_0011_11	PMT9312_0011	serine phosphatase
lcl|CP000111.1_cds_Pmt9312_0012_12	PMT9312_0012	argininosuccinate lyase
lcl|CP000111.1_cds_Pmt9312_0013_13	PMT9312_0013	RNA-binding region RNP-1
lcl|CP000111.1_cds_Pmt9312_0014_14	PMT9312_0014	tRNA-U16,U17-dihydrouridine synthase
lcl|CP000111.1_cds_Pmt9312_0015_15	PMT9312_0015	Methionine sulfoxide reductase B
lcl|CP000111.1_cds_Pmt9312_0016_16	PMT9312_0016	heat shock protein GrpE
lcl|CP000111.1_cds_Pmt9312_0017_17	PMT9312_0017	Heat shock protein DnaJ
lcl|CP000111.1_cds_Pmt9312_0018_18	PMT9312_0018	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0019_19	PMT9312_0019	GTPase EngC
lcl|CP000111.1_cds_Pmt9312_0020_20	PMT9312_0020	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0021_21	PMT9312_0021	UDP-N-acetylmuramate dehydrogenase
lcl|CP000111.1_cds_Pmt9312_0022_22	PMT9312_0022	UDP-N-acetylmuramate--L-alanine ligase
lcl|CP000111.1_cds_Pmt9312_0023_23	PMT9312_0023	glyceraldehyde 3-phosphate dehydrogenase (NADP+)
lcl|CP000111.1_cds_Pmt9312_0024_24	PMT9312_0024	thiamine-phosphate kinase
lcl|CP000111.1_cds_Pmt9312_0025_25	PMT9312_0025	cyclophilin-type peptidyl-prolyl cis-trans isomerase
lcl|CP000111.1_cds_Pmt9312_0026_26	PMT9312_0026	translation elongation factor P (EF-P)
lcl|CP000111.1_cds_Pmt9312_0027_27	PMT9312_0027	biotin carboxyl carrier protein
lcl|CP000111.1_cds_Pmt9312_0028_28	PMT9312_0028	4-hydroxythreonine-4-phosphate dehydrogenase
lcl|CP000111.1_cds_Pmt9312_0029_29	PMT9312_0029	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0030_30	PMT9312_0030	transcription factor TFIID (or TatA-b)-like protein
lcl|CP000111.1_cds_Pmt9312_0031_31	PMT9312_0031	HNH nuclease
lcl|CP000111.1_cds_Pmt9312_0032_32	PMT9312_0032	type II secretion system protein-like protein
lcl|CP000111.1_cds_Pmt9312_0033_33	PMT9312_0033	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0034_34	PMT9312_0034	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0035_35	PMT9312_0035	Serine--glyoxylate transaminase
lcl|CP000111.1_cds_Pmt9312_0036_36	PMT9312_0036	cobalamin biosynthesis protein CbiD
lcl|CP000111.1_cds_Pmt9312_0037_37	PMT9312_0037	GMP synthase (glutamine-hydrolyzing)
lcl|CP000111.1_cds_Pmt9312_0038_38	PMT9312_0038	TPR repeat
lcl|CP000111.1_cds_Pmt9312_0039_39	PMT9312_0039	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0040_40	PMT9312_0040	conserved hypothetical protein
lcl|CP000111.1_cds_ABS83085.1_41	PMT9312_1970	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0041_42	PMT9312_0041	peptidoglycan glycosyltransferase
lcl|CP000111.1_cds_Pmt9312_0042_43	PMT9312_0042	reductase-like protein
lcl|CP000111.1_cds_Pmt9312_0043_44	PMT9312_0043	flavoprotein
lcl|CP000111.1_cds_Pmt9312_0044_45	PMT9312_0044	flavoprotein
lcl|CP000111.1_cds_Pmt9312_0045_46	PMT9312_0045	alanyl-tRNA synthetase
lcl|CP000111.1_cds_Pmt9312_0046_47	PMT9312_0046	arginine decarboxylase
lcl|CP000111.1_cds_Pmt9312_0047_48	PMT9312_0047	nucleoside diphosphate kinase
lcl|CP000111.1_cds_Pmt9312_0048_49	PMT9312_0048	putative thiamine biosynthesis oxidoreductase
lcl|CP000111.1_cds_Pmt9312_0049_50	PMT9312_0049	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
lcl|CP000111.1_cds_Pmt9312_0050_51	PMT9312_0050	dephospho-CoA kinase
lcl|CP000111.1_cds_Pmt9312_0051_52	PMT9312_0051	glutamate N-acetyltransferase / N-acetylglutamate synthase
lcl|CP000111.1_cds_Pmt9312_0052_53	PMT9312_0052	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0053_54	PMT9312_0053	aldo/keto reductase family
lcl|CP000111.1_cds_ABS83086.1_55	PMT9312_1971	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0054_56	PMT9312_0054	putative RNA methylase family UPF0020
lcl|CP000111.1_cds_Pmt9312_0055_57	PMT9312_0055	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0056_58	PMT9312_0056	conserved hypothetical protein
lcl|CP000111.1_cds_ABS83087.1_59	PMT9312_1972	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0057_60	PMT9312_0057	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0058_61	PMT9312_0058	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0059_62	PMT9312_0059	condensin subunit Smc
lcl|CP000111.1_cds_Pmt9312_0060_63	PMT9312_0060	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0061_64	PMT9312_0061	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0062_65	PMT9312_0062	acetyl-CoA carboxylase, biotin carboxylase
lcl|CP000111.1_cds_Pmt9312_0063_66	PMT9312_0063	YGGT family, conserved hypothetical integral membrane protein
lcl|CP000111.1_cds_Pmt9312_0064_67	PMT9312_0064	hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0065_68	PMT9312_0065	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0066_69	PMT9312_0066	high light inducible protein-like protein
lcl|CP000111.1_cds_Pmt9312_0067_70	PMT9312_0067	ATPase
lcl|CP000111.1_cds_Pmt9312_0068_71	PMT9312_0068	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0069_72	PMT9312_0069	HIT (histidine triad) family protein
