Supplemental Table 4: Genes with significant differential expression in axenic Alteromonas sp. (EZ55) under elevated CO2,,,,,
"Gene locus identifier (locus_tag), log2 fold change (logFC), log2 counts per million (log CPM), likelyhood ratio (LR) and p-value calculated from edgeR. Annotations are from EZ55 genome.",,,,,
locus tag,logFC,logCPM,LR,PValue,annotation
AEZ55_2834,-2.607837932,6.574136821,48.16418545,3.92E-12,conserved hypothetical protein
AEZ55_0684,-2.221049954,0.781276844,16.76723055,4.23E-05,hypothetical protein
AEZ55_0520,-2.163834505,0.453589501,23.95191601,9.88E-07,hypothetical protein
AEZ55_4900,-2.134253161,6.421408163,24.29879683,8.25E-07,"putative benzoate 1,2-dioxygenase, small"
AEZ55_4901,-2.09394027,9.705990483,18.94035573,1.35E-05,"benzoate 1,2-dioxygenase, large subunit"
AEZ55_1576,-1.94624284,0.352100329,18.49631085,1.70E-05,hypothetical protein
AEZ55_4902,-1.945921924,10.01982879,15.43087359,8.56E-05,conserved domain protein
AEZ55_0688,-1.935028236,7.888250858,26.17498209,3.12E-07,conserved hypothetical protein
AEZ55_4898,-1.912550795,6.163951667,23.15028578,1.50E-06,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate"
AEZ55_0687,-1.787098571,6.244717233,27.28775594,1.75E-07,PspC domain protein
AEZ55_3634,-1.761734683,6.825398802,21.8160994,3.00E-06,bacterial flagellin N-terminus
AEZ55_4629,-1.741861543,12.99210563,11.00655323,0.000907903,glutamate-5-semialdehyde dehydrogenase
AEZ55_0686,-1.709414701,6.753480212,24.45763054,7.60E-07,conserved hypothetical protein
AEZ55_0518,-1.67870607,1.568660992,21.85385767,2.94E-06,hypothetical protein
AEZ55_2388,-1.631758658,9.859430308,17.8811224,2.35E-05,TonB-dependent receptor
AEZ55_0683,-1.607133389,9.452278675,17.30778532,3.18E-05,conserved hypothetical protein
AEZ55_3434,-1.591517604,12.31927647,5.450196232,0.019566129,"peroxiredoxin, Ohr family protein"
AEZ55_4509,-1.57053811,8.132785488,11.26078539,0.000791617,tRNA uridine 5-carboxymethylaminomethyl
AEZ55_1308,-1.569528677,4.840287332,8.506106774,0.003539566,hypothetical protein
AEZ55_0145,-1.565906383,7.785627747,20.34468183,6.47E-06,siderophore-interacting FAD-binding domain
AEZ55_0685,-1.547544358,8.854986502,16.81613439,4.12E-05,putative phage shock protein A
AEZ55_4931,-1.546055537,4.899017535,15.73470819,7.29E-05,hypothetical protein
AEZ55_1039,-1.531042911,5.882260382,13.81537802,0.000201679,putative azaleucine resistance protein AzlC
AEZ55_4510,-1.526925322,5.920152671,9.329402295,0.002255059,conserved hypothetical protein
AEZ55_2872,-1.495957945,5.456398632,30.38670844,3.54E-08,conserved hypothetical protein
AEZ55_4899,-1.495638781,7.464938176,16.42381742,5.06E-05,"oxidoreductase, FAD-binding"
AEZ55_1403,-1.487855228,7.289518911,19.70345933,9.04E-06,conserved hypothetical protein
AEZ55_3435,-1.485443417,10.36010399,6.199700853,0.012777191,putative leukotriene A-4
AEZ55_1269,-1.469337011,8.588533136,9.238851474,0.002369335,conserved hypothetical protein
AEZ55_1307,-1.469250097,8.226994653,7.787667068,0.005260408,betaine aldehyde dehydrogenase
AEZ55_0959,-1.46534494,8.757816257,16.84199481,4.06E-05,putative AcnD-accessory protein PrpF
AEZ55_1658,-1.459723065,7.124955781,15.66754222,7.55E-05,hypothetical protein
AEZ55_3440,-1.447280222,6.758957903,23.66803405,1.14E-06,conserved hypothetical protein
AEZ55_2389,-1.441664579,6.867720375,23.9649195,9.81E-07,"glycosyl hydrolase, family 1"
AEZ55_3348,-1.436982158,5.243502628,5.237501058,0.022105004,conserved hypothetical protein
AEZ55_0628,-1.432715435,6.615613176,6.033769506,0.01403473,putative membrane protein
AEZ55_2616,-1.417710048,10.62076664,7.61598721,0.005785308,conserved hypothetical protein
AEZ55_4512,-1.389297909,5.537753509,7.739579365,0.005402338,bacterial extracellular solute-binding protein
AEZ55_1432,-1.38371862,-0.843899438,5.756852251,0.016424471,hypothetical protein
AEZ55_4888,-1.38202796,1.590385219,11.99350991,0.000533861,4-oxalocrotonate tautomerase family enzyme
AEZ55_4507,-1.364534209,7.804540271,9.524076085,0.002027937,conserved hypothetical protein
AEZ55_1404,-1.360437352,9.253310222,12.4570986,0.000416406,Ion channel
AEZ55_1608,-1.343090927,6.145980139,12.66380005,0.000372804,phosphoribosyl-ATP diphosphatase
AEZ55_1095,-1.338912682,6.105057019,15.50391237,8.23E-05,cell division protein FtsW
AEZ55_4908,-1.337292538,4.60886488,16.72097332,4.33E-05,hypothetical protein
