locus_tag,logFC,logCPM,LR,PValue,annotation,notes,resolved_locus_tag,resolution_method
lcl|CP000111.1_cds_ABS83097.1_354,1.2,4.08,10.02,0.0016,protein=Conserved hypothetical protein] ,,PMT9312_1821,tier1:locus_tag
lcl|CP000111.1_cds_ABS83098.1_357,1.14,4.53,5.54,0.019,protein=Conserved hypothetical protein] ,,PMT9312_1822,tier1:locus_tag
lcl|CP000111.1_cds_ABS83115.1_690,-0.69,4.32,4.37,0.037,protein=Conserved hypothetical protein] ,,PMT9312_1839,tier1:locus_tag
lcl|CP000111.1_cds_ABS83119.1_720,-1.03,7.88,6.95,0.0084,protein=Conserved hypothetical protein] ,,PMT9312_1843,tier1:locus_tag
lcl|CP000111.1_cds_ABS83127.1_747,0.79,7.54,5.9,0.015,protein=Conserved hypothetical protein] ,,PMT9312_1851,tier1:locus_tag
lcl|CP000111.1_cds_ABS83134.1_778,-1.1,4.62,15.17,9.8e-05,protein=Conserved hypothetical protein] ,,PMT9312_1858,tier1:locus_tag
lcl|CP000111.1_cds_ABS83170.1_1129,-1.06,11.43,4.68,0.031,protein=Conserved hypothetical protein] ,,PMT9312_1896,tier1:locus_tag
lcl|CP000111.1_cds_ABS83208.1_1579,1.09,6.31,9.58,0.002,protein=Conserved hypothetical protein] ,,PMT9312_1938,tier1:locus_tag
lcl|CP000111.1_cds_ABS83232.1_1644,-0.95,3.45,8.76,0.0031,protein=Conserved hypothetical protein] ,,PMT9312_1963,tier1:locus_tag
lcl|CP000111.1_cds_ABS83233.1_1645,-0.59,5.8,7.74,0.0054,protein=Conserved hypothetical protein] ,,PMT9312_1964,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0020_20,0.71,7.62,7.13,0.0076,protein=conserved hypothetical protein] ,,PMT9312_0020,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0032_32,0.51,6.57,4.09,0.043,protein=type II secretion system protein-like protein] ,,PMT9312_0032,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0040_40,0.53,7.18,4.64,0.031,protein=conserved hypothetical protein] ,,PMT9312_0040,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0051_52,0.72,8.99,5.3,0.021,protein=glutamate N-acetyltransferase / N-acetylglutamate synthase] ,,PMT9312_0051,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0052_53,0.73,10.0,5.89,0.015,protein=conserved hypothetical protein] ,,PMT9312_0052,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0058_61,0.8,8.54,6.22,0.013,protein=conserved hypothetical protein] ,,PMT9312_0058,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0077_80,0.81,9.77,7.55,0.006,protein=conserved hypothetical protein] ,,PMT9312_0077,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0307_317,0.67,6.99,6.32,0.012,protein=phycobilisome protein] ,,PMT9312_0307,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0326_336,0.71,7.01,10.18,0.0014,protein=cell division topological specificity factor MinE] ,,PMT9312_0326,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0327_337,0.72,8.44,9.39,0.0022,protein=septum site-determining protein MinD] ,,PMT9312_0327,tier1:locus_tag
lcl|CP000111.1_cds_Pmt9312_0350_366,0.53,6.71,4.48,0.034,"protein=twin-arginine translocation protein, TatA/E family] ",,PMT9312_0350,tier1:locus_tag
