locus_tag,island_id,product
Pro0054,SS120_1_58490_75287,glutamate N-acetyltransferase/amino-acid acetyltransferase
Pro0055,SS120_1_58490_75287,hydrogenase/urease accessory protein
Pro0056,SS120_1_58490_75287,ABC transporter family protein
Pro0057,SS120_1_58490_75287,UDP-glycosyltransferase/glycogen phosphorylase
Pro0058,SS120_1_58490_75287,asparagine synthase (glutamine-hydrolyzing)
Pro0059,SS120_1_58490_75287,dolichyl-phosphate-mannose-mannosyltransferase family protein
Pro0060,SS120_1_58490_75287,Glycosyltransferase
Pro0061,SS120_1_58490_75287,conserved hypothetical protein
Pro0062,SS120_1_58490_75287,dolichyl-phosphate-mannose-mannosyltransferase family protein
Pro0063,SS120_1_58490_75287,"GDP-mannose 4,6-dehydratase"
Pro0064,SS120_1_58490_75287,GDP-L-fucose synthase
PRO_RS03015,SS120_1_552787_679270,hypothetical protein
PRO_RS03030,SS120_1_552787_679270,Conserved hypothetical protein
PRO_RS03115,SS120_1_552787_679270,hypothetical protein
PRO_RS03125,SS120_1_552787_679270,hypothetical protein
PRO_RS03220,SS120_1_552787_679270,Hypothetical protein
PRO_RS03315,SS120_1_552787_679270,hypothetical protein
PRO_RS03380,SS120_1_552787_679270,Hypothetical protein
PRO_RS03420,SS120_1_552787_679270,Conserved hypothetical protein
PRO_RS03475,SS120_1_552787_679270,hypothetical protein
PRO_RS03485,SS120_1_552787_679270,Conserved hypothetical protein
PRO_RS09295,SS120_1_552787_679270,hypothetical protein
PRO_RS09300,SS120_1_552787_679270,conserved hypothetical protein
PRO_RS09310,SS120_1_552787_679270,hypothetical protein
PRO_RS09315,SS120_1_552787_679270,Conserved hypothetical protein
PRO_RS09325,SS120_1_552787_679270,Conserved hypothetical protein
PRO_RS09340,SS120_1_552787_679270,hypothetical protein
PRO_RS09370,SS120_1_552787_679270,Conserved hypothetical protein
PRO_RS09560,SS120_1_552787_679270,chlorophyll a-b binding domain-containing protein
PRO_RS09590,SS120_1_552787_679270,hypothetical protein
PRO_RS09595,SS120_1_552787_679270,hypothetical protein
Pro0585,SS120_1_552787_679270,methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing)
Pro0586,SS120_1_552787_679270,photosystem II PsbY protein
Pro0587,SS120_1_552787_679270,conserved hypothetical protein
Pro0588,SS120_1_552787_679270,conserved hypothetical protein
Pro0589,SS120_1_552787_679270,"conserved hypothetical protein, Prochlorococcus-specific (PM-2)"
Pro0590,SS120_1_552787_679270,30S ribosomal protein S21
Pro0591,SS120_1_552787_679270,uncharacterized conserved membrane protein
Pro0593,SS120_1_552787_679270,conserved hypothetical protein
Pro0594,SS120_1_552787_679270,uncharacterized conserved secreted protein
Pro0596,SS120_1_552787_679270,ABC-type phosphate transport system ATPase component
Pro0597,SS120_1_552787_679270,ABC-type phosphate transport system permease component
Pro0598,SS120_1_552787_679270,ABC-type phosphate transport system permease component
Pro0599,SS120_1_552787_679270,conserved hypothetical protein
Pro0601,SS120_1_552787_679270,conserved hypothetical protein
Pro0602,SS120_1_552787_679270,Predicted protein family PM-25
Pro0604,SS120_1_552787_679270,conserved hypothetical protein
Pro0606,SS120_1_552787_679270,putative domain protein
Pro0607,SS120_1_552787_679270,"ATP-dependent DNA/RNA helicase, superfamily II"
Pro0608,SS120_1_552787_679270,conserved hypothetical protein
Pro0609,SS120_1_552787_679270,putative predicted protein
Pro0610,SS120_1_552787_679270,conserved hypothetical protein
Pro0612,SS120_1_552787_679270,retron-type reverse transcriptase
Pro0613,SS120_1_552787_679270,Uncharacterized conserved protein containing SWIM-like Zn-finger
Pro0614,SS120_1_552787_679270,conserved hypothetical protein
Pro0615,SS120_1_552787_679270,AbrB family trancriptional regulator fused to LRR containing domain
Pro0617,SS120_1_552787_679270,conserved hypothetical protein
Pro0618,SS120_1_552787_679270,conserved hypothetical protein
Pro0619,SS120_1_552787_679270,Predicted protein family PM-26
Pro0620,SS120_1_552787_679270,possible Legume lectins alpha domain
Pro0621,SS120_1_552787_679270,Predicted protein family PM-3
Pro0622,SS120_1_552787_679270,Predicted protein family PM-4
Pro0623,SS120_1_552787_679270,conserved hypothetical protein
Pro0624,SS120_1_552787_679270,Predicted protein family PM-22
Pro0625,SS120_1_552787_679270,conserved hypothetical protein
Pro0626,SS120_1_552787_679270,conserved hypothetical protein
Pro0627,SS120_1_552787_679270,conserved hypothetical protein
Pro0628,SS120_1_552787_679270,conserved hypothetical protein
Pro0629,SS120_1_552787_679270,DNA helicase
Pro0630,SS120_1_552787_679270,Putative Type IIC bifunctional restriction-modification protein with endonuclease and N6-adenine DNA methyltransferase activity
Pro0631,SS120_1_552787_679270,uncharacterized TonB box-containing membrane protein
Pro0632,SS120_1_552787_679270,conserved hypothetical protein
Pro0633,SS120_1_552787_679270,Zn-ribbon protein
Pro0634,SS120_1_552787_679270,conserved hypothetical protein
Pro0635,SS120_1_552787_679270,integrase
Pro0636,SS120_1_552787_679270,conserved hypothetical protein
Pro0639,SS120_1_552787_679270,conserved hypothetical protein
Pro0641,SS120_1_552787_679270,conserved hypothetical protein
Pro0642,SS120_1_552787_679270,conserved hypothetical protein
Pro0643,SS120_1_552787_679270,"uncharacterized secreted protein, Prochlorococcus-specific"
Pro0644,SS120_1_552787_679270,HesB-like domain-containing protein
Pro0646,SS120_1_552787_679270,Predicted protein family PM-6
Pro0649,SS120_1_552787_679270,conserved hypothetical protein (DUF3764)
Pro0650,SS120_1_552787_679270,"conserved hypothetical protein, Prochlorococcus-specific"
Pro0652,SS120_1_552787_679270,hypothetical protein
Pro0653,SS120_1_552787_679270,conserved hypothetical protein
Pro0655,SS120_1_552787_679270,cupin domain-containing protein
Pro0656,SS120_1_552787_679270,hypothetical protein
Pro0657,SS120_1_552787_679270,putative SOS response associated peptidase
Pro0658,SS120_1_552787_679270,conserved hypothetical protein (DUF3303)
Pro0659,SS120_1_552787_679270,Predicted protein family PM-7
Pro0661,SS120_1_552787_679270,Predicted protein family PM-8
Pro0662,SS120_1_552787_679270,NADPH-dependent reductase
Pro0663,SS120_1_552787_679270,conserved hypothetical protein
Pro0664,SS120_1_552787_679270,conserved hypothetical protein
Pro0665,SS120_1_552787_679270,conserved hypothetical protein
Pro0666,SS120_1_552787_679270,"uncharacterized conserved membrane protein, Prochlorococcus-specific"
Pro0667,SS120_1_552787_679270,conserved hypothetical protein
Pro0668,SS120_1_552787_679270,Predicted protein family PM-6
Pro0669,SS120_1_552787_679270,conserved hypothetical protein
Pro0670,SS120_1_552787_679270,conserved hypothetical protein
Pro0671,SS120_1_552787_679270,conserved hypothetical protein
Pro0672,SS120_1_552787_679270,uncharacterized conserved membrane protein
Pro0673,SS120_1_552787_679270,"BgtA-like ABC-type uptake transporter for acidic and neutral polar amino acids (N-II), ATPase subunit"
Pro0674,SS120_1_552787_679270,"ABC-type uptake transporter for acidic and neutral polar amino acids (N-II), membrane protein"
Pro0675,SS120_1_552787_679270,"ABC-type uptake transporter for acidic and neutral polar amino acids (N-II), membrane protein"
Pro0676,SS120_1_552787_679270,"ABC-type uptake transporter for acidic and neutral polar amino acids (N-II), substrate binding protein"
Pro0677,SS120_1_552787_679270,conserved hypothetical protein
Pro0678,SS120_1_552787_679270,conserved hypothetical protein
Pro0679,SS120_1_552787_679270,polysaccharide biosynthesis family protein
Pro0680,SS120_1_552787_679270,glycosyl transferase 4 family protein
Pro0681,SS120_1_552787_679270,nucleoside-diphosphate-sugar epimerase
Pro0682,SS120_1_552787_679270,possible alpha-galactosyltransferase
