locus_tag,island_id,product,resolved_locus_tag,resolution_method
PMM0335,MED4_1_323821_368220,uncharacterized conserved membrane protein,PMM0335,locus_tag:locus_tag
PMM0336,MED4_1_323821_368220,plastoquinol terminal oxidase,PMM0336,locus_tag:locus_tag
PMM0337,MED4_1_323821_368220,conserved hypothetical protein,PMM0337,locus_tag:locus_tag
PMM0338,MED4_1_323821_368220,conserved hypothetical protein CHP03894,PMM0338,locus_tag:locus_tag
PMM0339,MED4_1_323821_368220,carotenoid isomerase protein family,PMM0339,locus_tag:locus_tag
PMM0340,MED4_1_323821_368220,uncharacterized conserved membrane protein,PMM0340,locus_tag:locus_tag
PMM0341,MED4_1_323821_368220,nif11-like leader peptide domain protein,PMM0341,locus_tag:locus_tag
PMM0342,MED4_1_323821_368220,"helper component proteinase, Prochlorococcus-specific",PMM0342,locus_tag:locus_tag
PMM0343,MED4_1_323821_368220,"twin arginine-targeting translocase, TatA/E family protein",PMM0343,locus_tag:locus_tag
PMM0344,MED4_1_323821_368220,putative lipoprotein,PMM0344,locus_tag:locus_tag
PMM0345,MED4_1_323821_368220,2-Cys peroxiredoxin,PMM0345,locus_tag:locus_tag
PMM0346,MED4_1_323821_368220,conserved hypothetical protein,PMM0346,locus_tag:locus_tag
PMM0347,MED4_1_323821_368220,uncharacterized conserved membrane protein,PMM0347,locus_tag:locus_tag
PMM0348,MED4_1_323821_368220,conserved hypothetical protein family PM-17,PMM0348,locus_tag:locus_tag
PMM0349,MED4_1_323821_368220,RF-1 domain protein,PMM0349,locus_tag:locus_tag
PMM0350,MED4_1_323821_368220,conserved hypothetical protein (DUF1651),PMM0350,locus_tag:locus_tag
PMM0351,MED4_1_323821_368220,conserved hypothetical protein,PMM0351,locus_tag:locus_tag
PMM0352,MED4_1_323821_368220,CAAX amino terminal protease,PMM0352,locus_tag:locus_tag
PMM0353,MED4_1_323821_368220,glycosyl transferase 11 family protein,PMM0353,locus_tag:locus_tag
PMM0354,MED4_1_323821_368220,possible Glycosyl transferase,PMM0354,locus_tag:locus_tag
PMM0355,MED4_1_323821_368220,conserved hypothetical protein,PMM0355,locus_tag:locus_tag
PMM0356,MED4_1_323821_368220,proline iminopeptidase,PMM0356,locus_tag:locus_tag
PMM0357,MED4_1_323821_368220,thiaminase II,PMM0357,locus_tag:locus_tag
PMM0358,MED4_1_323821_368220,bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase,PMM0358,locus_tag:locus_tag
PMM0359,MED4_1_323821_368220,conserved hypothetical protein,PMM0359,locus_tag:locus_tag
PMM0360,MED4_1_323821_368220,conserved hypothetical protein DUF985,PMM0360,locus_tag:locus_tag
PMM0361,MED4_1_323821_368220,conserved hypothetical protein,PMM0361,locus_tag:locus_tag
PMM0362,MED4_1_323821_368220,uncharacterized conserved membrane protein,PMM0362,locus_tag:locus_tag
PMM0363,MED4_1_323821_368220,"transcriptional regulator, MarR family",PMM0363,locus_tag:locus_tag
PMM0364,MED4_1_323821_368220,conserved hypothetical protein (DUF3303),PMM0364,locus_tag:locus_tag
PMM0365,MED4_1_323821_368220,possible DsrE-like protein,PMM0365,locus_tag:locus_tag
PMM0366,MED4_1_323821_368220,Type-1 copper (blue) domain,PMM0366,locus_tag:locus_tag
