locus_tag,island_id,product,resolved_locus_tag,resolution_method
A9601_00521,AS9601_1_56081_66166,Putative Type IIC bifunctional restriction-modification protein with endonuclease and N6-adenine DNA methyltransferase activity,A9601_00521,locus_tag:locus_tag
A9601_00531,AS9601_1_56081_66166,tetratricopeptide repeat family protein,A9601_00531,locus_tag:locus_tag
A9601_00541,AS9601_1_56081_66166,conserved hypothetical protein,A9601_00541,locus_tag:locus_tag
A9601_00551,AS9601_1_56081_66166,tetratricopeptide repeat family protein,A9601_00551,locus_tag:locus_tag
A9601_00561,AS9601_1_56081_66166,hypothetical protein,A9601_00561,locus_tag:locus_tag
A9601_00571,AS9601_1_56081_66166,hypothetical protein,A9601_00571,locus_tag:locus_tag
A9601_00581,AS9601_1_56081_66166,Hypothetical protein,A9601_00581,locus_tag:locus_tag
A9601_00591,AS9601_1_56081_66166,hypothetical protein,A9601_00591,locus_tag:locus_tag
A9601_00601,AS9601_1_56081_66166,conserved hypothetical protein,A9601_00601,locus_tag:locus_tag
A9601_00611,AS9601_1_56081_66166,cobQ/CobB/MinD/ParA nucleotide binding domain protein,A9601_00611,locus_tag:locus_tag
A9601_RS18455,AS9601_1_56081_66166,hypothetical protein,A9601_RS18455,locus_tag:locus_tag
A9601_13391,AS9601_1_1113600_1135056,conserved hypothetical protein,A9601_13391,locus_tag:locus_tag
A9601_13401,AS9601_1_1113600_1135056,hypothetical protein,A9601_13401,locus_tag:locus_tag
A9601_13411,AS9601_1_1113600_1135056,hypothetical protein,A9601_13411,locus_tag:locus_tag
A9601_13421,AS9601_1_1113600_1135056,N-acylneuraminate cytidylyltransferase,A9601_13421,locus_tag:locus_tag
A9601_13431,AS9601_1_1113600_1135056,hypothetical protein,A9601_13431,locus_tag:locus_tag
A9601_13441,AS9601_1_1113600_1135056,hypothetical protein,A9601_13441,locus_tag:locus_tag
A9601_13451,AS9601_1_1113600_1135056,conserved hypothetical protein,A9601_13451,locus_tag:locus_tag
A9601_13461,AS9601_1_1113600_1135056,hypothetical protein,A9601_13461,locus_tag:locus_tag
A9601_13471,AS9601_1_1113600_1135056,uncharacterized conserved membrane protein,A9601_13471,locus_tag:locus_tag
A9601_13481,AS9601_1_1113600_1135056,conserved hypothetical protein family PM-14,A9601_13481,locus_tag:locus_tag
A9601_13491,AS9601_1_1113600_1135056,Conserved hypothetical protein,A9601_13491,locus_tag:locus_tag
A9601_13501,AS9601_1_1113600_1135056,hypothetical protein,A9601_13501,locus_tag:locus_tag
A9601_13511,AS9601_1_1113600_1135056,hypothetical protein,A9601_13511,locus_tag:locus_tag
A9601_13521,AS9601_1_1113600_1135056,iron deficiency-induced protein A,A9601_13521,locus_tag:locus_tag
A9601_13531,AS9601_1_1113600_1135056,iron-uptake factor PiuC,A9601_13531,locus_tag:locus_tag
A9601_13541,AS9601_1_1113600_1135056,possible peptidase,A9601_13541,locus_tag:locus_tag
A9601_13551,AS9601_1_1113600_1135056,outer membrane porin,A9601_13551,locus_tag:locus_tag
A9601_13561,AS9601_1_1113600_1135056,"glycine--tRNA ligase, alpha subunit",A9601_13561,locus_tag:locus_tag
A9601_13571,AS9601_1_1113600_1135056,conserved hypothetical protein,A9601_13571,locus_tag:locus_tag
A9601_13581,AS9601_1_1113600_1135056,macrophage migration inhibitory factor MIF-like protein,A9601_13581,locus_tag:locus_tag
A9601_13601,AS9601_1_1113600_1135056,methyltransferase domain protein,A9601_13601,locus_tag:locus_tag
A9601_13611,AS9601_1_1113600_1135056,conserved hypothetical protein,A9601_13611,locus_tag:locus_tag
A9601_13621,AS9601_1_1113600_1135056,conserved hypothetical protein (DUF3386),A9601_13621,locus_tag:locus_tag
A9601_13631,AS9601_1_1113600_1135056,"divinyl-chlorophyll a/b binding light harvesting protein, photosystem I-associated",A9601_13631,locus_tag:locus_tag
A9601_13911,AS9601_1_1158929_1245625,hypothetical protein distantly related to alpha-glycosyltransferases,A9601_13911,locus_tag:locus_tag
A9601_13921,AS9601_1_1158929_1245625,"possible alpha-glycosyltransferase, family 4",A9601_13921,locus_tag:locus_tag
A9601_13931,AS9601_1_1158929_1245625,"beta-glycosyltransferase, family 2",A9601_13931,locus_tag:locus_tag
A9601_13941,AS9601_1_1158929_1245625,"possible alpha-glycosyltransferase, family 4",A9601_13941,locus_tag:locus_tag
A9601_13951,AS9601_1_1158929_1245625,"beta-glycosyltransferase, family 2",A9601_13951,locus_tag:locus_tag
A9601_13961,AS9601_1_1158929_1245625,UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase,A9601_13961,locus_tag:locus_tag
A9601_13971,AS9601_1_1158929_1245625,nucleotide sugar epimerase,A9601_13971,locus_tag:locus_tag
A9601_13981,AS9601_1_1158929_1245625,mannose-1-phosphate guanylyltransferase,A9601_13981,locus_tag:locus_tag
A9601_13991,AS9601_1_1158929_1245625,"GDP-mannose 4,6-dehydratase",A9601_13991,locus_tag:locus_tag
A9601_14001,AS9601_1_1158929_1245625,GDP-L-fucose synthase,A9601_14001,locus_tag:locus_tag
A9601_14011,AS9601_1_1158929_1245625,capsular exopolysaccharide family domain protein,A9601_14011,locus_tag:locus_tag
A9601_14021,AS9601_1_1158929_1245625,conserved hypothetical protein,A9601_14021,locus_tag:locus_tag
A9601_14031,AS9601_1_1158929_1245625,"glycosyltransferase, family 2",A9601_14031,locus_tag:locus_tag
A9601_14041,AS9601_1_1158929_1245625,hypothetical protein,A9601_14041,locus_tag:locus_tag
A9601_14051,AS9601_1_1158929_1245625,S-adenosyl-L-methionine-dependent methyltransferase,A9601_14051,locus_tag:locus_tag
A9601_14061,AS9601_1_1158929_1245625,"dTDP-4-dehydrorhamnose 3,5-epimerase family protein",A9601_14061,locus_tag:locus_tag
A9601_14071,AS9601_1_1158929_1245625,glucose-1-phosphate cytidylyltransferase,A9601_14071,locus_tag:locus_tag
A9601_14081,AS9601_1_1158929_1245625,conserved hypothetical protein,A9601_14081,locus_tag:locus_tag
A9601_14091,AS9601_1_1158929_1245625,"ABC transporter type 1, ATPase component",A9601_14091,locus_tag:locus_tag
A9601_14101,AS9601_1_1158929_1245625,Predicted oxidoreductase,A9601_14101,locus_tag:locus_tag
A9601_14111,AS9601_1_1158929_1245625,perosamine synthetase protein family,A9601_14111,locus_tag:locus_tag
A9601_14121,AS9601_1_1158929_1245625,lipopolysaccharides biosynthesis acetyltransferase,A9601_14121,locus_tag:locus_tag
A9601_14131,AS9601_1_1158929_1245625,polysaccharide biosynthesis family protein,A9601_14131,locus_tag:locus_tag
A9601_14141,AS9601_1_1158929_1245625,glycosyl transferase 4 family protein,A9601_14141,locus_tag:locus_tag
A9601_14151,AS9601_1_1158929_1245625,exsB family protein,A9601_14151,locus_tag:locus_tag
A9601_14161,AS9601_1_1158929_1245625,"imidazole glycerol phosphate synthase, glutamineamidotransferase subunit",A9601_14161,locus_tag:locus_tag
