locus_tag,island_id,product
PMT0085,MIT9313_1_91963_129284,glycosyltransferase domain protein
PMT0086,MIT9313_1_91963_129284,UDP-glucose 4-epimerase GalE
PMT0087,MIT9313_1_91963_129284,"glycosyltransferase, family 4"
PMT0088,MIT9313_1_91963_129284,conserved hypothetical protein
PMT0090,MIT9313_1_91963_129284,hypothetical protein
PMT0091,MIT9313_1_91963_129284,conserved hypothetical protein
PMT0095,MIT9313_1_91963_129284,"UDP-N-acetylglucosamine 4,6-dehydratase (inverting)"
PMT0096,MIT9313_1_91963_129284,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase"
PMT0098,MIT9313_1_91963_129284,N-acetyl sugar amidotransferase family protein
PMT0099,MIT9313_1_91963_129284,imidazole glycerol phosphate synthase subunit hisH protein family
PMT0100,MIT9313_1_91963_129284,"possible imidazoleglycerol-phosphate synthase, cyclase subunit"
PMT0102,MIT9313_1_91963_129284,cytidylyltransferase family protein
PMT0103,MIT9313_1_91963_129284,"aminotransferase class III, pyridoxal-phosphate dependent"
PMT0106,MIT9313_1_91963_129284,"N,N'-diacetyllegionaminate synthase"
PMT0108,MIT9313_1_91963_129284,"ABC-type lipopolysaccharide transport system, ATPase component"
PMT0109,MIT9313_1_91963_129284,"ABC-type lipopolysaccharide transport system, permease component"
PMT0112,MIT9313_1_91963_129284,glucose-1-phosphate thymidylyltransferase
PMT0113,MIT9313_1_91963_129284,"dTDP-4-dehydrorhamnose 3,5-epimerase"
PMT0114,MIT9313_1_91963_129284,dTDP-4-dehydrorhamnose reductase
PMT_0089,MIT9313_1_91963_129284,acyltransferase family protein
PMT_0092,MIT9313_1_91963_129284,hypothetical protein
PMT_0093,MIT9313_1_91963_129284,ABC multidrug efflux transporter
PMT_0094,MIT9313_1_91963_129284,hlyD secretion family protein
PMT_0097,MIT9313_1_91963_129284,Predicted oxidoreductase
PMT_0101,MIT9313_1_91963_129284,putative acetyltransferase
PMT_0104,MIT9313_1_91963_129284,glycosyltransferase family 28 C-terminal domain protein
PMT_0105,MIT9313_1_91963_129284,hypothetical protein
PMT_0107,MIT9313_1_91963_129284,methyltransferase domain protein
PMT_0110,MIT9313_1_91963_129284,methyltransferase domain-containing protein
AKG35_RS12995,MIT9313_1_1644799_1671346,hypothetical protein
AKG35_RS13795,MIT9313_1_1644799_1671346,chlorophyll a/b-binding protein
PMT1552,MIT9313_1_1644799_1671346,conserved hypothetical protein
PMT1553,MIT9313_1_1644799_1671346,putative Na+/glutamate symporter
PMT1554,MIT9313_1_1644799_1671346,pentapeptide repeats family protein
PMT1555,MIT9313_1_1644799_1671346,conserved hypothetical protein
PMT1556,MIT9313_1_1644799_1671346,possible Transthyretin precursor (formerly preal
PMT1557,MIT9313_1_1644799_1671346,putative oxidoreductase
PMT1558,MIT9313_1_1644799_1671346,carotenoid isomerase
PMT1559,MIT9313_1_1644799_1671346,conserved hypothetical protein
PMT1560,MIT9313_1_1644799_1671346,conserved hypothetical protein DUF985
PMT1561,MIT9313_1_1644799_1671346,conserved hypothetical protein
PMT1562,MIT9313_1_1644799_1671346,possible Carbamoyl-phosphate synthase small ch
PMT1563,MIT9313_1_1644799_1671346,hypothetical protein
PMT1565,MIT9313_1_1644799_1671346,cytochrome P450
PMT1567,MIT9313_1_1644799_1671346,conserved hypothetical protein
PMT1568,MIT9313_1_1644799_1671346,possible Eukaryotic-type carbonic anhydrase
PMT1569,MIT9313_1_1644799_1671346,acid phosphatase
