locus_tag,island_id,product
PMM0335,MED4_1_323821_368220,uncharacterized conserved membrane protein
PMM0336,MED4_1_323821_368220,plastoquinol terminal oxidase
PMM0337,MED4_1_323821_368220,conserved hypothetical protein
PMM0338,MED4_1_323821_368220,conserved hypothetical protein CHP03894
PMM0339,MED4_1_323821_368220,carotenoid isomerase protein family
PMM0340,MED4_1_323821_368220,uncharacterized conserved membrane protein
PMM0341,MED4_1_323821_368220,nif11-like leader peptide domain protein
PMM0342,MED4_1_323821_368220,"helper component proteinase, Prochlorococcus-specific"
PMM0343,MED4_1_323821_368220,"twin arginine-targeting translocase, TatA/E family protein"
PMM0344,MED4_1_323821_368220,putative lipoprotein
PMM0345,MED4_1_323821_368220,2-Cys peroxiredoxin
PMM0346,MED4_1_323821_368220,conserved hypothetical protein
PMM0347,MED4_1_323821_368220,uncharacterized conserved membrane protein
PMM0348,MED4_1_323821_368220,conserved hypothetical protein family PM-17
PMM0349,MED4_1_323821_368220,RF-1 domain protein
PMM0350,MED4_1_323821_368220,conserved hypothetical protein (DUF1651)
PMM0351,MED4_1_323821_368220,conserved hypothetical protein
PMM0352,MED4_1_323821_368220,CAAX amino terminal protease
PMM0353,MED4_1_323821_368220,glycosyl transferase 11 family protein
PMM0354,MED4_1_323821_368220,possible Glycosyl transferase
PMM0355,MED4_1_323821_368220,conserved hypothetical protein
PMM0356,MED4_1_323821_368220,proline iminopeptidase
PMM0357,MED4_1_323821_368220,thiaminase II
PMM0358,MED4_1_323821_368220,bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase
PMM0359,MED4_1_323821_368220,conserved hypothetical protein
PMM0360,MED4_1_323821_368220,conserved hypothetical protein DUF985
PMM0361,MED4_1_323821_368220,conserved hypothetical protein
PMM0362,MED4_1_323821_368220,uncharacterized conserved membrane protein
PMM0363,MED4_1_323821_368220,"transcriptional regulator, MarR family"
PMM0364,MED4_1_323821_368220,conserved hypothetical protein (DUF3303)
PMM0365,MED4_1_323821_368220,possible DsrE-like protein
PMM0366,MED4_1_323821_368220,Type-1 copper (blue) domain
PMM0367,MED4_1_323821_368220,putative antibiotic biosynthesis monooxygenase domain protein
PMM0368,MED4_1_323821_368220,conserved hypothetical protein (DUF3303)
PMM0369,MED4_1_323821_368220,conserved hypothetical protein
PMM0370,MED4_1_323821_368220,"cyanate ABC transporter, substrate-binding protein"
PMM0371,MED4_1_323821_368220,"cyanate ABC transporter, permease protein"
PMM0372,MED4_1_323821_368220,cyanate ABC transporter ATP-binding protein
PMM0373,MED4_1_323821_368220,cyanate hydratase
PMM0374,MED4_1_323821_368220,"twin arginine-targeting translocase, TatA/E family protein"
PMM0375,MED4_1_323821_368220,possible Type II intron maturase
PMM0376,MED4_1_323821_368220,Hypothetical protein
PMM0377,MED4_1_323821_368220,conserved hypothetical protein
PMM0378,MED4_1_323821_368220,conserved hypothetical protein (DUF3303)
PMM0379,MED4_1_323821_368220,conserved hypothetical protein
PMM0380,MED4_1_323821_368220,nuclear transport factor 2 (NTF2-like) superfamily protein
PMM0381,MED4_1_323821_368220,conserved hypothetical protein
PMM0382,MED4_1_323821_368220,possible Ribosomal RNA adenine dimethylase
PMM0383,MED4_1_323821_368220,uncharacterized TonB box-containing membrane protein
PMM0384,MED4_1_323821_368220,Putative Type IIC bifunctional restriction-modification protein with endonuclease and N6-adenine DNA methyltransferase activity
PMM0386,MED4_1_323821_368220,"Putative Type III restriction-modification system, M subunit"
PMM1809,MED4_1_323821_368220,Conserved hypothetical protein
PMM1810,MED4_1_323821_368220,uncharacterized conserved glutamine-rich protein
PMM1812,MED4_1_323821_368220,conserved hypothetical protein
PMM1813,MED4_1_323821_368220,conserved hypothetical protein
PMM1814,MED4_1_323821_368220,Conserved hypothetical protein
PMM1816,MED4_1_323821_368220,conserved hypothetical protein
PMM1821,MED4_1_323821_368220,conserved hypothetical protein
PMM1824,MED4_1_323821_368220,Conserved hypothetical protein
PMM1825,MED4_1_323821_368220,Conserved hypothetical protein
PMM1826,MED4_1_323821_368220,conserved hypothetical protein
PMM1828,MED4_1_323821_368220,Hypothetical protein
PMM1830,MED4_1_323821_368220,conserved hypothetical protein
PMM1831,MED4_1_323821_368220,Conserved hypothetical protein
PMM1832,MED4_1_323821_368220,Conserved hypothetical protein
PMM1833,MED4_1_323821_368220,Hypothetical protein
PMM1834,MED4_1_323821_368220,Conserved hypothetical protein
PMM1835,MED4_1_323821_368220,Hypothetical protein
PMM1837,MED4_1_323821_368220,Hypothetical protein
PMM1838,MED4_1_323821_368220,conserved hypothetical protein
PMM1839,MED4_1_323821_368220,Hypothetical protein
PMM1840,MED4_1_323821_368220,Conserved hypothetical protein
PMM1841,MED4_1_323821_368220,"Putative Type III restriction-modification system, R subunit"
PMM1843,MED4_1_323821_368220,Hypothetical protein
PMM2034,MED4_1_323821_368220,Hypothetical protein
TX50_RS09405,MED4_1_323821_368220,hypothetical protein
PMM1357,MED4_1_1306399_1367064,3-oxo-5-alpha-steroid 4-dehydrogenase C-terminal domain-containing protein
PMM1358,MED4_1_1306399_1367064,pyridoxamine 5'-phosphate oxidase
PMM1359,MED4_1_1306399_1367064,"uncharacterized conserved membrane protein, DoxX family"
PMM1360,MED4_1_1306399_1367064,FAD binding domain of DNA photolyase
PMM1361,MED4_1_1306399_1367064,short-chain dehydrogenase/reductase (SDR) superfamily
PMM1362,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1363,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1364,MED4_1_1306399_1367064,UDP-N-acetylmuramoylalanine--D-glutamate ligase
PMM1365,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1366,MED4_1_1306399_1367064,pirin-like protein
PMM1367,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1368,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1369,MED4_1_1306399_1367064,GAF domain-containing protein
PMM1370,MED4_1_1306399_1367064,"flavoprotein, HI0933 family"
PMM1371,MED4_1_1306399_1367064,drug/metabolite transporter (DMT) superfamily efflux protein
PMM1372,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1373,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1374,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1375,MED4_1_1306399_1367064,possible M protein repeat
PMM1376,MED4_1_1306399_1367064,nucleotide-binding alpha-beta plait domain-containing protein
PMM1377,MED4_1_1306399_1367064,NADP-binding domain-containing protein
PMM1378,MED4_1_1306399_1367064,delta-12 fatty acid desaturase DesA3
PMM1379,MED4_1_1306399_1367064,putative lysine decarboxylase family protein
PMM1380,MED4_1_1306399_1367064,"HAD hydrolase, IA, variant 3 family protein"
PMM1381,MED4_1_1306399_1367064,putative SOS response associated peptidase
PMM1382,MED4_1_1306399_1367064,delta-12 fatty acid desaturase DesA2
PMM1383,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1384,MED4_1_1306399_1367064,high light inducible protein
PMM1385,MED4_1_1306399_1367064,high light inducible protein
PMM1386,MED4_1_1306399_1367064,"lipopolysaccharide export system, permease component"
PMM1387,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1388,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1389,MED4_1_1306399_1367064,2-oxoglutarate/iron-dependent dioxygenase
PMM1390,MED4_1_1306399_1367064,high light inducible protein
PMM1391,MED4_1_1306399_1367064,ribbon helix-helix domain containing protein
PMM1392,MED4_1_1306399_1367064,possible Heat-labile enterotoxin alpha chain
PMM1393,MED4_1_1306399_1367064,"possible bacterial extracellular solute-binding protein, family 3"
PMM1394,MED4_1_1306399_1367064,protein of unknown function (DUF1651)
PMM1395,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1397,MED4_1_1306399_1367064,high light inducible protein
PMM1398,MED4_1_1306399_1367064,high light inducible protein
PMM1399,MED4_1_1306399_1367064,high light inducible protein
PMM1400,MED4_1_1306399_1367064,RmlC-like cupin domain-containing protein
PMM1401,MED4_1_1306399_1367064,conserved hypothetical protein (DUF3764)
PMM1402,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1403,MED4_1_1306399_1367064,HNH endonuclease family protein
PMM1404,MED4_1_1306399_1367064,high light inducible protein
PMM1405,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1406,MED4_1_1306399_1367064,Hypothetical protein
PMM1407,MED4_1_1306399_1367064,possible SRP19 protein
PMM1408,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1409,MED4_1_1306399_1367064,conserved hypothetical protein (DUF3303)
PMM1410,MED4_1_1306399_1367064,"possible PTS system, Lactose/Cellobiose specif"
PMM1412,MED4_1_1306399_1367064,cupin domain-containing protein
PMM1413,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1414,MED4_1_1306399_1367064,conserved hypothetical protein (DUF3303)
PMM1415,MED4_1_1306399_1367064,possible UBX domain
PMM1416,MED4_1_1306399_1367064,phosphate starvation inducible protein 1
PMM1417,MED4_1_1306399_1367064,nuclease (SNase-like)
PMM1418,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1419,MED4_1_1306399_1367064,possible ATP synthase B/B' CF(0)
PMM1420,MED4_1_1306399_1367064,pepSY-associated TM helix family protein
PMM1421,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1422,MED4_1_1306399_1367064,conserved hypothetical protein (DUF411)
PMM1423,MED4_1_1306399_1367064,glutaredoxin family protein
PMM1424,MED4_1_1306399_1367064,possible Uncharacterized protein family UPF003
PMM1425,MED4_1_1306399_1367064,peptidase S1C
PMM1426,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1975,MED4_1_1306399_1367064,uncharacterized conserved membrane protein
PMM1976,MED4_1_1306399_1367064,pepSY-associated TM helix family protein
PMM1978,MED4_1_1306399_1367064,uncharacterized conserved membrane protein
PMM1980,MED4_1_1306399_1367064,uncharacterized conserved membrane protein PM-23
PMM1981,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1982,MED4_1_1306399_1367064,uncharacterized conserved membrane protein
PMM1983,MED4_1_1306399_1367064,uncharacterized conserved membrane protein
PMM1985,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1988,MED4_1_1306399_1367064,Conserved hypothetical protein
PMM1989,MED4_1_1306399_1367064,Conserved hypothetical protein
PMM1990,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1991,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1992,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1994,MED4_1_1306399_1367064,conserved hypothetical protein
PMM1998,MED4_1_1306399_1367064,conserved hypothetical protein
PMM2002,MED4_1_1306399_1367064,conserved hypothetical protein (DUF3764)
PMM2003,MED4_1_1306399_1367064,Conserved hypothetical protein
PMM2004,MED4_1_1306399_1367064,uncharacterized conserved secreted protein
PMM2005,MED4_1_1306399_1367064,conserved hypothetical protein
PMM2006,MED4_1_1306399_1367064,Hypothetical protein
PMM2007,MED4_1_1306399_1367064,Hypothetical protein
PMM2008,MED4_1_1306399_1367064,Hypothetical protein
PMM2009,MED4_1_1306399_1367064,conserved hypothetical protein
PMM2010,MED4_1_1306399_1367064,conserved hypothetical protein
PMM2011,MED4_1_1306399_1367064,conserved hypothetical protein
PMM2013,MED4_1_1306399_1367064,conserved hypothetical protein
PMM2014,MED4_1_1306399_1367064,Hypothetical protein
PMM2015,MED4_1_1306399_1367064,Hypothetical protein
PMM2065,MED4_1_1306399_1367064,Hypothetical protein
PMM2074,MED4_1_1306399_1367064,Hypothetical protein
PMM2077,MED4_1_1306399_1367064,Hypothetical protein
TX50_RS09500,MED4_1_1306399_1367064,hypothetical protein
TX50_RS09970,MED4_1_1306399_1367064,hypothetical protein
PMM0650,MED4_1_620091_628378,conserved hypothetical protein
PMM0651,MED4_1_620091_628378,conserved hypothetical protein
PMM0652,MED4_1_620091_628378,uncharacterized conserved secreted protein
PMM0653,MED4_1_620091_628378,lactoylglutathione lyase
PMM0654,MED4_1_620091_628378,uncharacterized membrane protein
PMM0655,MED4_1_620091_628378,"conserved hypothetical protein, Prochlorococcus-specific"
PMM0656,MED4_1_620091_628378,putative membrane protein
PMM0657,MED4_1_620091_628378,conserved hypothetical protein
PMM0658,MED4_1_620091_628378,pseudouridine synthase
PMM0659,MED4_1_620091_628378,"NAD-dependent DNA ligase, N-terminal domain"
PMM1853,MED4_1_620091_628378,Hypothetical protein
PMM1854,MED4_1_620091_628378,Conserved hypothetical protein
PMM1855,MED4_1_620091_628378,uncharacterized conserved membrane protein (DUF2839)
