locus_tag,island_id,product,resolved_locus_tag,resolution_method
PMN2A_1384,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1384,locus_tag:locus_tag
PMN2A_1385,NATL2A_1_63057_94374,"esterase, PHB depolymerase",PMN2A_1385,locus_tag:locus_tag
PMN2A_1386,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1386,locus_tag:locus_tag
PMN2A_1387,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1387,locus_tag:locus_tag
PMN2A_1388,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1388,locus_tag:locus_tag
PMN2A_1389,NATL2A_1_63057_94374,hypothetical protein,PMN2A_1389,locus_tag:locus_tag
PMN2A_1390,NATL2A_1_63057_94374,cyanate hydratase,PMN2A_1390,locus_tag:locus_tag
PMN2A_1391,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1391,locus_tag:locus_tag
PMN2A_1392,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1392,locus_tag:locus_tag
PMN2A_1393,NATL2A_1_63057_94374,uncharacterized conserved membrane protein,PMN2A_1393,locus_tag:locus_tag
PMN2A_1394,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1394,locus_tag:locus_tag
PMN2A_1395,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1395,locus_tag:locus_tag
PMN2A_1396,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1396,locus_tag:locus_tag
PMN2A_1397,NATL2A_1_63057_94374,hypothetical protein,PMN2A_1397,locus_tag:locus_tag
PMN2A_1398,NATL2A_1_63057_94374,uncharacterized conserved secreted protein,PMN2A_1398,locus_tag:locus_tag
PMN2A_1399,NATL2A_1_63057_94374,FAD/NAD-binding domain-containing protein,PMN2A_1399,locus_tag:locus_tag
PMN2A_1400,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1400,locus_tag:locus_tag
PMN2A_1401,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1401,locus_tag:locus_tag
PMN2A_1402,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1402,locus_tag:locus_tag
PMN2A_1403,NATL2A_1_63057_94374,peptidylprolyl isomerase,PMN2A_1403,locus_tag:locus_tag
PMN2A_1404,NATL2A_1_63057_94374,high light inducible protein,PMN2A_1404,locus_tag:locus_tag
PMN2A_1405,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1405,locus_tag:locus_tag
PMN2A_1407,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1407,locus_tag:locus_tag
PMN2A_1408,NATL2A_1_63057_94374,short-chain dehydrogenase/reductase (SDR) superfamily,PMN2A_1408,locus_tag:locus_tag
PMN2A_1409,NATL2A_1_63057_94374,helix-hairpin-helix DNA-binding motif class 1-containing protein,PMN2A_1409,locus_tag:locus_tag
PMN2A_1410,NATL2A_1_63057_94374,cobQ/CobB/MinD/ParA nucleotide binding domain protein,PMN2A_1410,locus_tag:locus_tag
PMN2A_1411,NATL2A_1_63057_94374,ABC transporter family protein,PMN2A_1411,locus_tag:locus_tag
PMN2A_1412,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1412,locus_tag:locus_tag
PMN2A_1413,NATL2A_1_63057_94374,"alpha-glycosyltransferase, family 4",PMN2A_1413,locus_tag:locus_tag
PMN2A_1414,NATL2A_1_63057_94374,conserved hypothetical protein (DUF3303),PMN2A_1414,locus_tag:locus_tag
PMN2A_1897,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1897,locus_tag:locus_tag
PMN2A_1898,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1898,locus_tag:locus_tag
PMN2A_1899,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1899,locus_tag:locus_tag
PMN2A_1900,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1900,locus_tag:locus_tag
PMN2A_1901,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1901,locus_tag:locus_tag
PMN2A_1902,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1902,locus_tag:locus_tag
PMN2A_1903,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1903,locus_tag:locus_tag
PMN2A_1904,NATL2A_1_63057_94374,uncharacterized conserved membrane protein,PMN2A_1904,locus_tag:locus_tag
PMN2A_1905,NATL2A_1_63057_94374,conserved hypothetical protein,PMN2A_1905,locus_tag:locus_tag
PMN2A_RS10235,NATL2A_1_63057_94374,hypothetical protein,PMN2A_RS10235,locus_tag:locus_tag
PMN2A_RS10380,NATL2A_1_63057_94374,hypothetical protein,PMN2A_RS10380,locus_tag:locus_tag
PMN2A_RS10960,NATL2A_1_63057_94374,hypothetical protein,PMN2A_RS10960,locus_tag:locus_tag
PMN2A_0815,NATL2A_1_1318228_1334536,TPR repeat-containing protein,PMN2A_0815,locus_tag:locus_tag
PMN2A_0816,NATL2A_1_1318228_1334536,2OG-Fe(II) oxygenase superfamily protein,PMN2A_0816,locus_tag:locus_tag
PMN2A_0817,NATL2A_1_1318228_1334536,methyltransferase domain protein,PMN2A_0817,locus_tag:locus_tag
PMN2A_0818,NATL2A_1_1318228_1334536,conserved hypothetical protein,PMN2A_0818,locus_tag:locus_tag
PMN2A_0819,NATL2A_1_1318228_1334536,conserved hypothetical protein,PMN2A_0819,locus_tag:locus_tag
PMN2A_0820,NATL2A_1_1318228_1334536,"uncharacterized secreted protein, Prochlorococcus-specific",PMN2A_0820,locus_tag:locus_tag
PMN2A_0821,NATL2A_1_1318228_1334536,phosphoribosylglycinamide formyltransferase,PMN2A_0821,locus_tag:locus_tag
PMN2A_0822,NATL2A_1_1318228_1334536,hypothetical protein,PMN2A_0822,locus_tag:locus_tag
PMN2A_0823,NATL2A_1_1318228_1334536,hypothetical protein,PMN2A_0823,locus_tag:locus_tag
PMN2A_0824,NATL2A_1_1318228_1334536,hypothetical protein,PMN2A_0824,locus_tag:locus_tag
PMN2A_0825,NATL2A_1_1318228_1334536,TPR repeat-containing protein,PMN2A_0825,locus_tag:locus_tag
PMN2A_0826,NATL2A_1_1318228_1334536,perosamine synthetase protein family,PMN2A_0826,locus_tag:locus_tag
PMN2A_0827,NATL2A_1_1318228_1334536,conserved hypothetical protein,PMN2A_0827,locus_tag:locus_tag
PMN2A_2144,NATL2A_1_1318228_1334536,hypothetical protein,PMN2A_2144,locus_tag:locus_tag
PMN2A_RS10320,NATL2A_1_1318228_1334536,hypothetical protein,PMN2A_RS10320,locus_tag:locus_tag
PMN2A_RS10835,NATL2A_1_1318228_1334536,hypothetical protein,PMN2A_RS10835,locus_tag:locus_tag
PMN2A_RS10840,NATL2A_1_1318228_1334536,hypothetical protein,PMN2A_RS10840,locus_tag:locus_tag
