ID,organism,eggnog_predicted_gene_name,eggnog_predicted_gene_description,eggnog_predicted_COG,KEGG_predicted_gene_name,KEGG_predicted_KEGG_identifier,day2_LFC,day2_pvalue,day2_padj,day4_LFC,day4_pvalue,day4_padj,day5_LFC,day5_pvalue,day5_padj
1_1_MED4_genome,MED4,dnaN,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",L,dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],K02338,0.528129355,0.179870206,0.621338653,-0.253102033,0.419469573,1,0.046984324,0.806232641,1
1_10_MED4_genome,MED4,ftsY,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC),U,ftsY; fused signal recognition particle receptor,K03110,0.108331851,0.776147454,0.881714524,0.140266196,0.586176013,1,0.056620184,0.820200146,1
1_100_MED4_genome,MED4,rbn,Serum resistance locus BrkB-like protein,S,K07058; membrane protein,K07058,0.974355131,0.300463491,0.647374634,-0.051478645,0.832482782,1,0.008972273,0.94763567,1
1_1000_MED4_genome,MED4,suhB,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,0.2941931,0.561224219,0.764618245,0.238575369,0.398159495,1,-0.354990929,0.025160414,1
1_1001_MED4_genome,MED4,hisZ,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,E,hisZ; ATP phosphoribosyltransferase regulatory subunit,K02502,0.682530165,0.302435923,0.647374634,0.045093144,0.896472586,1,0.259296468,0.55950052,1
1_1002_MED4_genome,MED4,htpG,Chaperone protein HtpG,O,"HSP90A, htpG; molecular chaperone HtpG",K04079,-0.272306429,0.53634425,0.75150788,-0.128252014,0.485828845,1,0.134391369,0.621333867,1
1_1003_MED4_genome,MED4,rpmB,Belongs to the bacterial ribosomal protein bL28 family,J,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28",K02902,-1.074127227,0.042572479,0.621338653,0.630489458,0.057227203,1,-0.191359953,0.267832591,1
1_1004_MED4_genome,MED4,,Alkyl hydroperoxide reductase,O,"BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]",K03564,0.697699989,0.432956746,0.70127311,0.419889404,0.094413399,1,-0.157806589,0.264348877,1
1_1005_MED4_genome,MED4,ycf49,Alternative locus ID,S,,,1.493406853,0.557879898,0.761682504,0.472921445,0.394927437,1,-0.227368199,0.564643221,1
1_1006_MED4_genome,MED4,,Alternative locus ID,S,,,1.658450208,0.507510827,0.74294344,0.265386872,0.777187558,1,0.906356302,0.025529512,1
1_1007_MED4_genome,MED4,psaK,Photosystem I subunit X PsaK,S,psaK; photosystem I subunit X,K02698,-3.272952634,0.041828045,0.621338653,-1.271197145,0.223755697,1,-0.221527975,0.557227296,1
1_1008_MED4_genome,MED4,dxs,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP),F,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],K01662,-0.710976463,0.090610921,0.621338653,-0.137961494,0.466353215,1,0.007451741,0.964969411,1
1_1009_MED4_genome,MED4,ilvA,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA",E,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]",K01754,0.236373336,0.474916011,0.727158744,0.005100538,0.981707927,1,0.150285699,0.235631651,1
1_101_MED4_genome,MED4,,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,0.771900568,0.37276867,0.676647814,-0.116199015,0.645352704,1,-0.08754579,0.495648505,1
1_1010_MED4_genome,MED4,,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves,D,scpB; segregation and condensation protein B,K06024,0.150757338,0.730343378,0.850812388,0.159341157,0.378567411,1,0.030886071,0.929018597,1
1_1011_MED4_genome,MED4,ycf19,Alternative locus ID,S,yggT; YggT family protein,K02221,-0.543224334,0.169373247,0.621338653,-0.137296994,0.619606109,1,0.177827624,0.411040441,1
1_1012_MED4_genome,MED4,,Alternative locus ID,S,,,-0.256855416,0.415733802,0.695060603,-0.558220483,0.087528166,1,-0.041599689,0.770362675,1
1_1013_MED4_genome,MED4,pykF,Belongs to the pyruvate kinase family,G,"PK, pyk; pyruvate kinase [EC:2.7.1.40]",K00873,0.066369347,0.843739408,0.914300065,0.013495445,0.935404558,1,0.086605041,0.56778457,1
1_1014_MED4_genome,MED4,salY,Alternative locus ID,V,ABC.CD.P; putative ABC transport system permease protein,K02004,0.579088883,0.332669266,0.657825033,0.150922675,0.507412385,1,-0.084198731,0.572554489,1
1_1015_MED4_genome,MED4,,Alternative locus ID,S,bioY; biotin transport system substrate-specific component,K03523,1.522097377,0.159877766,0.621338653,0.257255442,0.493456711,1,0.375134121,0.40710564,1
1_1016_MED4_genome,MED4,lspA,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,MU,lspA; signal peptidase II [EC:3.4.23.36],K03101,2.257124237,0.430269688,0.699878531,0.869021526,0.651575111,1,1.641609099,0.176648353,1
1_1017_MED4_genome,MED4,,GTPase SAR1 and related small G,S,K06883; uncharacterized protein,K06883,0.435400978,0.485142803,0.73094849,-0.163468612,0.735428562,1,0.01281783,0.948791302,1
1_1018_MED4_genome,MED4,,None,None,,,-0.699320072,0.595453092,0.780017712,-0.626674533,0.314527408,1,1.219563929,0.195187194,1
1_1019_MED4_genome,MED4,gadB,Alternative locus ID,E,,,1.355584924,0.1297582,0.621338653,-0.091109761,0.74189613,1,0.387489838,0.016083203,1
1_102_MED4_genome,MED4,tolC,outer membrane efflux protein,MU,hgdD; heterocyst glycolipid deposition protein,K25172,0.284365135,0.556734073,0.761682504,0.07570909,0.820464514,1,-0.086518111,0.682716126,1
1_1020_MED4_genome,MED4,cumB,Alternative locus ID,FJ,tadA; tRNA(adenine34) deaminase [EC:3.5.4.33],K11991,0.406947653,0.614744562,0.787808074,-0.065943537,0.860388566,1,0.084731232,0.733681105,1
1_1021_MED4_genome,MED4,spt,Alternative locus ID,E,AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51],K00830,-0.181261879,0.524274821,0.748318637,-0.006366123,0.972732784,1,-0.126840043,0.352509915,1
1_1022_MED4_genome,MED4,glnA,Glutamine synthetase,H,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",K01915,0.237038178,0.521354545,0.748318637,-0.305914246,0.437176656,1,0.149795287,0.354632929,1
1_1023_MED4_genome,MED4,,Alternative locus ID,Q,,,-0.028621277,0.935106265,0.96502707,-0.012517263,0.962178108,1,0.192740402,0.323654432,1
1_1024_MED4_genome,MED4,,Alternative locus ID,S,,,-2.06572185,0.035225921,0.621338653,-0.027874215,0.917814921,1,0.121110761,0.702305401,1
1_1025_MED4_genome,MED4,rsbW,Alternative locus ID,T,,,-0.277032932,0.608893115,0.786077738,0.140694999,0.485612367,1,-0.336520133,0.105824335,1
1_1026_MED4_genome,MED4,,GUN4-like,S,,,-0.133297195,0.825538503,0.904138805,0.092578551,0.803845368,1,-0.160645992,0.33658286,1
1_1027_MED4_genome,MED4,ybbB,Alternative locus ID,S,"selU, mnmH; tRNA 2-selenouridine synthase [EC:2.9.1.3]",K06917,0.029361629,0.951107445,0.974961261,0.049444802,0.904443868,1,0.01573094,0.927811898,1
1_1028_MED4_genome,MED4,psb28,Photosystem II reaction center Psb28 protein,S,psb28; photosystem II 13kDa protein,K08903,-0.505545723,0.111220504,0.621338653,0.010902167,0.9590046,1,-0.06460096,0.799766652,1
1_1029_MED4_genome,MED4,perM,Alternative locus ID,S,,,1.227364008,0.216384853,0.628898664,0.150372523,0.675258317,1,0.351501534,0.477302893,1
1_103_MED4_genome,MED4,,Fe-S oxidoreductase,C,,,0.914529501,0.228632417,0.629961848,0.222200828,0.529293977,1,0.121168208,0.719700808,1
1_1030_MED4_genome,MED4,,None,None,,,-0.223486383,0.840230518,0.912841096,0.073929517,0.878311325,1,1.116021681,0.151792998,1
1_1031_MED4_genome,MED4,secF,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA,U,secF; preprotein translocase subunit SecF,K03074,1.425131055,0.249842953,0.629961848,-0.010507158,0.976204045,1,0.615007767,0.203853004,1
