,,,,,Total Mutations,,Lineages Represented,
Species,pCO2 Search,Locus Tag,Product,P Value,400 ppm,800 ppm,400 ppm,800 ppm
MIT9312,Both,PMT9312_1388,apolipoprotein N-acyltransferase,0.009,19,30,5,6
MIT9312,Both,PMT9312_1247,thioredoxin reductase,1,5,5,5,4
MIT9312,Both,PMT9312_0601,"ABC transporter, substrate binding protein, possibly Mn",0.342,12,8,6,5
MIT9312,Both,PMT9312_0528,Protein of unknown function DUF152,1,4,4,4,4
MIT9312,Both,PMT9312_0430,demethylmenaquinone methyltransferase,1,3,3,3,3
MIT9312,Both,PMT9312_0341,plastoquinol oxidase immutans,0.476,8,11,6,6
MIT9312,Both,PMT9312_0229,sulfate adenylyltransferase,0.812,4,5,3,3
MIT9312,Both,PMT9312_0046,arginine decarboxylase,0.635,7,5,3,4
MIT9312,400 ppm,PMT9312_0647,conserved hypothetical protein,0.476,4,1,4,1
MIT9312,400 ppm,PMT9312_0811,ATPase,0.635,4,2,4,2
MIT9312,400 ppm,PMT9312_0992,conserved hypothetical protein,0.155,6,0,2,0
MIT9312,400 ppm,PMT9312_1261,"putative iron ABC transporter, substrate bindingprotein",0.476,4,1,3,1
MIT9312,400 ppm,PMT9312_1476,Delta(12)-fatty acid dehydrogenase,0.635,4,2,3,2
MIT9312,800 ppm,PMT9312_0195,ribosomal large subunit pseudouridine synthase D,0.018,0,10,0,2
MIT9312,800 ppm,PMT9312_0911,leucyl-tRNA synthetase,0.097,0,7,0,1
MIT9312,800 ppm,PMT9312_1562,conserved hypothetical protein,0.235,1,6,1,3
MIT9312,800 ppm,PMT9312_1194,Type II secretory pathway component PulD-like protein,0.155,0,6,0,3
MIT9312,800 ppm,PMT9312_0732,DEAD/DEAH box helicase-like protein,0.342,1,5,1,4
MIT9312,800 ppm,PMT9312_1874,Conserved hypothetical protein,0.812,3,4,2,4
MIT9312,800 ppm,PMT9312_0318,SSU ribosomal protein S1P,0.812,5,4,2,3
MIT9312,800 ppm,PMT9312_0923,methionine synthase (B12-dependent),0.635,2,4,1,3
MIT9312,800 ppm,PMT9312_1342,hypothetical protein,0.476,1,4,1,3
CC9311,Both,SYNC_RS06960,sigma-70 family RNA polymerase sigma factor,0.774,4,3,3,3
CC9311,400ppm,SYNC_RS00930,SLC13 family permease,0.389,4,1,4,1
