seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NZ_CP006471.1,M744_RS00005,,M744_RS00005,M744_00005,Protein Homology,32,799,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243249.1,metallophosphoesterase,WP_049749324.1,GO:0016787,,hydrolase activity|0016787||IEA,,,M744_00005,
NZ_CP006471.1,M744_RS00010,,M744_RS00010,M744_00010,Protein Homology,950,2170,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243250.1,HhoA/HhoB/HtrA family serine endopeptidase,WP_011377632.1,,,,,,M744_00010,3.4.21.-
NZ_CP006471.1,rpiA,rpiA,M744_RS00015,M744_00015,Protein Homology,2259,2984,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243251.1,ribose-5-phosphate isomerase RpiA,WP_011243251.1,"GO:0009052,GO:0004751",,ribose-5-phosphate isomerase activity|0004751||IEA,pentose-phosphate shunt%2C non-oxidative branch|0009052||IEA,,M744_00015,5.3.1.6
NZ_CP006471.1,bchI,bchI,M744_RS00020,M744_00020,Protein Homology,3121,4215,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243252.1,magnesium chelatase ATPase subunit I,WP_011243252.1,"GO:0015995,GO:0005524,GO:0016851,GO:0016887,GO:0010007",magnesium chelatase complex|0010007||IEA,"ATP binding|0005524||IEA,magnesium chelatase activity|0016851||IEA,ATP hydrolysis activity|0016887||IEA",chlorophyll biosynthetic process|0015995||IEA,,M744_00020,6.6.1.1
NZ_CP006471.1,M744_RS00025,,M744_RS00025,M744_00025,Protein Homology,4314,5318,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243253.1,YheT family hydrolase,WP_011243253.1,GO:0008126,,acetylesterase activity|0008126||IEA,,,M744_00025,3.1.1.-
NZ_CP006471.1,M744_RS00030,,M744_RS00030,M744_00030,Protein Homology,5357,5704,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243254.1,hypothetical protein,WP_011243254.1,,,,,,M744_00030,
NZ_CP006471.1,mrdA,mrdA,M744_RS00035,M744_00035,Protein Homology,5801,7618,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377631.1,penicillin-binding protein 2,WP_011377631.1,"GO:0009252,GO:0003824,GO:0008658,GO:0016020",membrane|0016020||IEA,"catalytic activity|0003824||IEA,penicillin binding|0008658||IEA",peptidoglycan biosynthetic process|0009252||IEA,,M744_00035,3.4.16.4
NZ_CP006471.1,M744_RS00040,,M744_RS00040,M744_00040,Protein Homology,7573,8706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243256.1,glycosyltransferase,WP_011243256.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,,M744_00040,2.4.-.-
NZ_CP006471.1,M744_RS00045,,M744_RS00045,M744_00045,Protein Homology,8722,9930,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243257.1,NAD-dependent epimerase/dehydratase family protein,WP_011243257.1,GO:0003824,,catalytic activity|0003824||IEA,,,M744_00045,
NZ_CP006471.1,psb34,psb34,M744_RS13870,M744_RS13870,Protein Homology,10024,10194,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243258.1,photosystem II assembly protein Psb34,WP_011243258.1,GO:0019684,,,photosynthesis%2C light reaction|0019684||IEA,,,
NZ_CP006471.1,M744_RS00050,,M744_RS00050,M744_00055,Protein Homology,10278,11108,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_039755858.1,thiazole synthase,WP_039755858.1,GO:1990107,,thiazole synthase activity|1990107||IEA,,,M744_00055,2.8.1.10
NZ_CP006471.1,M744_RS00055,,M744_RS00055,M744_00060,Protein Homology,11388,11924,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243260.1,hypothetical protein,WP_231621344.1,,,,,,M744_00060,
NZ_CP006471.1,M744_RS00060,,M744_RS00060,M744_00065,Protein Homology,11896,12726,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243261.1,DUF3598 family protein,WP_011243261.1,,,,,,M744_00065,
NZ_CP006471.1,M744_RS00065,,M744_RS00065,M744_00070,GeneMarkS-2+,12805,13041,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011377629.1,,,,,,M744_00070,
NZ_CP006471.1,M744_RS00075,,M744_RS00075,M744_00080,Protein Homology,13204,13644,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377628.1,VOC family protein,WP_011377628.1,"GO:0003824,GO:0046872",,"catalytic activity|0003824||IEA,metal ion binding|0046872||IEA",,,M744_00080,
NZ_CP006471.1,M744_RS00080,,M744_RS00080,M744_00085,Protein Homology,13641,15014,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243263.1,MFS transporter,WP_011243263.1,"GO:0008643,GO:0055085,GO:0015293,GO:0022857,GO:0016020",membrane|0016020||IEA,"symporter activity|0015293||IEA,transmembrane transporter activity|0022857||IEA","carbohydrate transport|0008643||IEA,transmembrane transport|0055085||IEA",,M744_00085,
NZ_CP006471.1,M744_RS00085,,M744_RS00085,M744_00090,Protein Homology,15117,16460,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243264.1,trans-splicing intein-formed DNA polymerase III subunit alpha C-terminal partner DnaE-C,WP_011243264.1,,,,,,M744_00090,
NZ_CP006471.1,M744_RS00090,,M744_RS00090,M744_00095,Protein Homology,16685,17620,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243265.1,RpoD/SigA family RNA polymerase sigma factor,WP_011243265.1,,,,,,M744_00095,
NZ_CP006471.1,M744_RS00095,,M744_RS00095,M744_00100,Protein Homology,17651,18967,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377627.1,cytosine deaminase,WP_011377627.1,GO:0016810,,hydrolase activity%2C acting on carbon-nitrogen (but not peptide) bonds|0016810||IEA,,,M744_00100,3.5.4.1
NZ_CP006471.1,M744_RS00100,,M744_RS00100,M744_00105,Protein Homology,18970,20319,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377626.1,FAD-binding oxidoreductase,WP_011377626.1,"GO:0016491,GO:0071949",,"oxidoreductase activity|0016491||IEA,FAD binding|0071949||IEA",,,M744_00105,1.-.-.-
NZ_CP006471.1,M744_RS00105,,M744_RS00105,M744_00110,Protein Homology,20321,21091,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243268.1,HAD family hydrolase,WP_011243268.1,GO:0016787,,hydrolase activity|0016787||IEA,,,M744_00110,3.-.-.-
NZ_CP006471.1,M744_RS00110,,M744_RS00110,M744_00115,Protein Homology,21088,21750,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243269.1,FHA domain-containing protein,WP_011243269.1,GO:0005515,,protein binding|0005515||IEA,,,M744_00115,
NZ_CP006471.1,M744_RS00115,,M744_RS00115,M744_00120,Protein Homology,21851,22564,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243270.1,DevA family ABC transporter ATP-binding protein,WP_011243270.1,,,,,,M744_00120,
NZ_CP006471.1,uvrB,uvrB,M744_RS00120,M744_00125,Protein Homology,22684,24684,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243271.1,excinuclease ABC subunit UvrB,WP_011243271.1,"GO:0006289,GO:0003677,GO:0005515,GO:0005524,GO:0016787,GO:0016887,GO:0009380",excinuclease repair complex|0009380||IEA,"DNA binding|0003677||IEA,protein binding|0005515||IEA,ATP binding|0005524||IEA,hydrolase activity|0016787||IEA,ATP hydrolysis activity|0016887||IEA",nucleotide-excision repair|0006289||IEA,,M744_00125,3.1.25.-
NZ_CP006471.1,M744_RS00125,,M744_RS00125,M744_00130,Protein Homology,24742,25197,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243272.1,DUF3531 family protein,WP_011243272.1,,,,,,M744_00130,
NZ_CP006471.1,M744_RS00130,,M744_RS00130,M744_00135,Protein Homology,25289,26284,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377624.1,Sll0314/Alr1548 family TPR repeat-containing protein,WP_011377624.1,,,,,,M744_00135,
NZ_CP006471.1,M744_RS00135,,M744_RS00135,M744_00140,Protein Homology,26359,27063,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377623.1,ABC transporter ATP-binding protein,WP_011377623.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,M744_00140,
NZ_CP006471.1,hslO,hslO,M744_RS00140,M744_00145,Protein Homology,27096,27989,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243275.1,Hsp33 family molecular chaperone HslO,WP_011243275.1,"GO:0006457,GO:0051082",,unfolded protein binding|0051082||IEA,protein folding|0006457||IEA,,M744_00145,
NZ_CP006471.1,M744_RS00145,,M744_RS00145,M744_00150,Protein Homology,28041,28655,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243276.1,CPP1-like family protein,WP_011243276.1,,,,,,M744_00150,
NZ_CP006471.1,M744_RS00150,,M744_RS00150,M744_00155,GeneMarkS-2+,28733,28924,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011377622.1,,,,,,M744_00155,
NZ_CP006471.1,M744_RS00155,,M744_RS00155,M744_00160,Protein Homology,29119,29832,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243277.1,response regulator transcription factor,WP_011243277.1,"GO:0000160,GO:0006355,GO:0000156,GO:0003677",,"phosphorelay response regulator activity|0000156||IEA,DNA binding|0003677||IEA","phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA",,M744_00160,
NZ_CP006471.1,M744_RS00160,,M744_RS00160,M744_00165,Protein Homology,29829,30548,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243278.1,M48 family metallopeptidase,WP_011243278.1,"GO:0006508,GO:0008233,GO:0008237,GO:0008270,GO:0016787,GO:0046872",,"peptidase activity|0008233||IEA,metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA,hydrolase activity|0016787||IEA,metal ion binding|0046872||IEA",proteolysis|0006508||IEA,,M744_00165,3.4.-.-
NZ_CP006471.1,ychF,ychF,M744_RS00165,M744_00170,Protein Homology,30653,31744,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_010872577.1,redox-regulated ATPase YchF,WP_011243279.1,"GO:0005524,GO:0005525,GO:0016887",,"ATP binding|0005524||IEA,GTP binding|0005525||IEA,ATP hydrolysis activity|0016887||IEA",,,M744_00170,
NZ_CP006471.1,M744_RS00170,,M744_RS00170,M744_00175,Protein Homology,31804,33156,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377621.1,efflux RND transporter periplasmic adaptor subunit,WP_011377621.1,"GO:0055085,GO:0022857,GO:0042802,GO:0016020",membrane|0016020||IEA,"transmembrane transporter activity|0022857||IEA,identical protein binding|0042802||IEA",transmembrane transport|0055085||IEA,,M744_00175,
NZ_CP006471.1,wecB,wecB,M744_RS00175,M744_00180,Protein Homology,33153,34271,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243281.1,non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase,WP_011243281.1,GO:0008761,,UDP-N-acetylglucosamine 2-epimerase activity|0008761||IEA,,,M744_00180,5.1.3.14
NZ_CP006471.1,M744_RS00180,,M744_RS00180,M744_00185,Protein Homology,34397,34768,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377620.1,hypothetical protein,WP_011377620.1,,,,,,M744_00185,
NZ_CP006471.1,M744_RS14200,,M744_RS14200,M744_RS14200,GeneMarkS-2+,35140,35271,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_265575060.1,,,,,,,
NZ_CP006471.1,M744_RS00185,,M744_RS00185,M744_00195,Protein Homology,35301,35684,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377619.1,DUF6464 family protein,WP_011377619.1,,,,,,M744_00195,
NZ_CP006471.1,M744_RS00190,,M744_RS00190,M744_00200,Protein Homology,35693,36454,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377618.1,TerC family protein,WP_011377618.1,"GO:0005886,GO:0016020","plasma membrane|0005886||IEA,membrane|0016020||IEA",,,,M744_00200,
NZ_CP006471.1,M744_RS00195,,M744_RS00195,M744_00205,Protein Homology,36555,37715,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243285.1,hypothetical protein,WP_011243285.1,,,,,,M744_00205,
NZ_CP006471.1,M744_RS00200,,M744_RS00200,M744_00210,Protein Homology,37772,38281,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243286.1,hypothetical protein,WP_011243286.1,,,,,,M744_00210,
NZ_CP006471.1,M744_RS00205,,M744_RS00205,M744_00215,Protein Homology,38315,40462,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243287.1,cation:proton antiporter,WP_011243287.1,"GO:0006812,GO:0055085,GO:1902600,GO:0015297,GO:0016020",membrane|0016020||IEA,antiporter activity|0015297||IEA,"monoatomic cation transport|0006812||IEA,transmembrane transport|0055085||IEA,proton transmembrane transport|1902600||IEA",,M744_00215,
