GID,genename,kid,ko,definition,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
sync_0001,dnaN,syg:sync_0001,K02338,"DNA polymerase III, beta subunit",dnaN,"DNA polymerase III, beta subunit",Q0IE82,"DNA polymerase III, beta subunit (EC 2.7.7.7).",2.7.7.7,174,174..1331,385
sync_0002,,syg:sync_0002,,hypothetical protein,,conserved hypothetical protein,Q0IE81,Putative uncharacterized protein.,,1348,1348..2148,266
sync_0003,purL,syg:sync_0003,K01952,phosphoribosylformylglycinamidine synthase II,purL,phosphoribosylformylglycinamidine synthase II,Q0IE80,Phosphoribosylformylglycinamidine synthase II (EC 6.3.5.3).,6.3.5.3,2185,2185..4518,777
sync_0004,purF,syg:sync_0004,K00764,amidophosphoribosyltransferase,purF,amidophosphoribosyltransferase,Q0IE79,Amidophosphoribosyltransferase (EC 2.4.2.14).,2.4.2.14,4518,4518..6023,501
sync_0005,gyrA-1,syg:sync_0005,K02469,DNA gyrase subunit A,gyrA-1,DNA gyrase subunit A,Q0IE78,DNA gyrase subunit A (EC 5.99.1.3).,5.99.1.3,6024,complement(6024..8486),820
sync_0006,,syg:sync_0006,,tetratricopeptide repeat protein,,tetratricopeptide repeat protein,Q0IE77,Tetratricopeptide repeat protein.,,8556,complement(8556..9455),299
sync_0007,,syg:sync_0007,,"iron-sulfur cluster binding protein, putative",,"iron-sulfur cluster binding protein, putative",Q0IE76,"Iron-sulfur cluster binding protein, putative.",,9455,complement(9455..10429),324
sync_0008,,syg:sync_0008,,hypothetical protein,,unnamed protein product,Q0IE75,Unnamed protein product.,,10474,10474..11136,220
sync_0009,,syg:sync_0009,,hypothetical protein,,conserved hypothetical protein,Q0IE74,Putative uncharacterized protein.,,11192,11192..11941,249
sync_0010,,syg:sync_0010,K03625,putative transcription antitermination factor NusB,,putative transcription antitermination factor NusB,Q0IE73,Putative transcription antitermination factor NusB.,,11963,11963..12595,210
sync_0011,ftsY,syg:sync_0011,K03110,signal recognition particle-docking protein FtsY,ftsY,signal recognition particle-docking protein FtsY,Q0IE72,Signal recognition particle-docking protein FtsY.,,12600,12600..14255,551
sync_0012,,syg:sync_0012,K07315,SpoIIE domain protein,,SpoIIE domain protein,Q0IE71,SpoIIE domain protein.,,14323,14323..15732,469
sync_0013,argH,syg:sync_0013,K01755,argininosuccinate lyase,argH,argininosuccinate lyase,Q0IE70,Argininosuccinate lyase (EC 4.3.2.1).,4.3.2.1,15764,15764..17182,472
sync_0014,,syg:sync_0014,,RNA-binding region RNP-1 (RNA recognition motif),,RNA-binding region RNP-1 (RNA recognition motif),Q0IE69,RNA-binding region RNP-1 (RNA recognition motif).,,17309,17309..17854,181
sync_0015,,syg:sync_0015,K05539,tRNA-dihydrouridine synthase A,,tRNA-dihydrouridine synthase A,Q0IE68,TRNA-dihydrouridine synthase A (EC 1.-.-.-).,1.-.-.-,17873,complement(17873..18877),334
sync_0016,msrB-1,syg:sync_0016,K07305,methionine-R-sulfoxide reductase,msrB-1,methionine-R-sulfoxide reductase,Q0IE67,Methionine-R-sulfoxide reductase (EC 1.8.4.-).,1.8.4.12,18944,18944..19456,170
sync_0017,,syg:sync_0017,K07007,conserved hypothetical protein TIGR00275,,conserved hypothetical protein TIGR00275,Q0IE66,Putative uncharacterized protein.,,19383,19383..20696,437
sync_0018,,syg:sync_0018,,hypothetical protein,,hypothetical protein,Q0IE65,Putative uncharacterized protein.,,20744,complement(20744..24079),1111
sync_0019,pilC,syg:sync_0019,K02653,type IV pilus assembly protein PilC,pilC,type IV pilus assembly protein PilC,Q0IE64,Type IV pilus assembly protein PilC.,,24218,complement(24218..25498),426
sync_0020,pilT,syg:sync_0020,K02669,twitching motility protein,pilT,twitching motility protein,Q0IE63,Twitching motility protein.,,25515,complement(25515..26579),354
sync_0021,pilB,syg:sync_0021,K02652,type IV pilus assembly protein PilB,pilB,type IV pilus assembly protein PilB,Q0IE62,Type IV pilus assembly protein PilB.,,26600,complement(26600..28471),623
sync_0022,grpE-1,syg:sync_0022,K03687,co-chaperone GrpE,grpE-1,co-chaperone GrpE,Q0IE61,Co-chaperone GrpE.,,28371,28371..29180,269
sync_0023,,syg:sync_0023,K03686,DnaJ protein,,DnaJ protein,Q0IE60,DnaJ protein.,,29298,29298..30353,351
sync_0024,,syg:sync_0024,,hypothetical protein,,conserved hypothetical protein,Q0IE59,Putative uncharacterized protein.,,30357,30357..30599,80
sync_0025,,syg:sync_0025,K06949,ribosome-associated GTPase YjeQ,,ribosome-associated GTPase YjeQ,Q0IE58,Ribosome-associated GTPase YjeQ.,3.6.1.-,30586,30586..31500,304
sync_0026,,syg:sync_0026,K09747,conserved hypothetical protein TIGR00103,,conserved hypothetical protein TIGR00103,Q0IE57,Putative uncharacterized protein.,,31475,complement(31475..31816),113
sync_0027,murB,syg:sync_0027,K00075,UDP-N-acetylenolpyruvoylglucosamine reductase,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,Q0IE56,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158).,1.1.1.158,31841,complement(31841..32779),312
sync_0028,murC,syg:sync_0028,K01924,UDP-N-acetylmuramate--alanine ligase,murC,UDP-N-acetylmuramate--alanine ligase,Q0IE55,UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8).,6.3.2.8,32755,complement(32755..34206),483
sync_0029,gap-1,syg:sync_0029,K00150,"glyceraldehyde-3-phosphate dehydrogenase, type I",gap-1,"glyceraldehyde-3-phosphate dehydrogenase, type I",Q0IE54,"Glyceraldehyde-3-phosphate dehydrogenase, type I (EC 1.2.1.-).",1.2.1.59,34373,34373..35398,341
sync_0030,thiL,syg:sync_0030,K00946,thiamine-monophosphate kinase,thiL,thiamine-monophosphate kinase,Q0IE53,Thiamine-monophosphate kinase (EC 2.7.4.16).,2.7.4.16,35461,complement(35461..36441),326
sync_0031,,syg:sync_0031,K01802,"peptidyl-prolyl cis-trans isomerase, cyclophilin-type",,"peptidyl-prolyl cis-trans isomerase, cyclophilin-type",Q0IE52,"Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (EC 5.2.1.8).",5.2.1.8,36449,complement(36449..37522),357
sync_0032,efp,syg:sync_0032,K02356,translation elongation factor P,efp,translation elongation factor P,Q0IE51,Translation elongation factor P.,,37588,37588..38151,187
sync_0033,accB,syg:sync_0033,K02160,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",accB,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",Q0IE50,"Acetyl-CoA carboxylase, biotin carboxyl carrier protein.",,38154,38154..38633,159
sync_0034,pdxA,syg:sync_0034,K00097,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,Q0IE49,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262).,1.1.1.262,38620,complement(38620..39648),342
sync_0035,wcaG-1,syg:sync_0035,,NAD dependent epimerase/dehydratase,wcaG-1,NAD dependent epimerase/dehydratase,Q0IE48,NAD dependent epimerase/dehydratase.,,39804,complement(39804..40733),309
sync_0036,,syg:sync_0036,,possible squash family serine protease inhibit,,possible Squash family serine protease inhibit,Q0IE47,Possible Squash family serine protease inhibit.,,40806,40806..40997,63
sync_0037,mcrA,syg:sync_0037,,HNH endonuclease:HNH nuclease,mcrA,HNH endonuclease:HNH nuclease,Q0IE46,HNH endonuclease:HNH nuclease.,,40998,complement(40998..41429),143
sync_0038,,syg:sync_0038,,possible helicase,,possible helicase,Q0IE45,Possible helicase.,,41838,41838..43223,461
sync_0039,,syg:sync_0039,,possible penicillin amidase,,possible Penicillin amidase,Q0IE44,Possible Penicillin amidase.,,43576,complement(43576..44091),171
sync_0040,,syg:sync_0040,K07120,hypothetical protein,,conserved hypothetical protein,Q0IE43,Putative uncharacterized protein.,,44072,complement(44072..44587),171
sync_0041,,syg:sync_0041,,possible methyl-accepting chemotaxis protein,,possible methyl-accepting chemotaxis protein,Q0IE42,Possible methyl-accepting chemotaxis protein.,,44672,44672..44962,96
sync_0042,,syg:sync_0042,,hypothetical protein,,conserved hypothetical protein,Q0IE41,Putative uncharacterized protein.,,45001,45001..45204,67
sync_0043,,syg:sync_0043,,hypothetical protein,,conserved hypothetical protein,Q0IE40,Putative uncharacterized protein.,,45259,45259..45486,75
sync_0044,,syg:sync_0044,,tRNA-Gly,,Gly tRNA,,,,45490,complement(45490..45561),
sync_0045,,syg:sync_0045,,"soluble hydrogenase, tritium exchange subunit, putative",,"soluble hydrogenase, tritium exchange subunit, putative",Q0IE39,"Soluble hydrogenase, tritium exchange subunit, putative.",,45613,complement(45613..46767),384
sync_0046,cbiD,syg:sync_0046,K02188,cobalamin biosynthesis protein CbiD,cbiD,cobalamin biosynthesis protein CbiD,Q0IE38,Cobalamin biosynthesis protein CbiD.,,46810,46810..47997,395
sync_0047,guaA,syg:sync_0047,K01951,"GMP synthase, glutamine-hydrolyzing",guaA,"GMP synthase, glutamine-hydrolyzing",Q0IE37,"GMP synthase, glutamine-hydrolyzing (EC 6.3.5.2).",6.3.5.2,48046,48046..49632,528
sync_0048,,syg:sync_0048,,hypothetical protein,,hypothetical protein,Q0IE36,Putative uncharacterized protein.,,50173,50173..50553,126
sync_0049,,syg:sync_0049,,predicted membrane protein,,Predicted membrane protein,Q0IE35,Predicted membrane protein.,,51902,51902..52549,215
sync_0050,,syg:sync_0050,,hypothetical protein,,conserved hypothetical protein,Q0IE34,Putative uncharacterized protein.,,52504,52504..52959,151
sync_0051,,syg:sync_0051,K05515,putative penicillin-binding protein,,Putative penicillin-binding protein,Q0IE33,Putative penicillin-binding protein.,,52965,52965..54770,601
sync_0052,,syg:sync_0052,,"glycosyl transferase, group 1 family protein",,"glycosyl transferase, group 1 family protein",Q0IE32,"Glycosyl transferase, group 1 family protein (EC 2.4.1.-).",,54772,complement(54772..55917),381
sync_0053,sqdB,syg:sync_0053,,sulfolipid biosynthesis protein SqdB,sqdB,sulfolipid biosynthesis protein SqdB,Q0IE31,Sulfolipid biosynthesis protein SqdB.,,55931,complement(55931..57127),398
sync_0054,,syg:sync_0054,,possible high light inducible protein,,possible high light inducible protein,Q0IE30,Possible high light inducible protein.,,57186,complement(57186..57353),55
sync_0055,,syg:sync_0055,K03149,thiamin biosynthesis protein,,thiamin biosynthesis protein,Q0IE29,Thiamin biosynthesis protein (EC 1.5.3.-).,,57488,complement(57488..58357),289
