species,symbol,product,logFC,PValue
MIT9312,PMT9312_0356,spectrin repeat protein-like,1.550259561,2.49E-07
MIT9312,PMT9312_0720,putative secreted protein,-4.609260974,6.34E-06
MIT9312,PMT9312_0688,high light inducible protein-like_1,-1.552931006,8.38E-06
MIT9312,PMT9312_1017,hypothetical protein_PMT9312_1017,-1.797176525,1.64E-05
MIT9312,PMT9312_0721,porin precursor-like,-4.632982366,1.67E-05
MIT9312,PMT9312_1471,type I restriction modification DNA-like,1.252382497,2.89E-05
MIT9312,PMT9312_0247,cob(I)alamin adenosyltransferase,1.114697608,4.71E-05
MIT9312,PMT9312_1510,high light inducible protein-like_2,-1.501678811,0.00024664
MIT9312,PMT9312_1160,virion host shutoff protein-like,1.017875917,0.00027832
MIT9312,PMT9312_0722,periplasmic phosphate binding protein,-2.671614963,0.000298283
MIT9312,PMT9312_1511,hypothetical protein_PMT9312_1511,-1.283908335,0.000338395
MIT9312,PMT9312_1938,PMT9312_1938,1.142203786,0.000348929
MIT9312,PMT9312_1790,"type II alternative RNA polymerase sigma factor, sigma-70 family_1",1.380440691,0.000426663
MIT9312,PMT9312_0719,lipoprotein-like,-2.157198983,0.00066814
MIT9312,PMT9312_1966,PMT9312_1966,-2.432851995,0.000777106
MIT9312,PMT9312_1608,hypothetical protein_PMT9312_1608,1.208521644,0.000793631
MIT9312,PMT9312_0687,high light inducible protein-like_3,-1.11151281,0.001131408
MIT9312,PMT9312_1228,high light inducible protein-like_4,-1.334376402,0.001181575
MIT9312,csoS3,carboxysome shell protein CsoS3,-1.146545428,0.001663527
MIT9312,PMT9312_1843,PMT9312_1843,-1.15853087,0.001990611
MIT9312,PMT9312_1509,high light inducible protein-like_5,-1.102062458,0.002042444
MIT9312,csoS2,carboxysome shell protein CsoS2,-1.734703828,0.002676638
MIT9312,csoS1,carboxysome shell protein CsoS1,-2.214434953,0.003151964
MIT9312,PMT9312_1520,poly A polymerase regulatory subunit-like,-2.172550389,0.003305489
MIT9312,PMT9312_1230,high light inducible protein-like_6,-1.065756828,0.003509911
MIT9312,PMT9312_1919,PMT9312_1919,1.024145557,0.003788054
MIT9312,PMT9312_0716,cytochrome c,-1.061780969,0.004827975
MIT9312,PMT9312_1474,hypothetical protein_PMT9312_1474,-2.051261636,0.005006963
MIT9312,PMT9312_1695,hypothetical protein_PMT9312_1695,1.144449545,0.005379469
MIT9312,"rbcS, cbbS","ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit",-2.085493636,0.006329026
MIT9312,PMT9312_1931,PMT9312_1931,-1.205107806,0.007675883
MIT9312,"rbcL, cbbL","ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",-2.154319054,0.007812585
MIT9312,PMT9312_0661,ribonucleotide reductase (class II),1.120613366,0.009325449
MIT9312,PMT9312_1519,"twin-arginine translocation protein, TatA/E family",-1.318773541,0.014321331
MIT9312,PMT9312_1722,"type II alternative RNA polymerase sigma factor, sigma-70 family_2",-1.098925495,0.018174835
MIT9312,PMT9312_1502,hypothetical protein_PMT9312_1502,-1.02996097,0.019867084
MIT9312,PMT9312_1176,PsbF protein-like,-1.182709363,0.047558099
CC9311,sync_2538,tRNA-Ile_1,3.427424124,0.000614461
CC9311,sync_0554,tRNA-Ile_2,3.15422916,0.00085349
CC9311,sync_2758,hypothetical protein_sync_2758,-1.970960599,0.001254599
CC9311,sync_2793,fatty acid desaturase,-2.246378341,0.004194161
CC9311,sync_1050,hypothetical protein_sync_1050,-1.384301074,0.005139652
CC9311,sync_1121,hypothetical protein_sync_1121,-1.618597605,0.006341106
CC9311,sync_1814,hypothetical protein_sync_1814,-1.130692592,0.010073368
CC9311,sync_2757,transcriptional regulator_1,-1.409774131,0.010712751
CC9311,dnaK-1,chaperone protein dnaK2 (heat shock protein 70-2) (HSP70-2),-1.548272406,0.012794159
CC9311,sync_2421,hypothetical protein_sync_2421,1.135952161,0.014851524
CC9311,sync_2844,tRNA-Val,1.230336991,0.018179458
CC9311,sync_2681,vanadium-dependent bromoperoxidase 2,-1.411505782,0.018852259
CC9311,sync_2439,possible high light inducible protein-related protein,-1.325959869,0.019379149
CC9311,sync_2182,hypothetical protein_sync_2182,-1.031614718,0.019572318
CC9311,sync_2764,transcriptional regulator_2,-1.299939176,0.02605862
CC9311,petF-2,ferredoxin,-1.133988476,0.026173588
CC9311,sync_2304,CAB/ELIP/HLIP family protein,-1.154532075,0.026684008
CC9311,sync_1494,RNA polymerase sigma-70 factor family protein,1.199247825,0.026850661
CC9311,sync_0349,"beta-lactamase, putative",-1.305494164,0.028689452
CC9311,sync_1816,predicted membrane protein,-1.038977998,0.029276544
CC9311,sync_2238,hypothetical protein_sync_2238,-1.291091664,0.02958979
CC9311,deaD,superfamily II DNA/RNA helicase,-1.179679685,0.032365974
CC9311,sync_1063,hypothetical protein_sync_1063,-1.235808076,0.033477514
CC9311,sync_0840,hypothetical protein_sync_0840,-1.390747613,0.035271829
CC9311,sync_0716,hypothetical protein_sync_0716,-1.197923783,0.035662493
CC9311,sync_2775,small heat shock protein (HSP20) family protein,-1.15679738,0.035836493
CC9311,sync_0667,possible pilin,-1.455117879,0.039532639
CC9311,sync_2425,hypothetical protein_sync_2425,-1.094360646,0.041882104
CC9311,sync_1066,hypothetical protein_sync_1066,-1.28724349,0.045667964
