GID,SYMBOL,kid,PRODUCT,ko,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
SYNW0001,dnaN,syw:SYNW0001,DNA polymerase III beta subunit,K02338,dnaN,DNA polymerase III beta subunit,Q7UA94,DNA polymerase III beta subunit (EC 2.7.7.7).,2.7.7.7,174,174..1331,385
SYNW0002,SYNW0002,syw:SYNW0002,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA93,Hypothetical protein.,,1333,1333..2058,241
SYNW0003,purL,syw:SYNW0003,phosphoribosylformylglycinamidine synthetase II,K01952,purL,phosphoribosylformylglycinamidine synthetase II,Q7UA92,Phosphoribosylformylglycinamidine synthase II (EC 6.3.5.3) (FGAM synthase II).,6.3.5.3,2103,2103..4409,768
SYNW0004,purF,syw:SYNW0004,glutamine amidotransferase class-II:phosphoribosyl transferase,K00764,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,Q7TTY2,Glutamine amidotransferase class-II:Phosphoribosyl transferase (EC 2.4.2.14).,2.4.2.14,4393,4393..5898,501
SYNW0005,SYNW0005,syw:SYNW0005,putative DNA topoisomerase chain A,K02469,,putative DNA topoisomerase chain A,Q7UA91,Putative DNA topoisomerase chain A (EC 5.99.1.3).,5.99.1.3,5899,complement(5899..8373),824
SYNW0006,SYNW0006,syw:SYNW0006,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA90,Hypothetical protein precursor.,,8419,complement(8419..9300),293
SYNW0007,SYNW0007,syw:SYNW0007,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA89,Hypothetical protein.,,9319,complement(9319..10284),321
SYNW0008,SYNW0008,syw:SYNW0008,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA88,Hypothetical protein.,,10334,10334..10978,214
SYNW0009,SYNW0009,syw:SYNW0009,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA87,Hypothetical protein.,,11028,11028..11762,244
SYNW0010,SYNW0010,syw:SYNW0010,NusB family protein,K03625,,NusB family protein,Q7UA86,NusB family protein.,,11766,11766..12401,211
SYNW0011,ftsY,syw:SYNW0011,signal recognition particle docking protein FtsY,K03110,ftsY,signal recognition particle docking protein FtsY,Q7UA85,Signal recognition particle docking protein FtsY.,,12401,12401..13858,485
SYNW0012,SYNW0012,syw:SYNW0012,conserved hypothetical protein,K07315,,conserved hypothetical protein,Q7UA84,Hypothetical protein.,,13895,13895..15316,473
SYNW0013,argH,syw:SYNW0013,fumarate lyase:Delta crystallin,K01755,argH,Fumarate lyase:Delta crystallin,Q7TTY1,Argininosuccinate lyase (EC 4.3.2.1) (Arginosuccinase) (ASAL).,4.3.2.1,15337,15337..16752,471
SYNW0014,SYNW0014,syw:SYNW0014,RNA-binding region RNP-1 (RNA recognition motif),,,RNA-binding region RNP-1 (RNA recognition motif),Q7UA83,RNA-binding region RNP-1 (RNA recognition motif).,,16879,16879..17523,214
SYNW0015,SYNW0015,syw:SYNW0015,uncharacterized protein family UPF0034,K05539,,Uncharacterized protein family UPF0034,Q7UA82,Uncharacterized protein family UPF0034.,1.-.-.-,17529,complement(17529..18521),330
SYNW0016,SYNW0016,syw:SYNW0016,conserved hypothetical protein,K07305,,conserved hypothetical protein,Q7UA81,Hypothetical protein precursor.,1.8.4.12,18563,18563..19069,168
SYNW0017,SYNW0017,syw:SYNW0017,conserved hypothetical protein,K07007,,conserved hypothetical protein,Q7UA80,Hypothetical protein.,,19080,19080..20318,412
SYNW0018,pilC,syw:SYNW0018,pili biogenesis protein,K02653,pilC,pili biogenesis protein,Q7UA79,Pili biogenesis protein.,,20293,complement(20293..21366),357
SYNW0019,SYNW0019,syw:SYNW0019,homologous to C-terminus of pilT1 protein,,,homologous to C-terminus of pilT1 protein,,,,21574,complement(21574..22038),
SYNW0020,SYNW0020,syw:SYNW0020,homologous to central portion of pilT1 protein,,,homologous to central portion of pilT1 protein,,,,21932,complement(21932..22144),
SYNW0021,SYNW0021,syw:SYNW0021,homologous to N-terminus of pilT1 protein,,,homologous to N-terminus of pilT1 protein,,,,22138,complement(22138..22527),
