species,symbol,product,logFC,PValue,locus_tag
EZ55,EZ55_00798,spondin N,-2.563426942,5.83e-06,EZ55_00798
EZ55,EZ55_01828,uncharacterized protein DUF547,-2.440135941,4.44e-06,EZ55_01828
EZ55,EZ55_01827,pyruvate/2-oxoglutarate dehydrogenase complex,-2.298028576,1.83e-05,EZ55_01827
EZ55,EZ55_01829,putative thiamine transport system,-2.275973432,6.33e-06,EZ55_01829
EZ55,EZ55_00872,Ohr subfamily peroxiredoxin,-2.220061041,4.66e-05,EZ55_00872
EZ55,EZ55_02905,hypothetical protein,-2.094830811,0.000218263,EZ55_02905
EZ55,EZ55_03098,4-azaleucine resistance transporter AzlC,-2.08383455,2.59e-08,EZ55_03098
EZ55,EZ55_00797,spondin N,-2.031628085,4.21e-06,EZ55_00797
EZ55,EZ55_03398,hypothetical protein,-2.008981054,4.81e-10,EZ55_03398
EZ55,EZ55_00873,leukotriene A-4 hydrolase/aminopeptidase,-1.989588489,1.05e-09,EZ55_00873
EZ55,EZ55_04249,"benzoate/toluate 1, 2-dioxygenase beta subunit",-1.968027896,5.77e-07,EZ55_04249
EZ55,EZ55_04248,"benzoate 1, 2-dioxygenase alpha subunit",-1.944198965,2.35e-07,EZ55_04248
EZ55,EZ55_01060,flagellin,-1.924571588,1.15e-09,EZ55_01060
EZ55,EZ55_04247,integrase-like protein,-1.921042722,3.42e-06,EZ55_04247
EZ55,EZ55_00161,uncharacterized protein DUF3300,-1.875143418,4.19e-05,EZ55_00161
EZ55,EZ55_04246,hypothetical protein,-1.827140457,2.22e-06,EZ55_04246
EZ55,EZ55_04098,TonB-dependent receptor,-1.823151756,9.15e-05,EZ55_04098
EZ55,EZ55_03446,hypothetical protein,-1.811766476,3.68e-06,EZ55_03446
EZ55,EZ55_04251,"1, 2-dihydroxycyclohexa-3, 5-diene-1-carboxylate dehydrogenase",-1.805827238,5.84e-06,EZ55_04251
EZ55,EZ55_03399,phage shock protein C (PspC) family protein,-1.776083393,5.12e-08,EZ55_03399
EZ55,EZ55_01825,hypothetical protein,-1.771362591,1.46e-06,EZ55_01825
EZ55,EZ55_04240,hypothetical protein,-1.670375546,7.01e-12,EZ55_04240
EZ55,EZ55_03447,uncharacterized membrane protein YiaA,-1.656727236,0.001026657,EZ55_03447
EZ55,EZ55_03097,branched-subunit amino acid transport protein,-1.646686262,0.00045065,EZ55_03097
EZ55,EZ55_02876,betaine aldehyde dehydrogenase,-1.64259073,0.000207623,EZ55_02876
EZ55,EZ55_02632,hypothetical protein,-1.603439743,0.000262984,EZ55_02632
EZ55,EZ55_01932,glutamate-5-semialdehyde dehydrogenase,-1.59513544,3.2e-05,EZ55_01932
EZ55,EZ55_04099,beta-glucosidase,-1.569112487,5.07e-06,EZ55_04099
EZ55,EZ55_04250,"benzoate/toluate 1, 2-dioxygenase reductase subunit",-1.568636956,1.19e-06,EZ55_04250
