symbol,product,logFC,PValue,locus_tag
EZ55_02348,methionine synthase (B12-independent),-3.143109788,8.25e-09,EZ55_02348
EZ55_02347,uncharacterized protein DUF1852,-3.01438847,1.87e-07,EZ55_02347
EZ55_03523,hypothetical protein,-2.73663932,5.71e-06,EZ55_03523
EZ55_03398,hypothetical protein,-2.32039127,4.42e-14,EZ55_03398
EZ55_02984,iron complex outermembrane receptor protein,-2.298803273,2.51e-09,EZ55_02984
EZ55_02876,betaine aldehyde dehydrogenase,-2.191989651,1.99e-07,EZ55_02876
EZ55_00549,antitoxin YefM,-2.191174289,1.5600000000000002e-21,EZ55_00549
EZ55_02634,hypothetical protein,-2.18752285,4.87e-06,EZ55_02634
EZ55_03008,hypothetical protein,-2.154944807,2.42e-10,EZ55_03008
EZ55_02884,hypothetical protein,-2.149484263,1.74e-07,EZ55_02884
EZ55_01815,alkyl hydroperoxide reductase subunit F,-2.101904904,1.03e-06,EZ55_01815
EZ55_01512,hypothetical protein,-2.101857319,3.5599999999999996e-23,
EZ55_01508,alkylhydroperoxidase family enzyme,-2.017171671,6.15e-09,EZ55_01508
EZ55_04247,integrase-like protein,-2.01112282,1.7e-07,EZ55_04247
EZ55_03165,2-methylcitrate synthase,-1.933048919,6.57e-08,EZ55_03165
EZ55_03276,HxlR family transcriptional regulator,-1.923514506,4.48e-08,
EZ55_04246,hypothetical protein,-1.913975032,7.89e-08,EZ55_04246
EZ55_02569,poly(hydroxyalkanoate) granule associated protein,-1.891005623,5.03e-11,EZ55_02569
EZ55_01930,SSS family solute:Na+ symporter,-1.885117035,7.89e-10,EZ55_01930
EZ55_00161,uncharacterized protein DUF3300,-1.874954157,8.05e-06,EZ55_00161
EZ55_02490,hypothetical protein,-1.860632015,2.64e-12,EZ55_02490
EZ55_03852,uncharacterized protein DUF2796,-1.832039166,4.71e-07,EZ55_03852
EZ55_00751,transposase,-1.81658842,2.67e-13,EZ55_00751
EZ55_00887,transposase,-1.794011902,5.63e-10,
EZ55_00020,hypothetical protein,-1.792223191,2.77e-10,EZ55_00020
EZ55_00528,Rof transcriptional antiterminator,-1.781706144,1.46e-19,EZ55_00528
EZ55_01061,flagellin,-1.752363468,1.4e-15,EZ55_01061
EZ55_03522,catalase,-1.742054435,0.000129584,EZ55_03522
EZ55_00551,hypothetical protein,-1.720590795,1.37e-13,EZ55_00551
EZ55_02878,hypothetical protein,-1.709360177,1.5e-10,EZ55_02878
EZ55_01932,glutamate-5-semialdehyde dehydrogenase,-1.697311321,1.19e-06,EZ55_01932
EZ55_00433,catalase,-1.681054891,6.52e-05,EZ55_00433
EZ55_03164,methylisocitrate lyase,-1.680894434,2.82e-07,EZ55_03164
EZ55_01509,transposase,-1.67972831,2.49e-17,EZ55_01509
EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-1.676156901,6.02e-07,EZ55_01814
