symbol,product,logFC,PValue
EZ55_02348,methionine synthase (B12-independent),-3.143109788,8.25E-09
EZ55_02347,uncharacterized protein DUF1852,-3.01438847,1.87E-07
EZ55_03523,hypothetical protein,-2.73663932,5.71E-06
EZ55_03398,hypothetical protein,-2.32039127,4.42E-14
EZ55_02984,iron complex outermembrane receptor protein,-2.298803273,2.51E-09
EZ55_02876,betaine aldehyde dehydrogenase,-2.191989651,1.99E-07
EZ55_00549,antitoxin YefM,-2.191174289,1.56E-21
EZ55_02634,hypothetical protein,-2.18752285,4.87E-06
EZ55_03008,hypothetical protein,-2.154944807,2.42E-10
EZ55_02884,hypothetical protein,-2.149484263,1.74E-07
EZ55_01815,alkyl hydroperoxide reductase subunit F,-2.101904904,1.03E-06
EZ55_01512,hypothetical protein,-2.101857319,3.56E-23
EZ55_01508,alkylhydroperoxidase family enzyme,-2.017171671,6.15E-09
EZ55_04247,integrase-like protein,-2.01112282,1.70E-07
EZ55_03165,2-methylcitrate synthase,-1.933048919,6.57E-08
EZ55_03276,HxlR family transcriptional regulator,-1.923514506,4.48E-08
EZ55_04246,hypothetical protein,-1.913975032,7.89E-08
EZ55_02569,poly(hydroxyalkanoate) granule associated protein,-1.891005623,5.03E-11
EZ55_01930,SSS family solute:Na+ symporter,-1.885117035,7.89E-10
EZ55_00161,uncharacterized protein DUF3300,-1.874954157,8.05E-06
EZ55_02490,hypothetical protein,-1.860632015,2.64E-12
EZ55_03852,uncharacterized protein DUF2796,-1.832039166,4.71E-07
EZ55_00751,transposase,-1.81658842,2.67E-13
EZ55_00887,transposase,-1.794011902,5.63E-10
EZ55_00020,hypothetical protein,-1.792223191,2.77E-10
EZ55_00528,Rof transcriptional antiterminator,-1.781706144,1.46E-19
EZ55_01061,flagellin,-1.752363468,1.40E-15
EZ55_03522,catalase,-1.742054435,0.000129584
EZ55_00551,hypothetical protein,-1.720590795,1.37E-13
EZ55_02878,hypothetical protein,-1.709360177,1.50E-10
EZ55_01932,glutamate-5-semialdehyde dehydrogenase,-1.697311321,1.19E-06
EZ55_00433,catalase,-1.681054891,6.52E-05
EZ55_03164,methylisocitrate lyase,-1.680894434,2.82E-07
EZ55_01509,transposase,-1.67972831,2.49E-17
EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-1.676156901,6.02E-07
