symbol,product,logFC,PValue
EZ55_00798,spondin N,-2.381842083,7.15E-06
EZ55_03376,EF hand domain-containing protein,-2.330735713,8.78E-07
EZ55_02634,hypothetical protein,-2.287847221,2.17E-06
EZ55_02418,osmotically-inducible protein OsmY,-2.28453913,6.26E-08
EZ55_01910,hypothetical protein,-2.237431574,9.27E-08
EZ55_03519,subtilisin family serine protease,-2.21090942,1.57E-05
EZ55_02390,hypothetical protein,-2.207267963,5.05E-08
EZ55_02919,protease I,-2.143635439,1.61E-06
EZ55_00872,Ohr subfamily peroxiredoxin,-2.117147741,2.80E-05
EZ55_02591,EF hand domain-containing protein,-2.070132765,4.12E-07
EZ55_02389,uncharacterized membrane protein YtjA (UPF0391,-1.998937983,9.40E-08
EZ55_03363,opacity protein-like surface antigen,-1.993637192,1.50E-05
EZ55_02383,hypothetical protein,-1.991369141,1.17E-07
EZ55_01790,predicted small secreted protein,-1.985644395,1.26E-07
EZ55_00109,alkylation response protein AidB-like acyl-CoA,-1.957533007,1.06E-05
EZ55_01465,starvation-inducible DNA-binding protein,-1.926682797,2.06E-07
EZ55_02422,galactosyltransferase-like protein,-1.899401575,5.43E-06
EZ55_03194,FHS family L-fucose permease-like MFS,-1.815376027,2.67E-06
EZ55_03365,uncharacterized membrane protein YdjX,-1.790283012,9.83E-06
EZ55_00751,transposase,-1.733977424,1.98E-12
EZ55_03865,uncharacterized protein YjbJ (UPF0337 family),-1.725546973,5.25E-07
EZ55_02918,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,-1.723319648,4.27E-06
EZ55_01922,hemerythrin HHE cation binding domain-containing,-1.709157355,2.95E-05
EZ55_03988,succinate-semialdehyde,-1.656175572,1.32E-05
EZ55_02905,hypothetical protein,-1.650029923,0.001105953
EZ55_03120,S-(hydroxymethyl)glutathione,-1.608585147,3.35E-07
EZ55_01444,general stress protein 26,-1.605843027,3.54E-06
EZ55_03366,endonuclease/exonuclease/phosphatase family,-1.602191722,0.000138458
EZ55_01791,mechanosensitive ion channel-like protein,-1.602000886,2.04E-05
EZ55_02633,hypothetical protein,-1.59801838,5.89E-05
EZ55_03462,sterol desaturase/sphingolipid hydroxylase (fatty,-1.596305919,0.000309708
EZ55_03762,fructokinase,-1.594738566,3.01E-05
EZ55_01928,hypothetical protein,-1.589595728,5.87E-06
EZ55_00909,fungalysin metallopeptidase (M36),-1.587266868,0.000263164
EZ55_03095,osmotically inducible protein OsmC,-1.577069835,5.31E-05
EZ55_00799,DNA-binding response OmpR family regulator,-1.538835393,0.000441452
EZ55_03015,GntR family transcriptional regulator,-1.536717363,5.96E-12
EZ55_03276,HxlR family transcriptional regulator,-1.507854769,8.42E-06
EZ55_01828,uncharacterized protein DUF547,-1.500377359,0.001172028
EZ55_02414,transposase,-1.490756648,2.54E-09
EZ55_01829,putative thiamine transport system,-1.480071274,0.00077065
EZ55_02906,hypothetical protein,-1.478240137,0.001308015
EZ55_00906,hypothetical protein,-1.470433607,4.53E-05
EZ55_02598,hypothetical protein,-1.440361936,0.001412963
EZ55_02415,hypothetical protein,-1.435848569,1.24E-05
EZ55_03393,phosphoadenylylsulfate reductase (thioredoxin),-1.422200907,0.000151905
EZ55_04341,DUF305 family protein family protein,-1.413369092,9.01E-06
EZ55_02385,hypothetical protein,-1.408861957,4.50E-07
EZ55_01268,uncharacterized protein DUF3379,-1.403459646,0.000180702
EZ55_03518,hypothetical protein,-1.397552571,0.003379415
EZ55_04083,hypothetical protein,-1.376298735,0.000408033
EZ55_03512,serine protease AprX,-1.359488035,0.002307603
EZ55_00876,group II intron reverse transcriptase/maturase,-1.331751268,2.16E-13
EZ55_00783,glycosyltransferase involved in cell wall,-1.328189048,0.001869008
EZ55_02920,hypothetical protein,-1.310954755,0.000383146
EZ55_01827,pyruvate/2-oxoglutarate dehydrogenase complex,-1.306436486,0.004591116
EZ55_02384,hypothetical protein,-1.302391684,0.000165432
EZ55_03328,hypothetical protein,-1.277672266,0.009637068
EZ55_01830,putative thiamine transport system permease,-1.273922662,0.000102275
EZ55_02312,sulfoxide reductase catalytic subunit YedY,-1.262171686,0.003620699
EZ55_02632,hypothetical protein,-1.258095455,0.001082192
EZ55_01772,3-hydroxyacyl-CoA dehydrogenase,-1.243799157,3.92E-06
EZ55_00390,nitrogen regulatory protein P-II family,-1.241546165,0.008020124
EZ55_03243,uncharacterized protein DUF4331,-1.237455897,0.000167945
EZ55_04082,hypothetical protein,-1.234705524,4.83E-06
EZ55_03278,peroxiredoxin,-1.233368752,1.50E-05
EZ55_03394,sulfite reductase (NADPH) beta subunit,-1.232524702,0.000399578
EZ55_03097,branched-subunit amino acid transport protein,-1.231600571,0.002649919
EZ55_02279,NAD(P)-dependent dehydrogenase (short-subunit,-1.220147902,7.75E-05
EZ55_00060,lipid A 3-O-deacylase PagL,-1.207727483,0.000132073
EZ55_01508,alkylhydroperoxidase family enzyme,-1.207025303,0.000185139
EZ55_01225,iron complex outermembrane receptor protein,-1.197895312,0.000965348
EZ55_00778,heme oxygenase-like protein,-1.180832952,0.003811707
EZ55_03096,peptide-methionine (S)-S-oxide reductase,-1.178796506,0.004248698
EZ55_00215,homodimeric glycerol 3-phosphate dehydrogenase,-1.172722371,0.010404137
EZ55_01509,transposase,-1.170932575,6.48E-10
EZ55_00777,short-subunit dehydrogenase,-1.16403827,0.001838993
EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,-1.156417976,0.00873461
EZ55_00506,starvation-inducible DNA-binding protein,-1.155569719,1.85E-05
EZ55_03092,Cu-Zn family superoxide dismutase,-1.15458955,3.05E-06
EZ55_01269,RNA polymerase RpoE-like sigma-24 subunit,-1.146415873,0.000390026
EZ55_00391,ammonium transporter,-1.145051349,0.00171201
EZ55_03277,modulator of drug activity B,-1.142770695,0.00013594
EZ55_00871,DNA-binding MarR family transcriptional,-1.136969457,1.96E-05
EZ55_01826,outer membrane receptor protein involved in Fe,-1.136826004,0.004067153
EZ55_00765,thiol:disulfide interchange protein DsbC,-1.134818335,3.34E-05
EZ55_02174,protein required for attachment to host cells,-1.123275559,5.90E-05
EZ55_01890,DoxX-like protein,-1.119301811,0.007784753
