species,symbol,product,logFC,PValue,resolved_locus_tag,resolution_method
CC9311,sync_2538,tRNA-Ile_1,3.427424124,0.000614461,,unresolved
CC9311,sync_0554,tRNA-Ile_2,3.15422916,0.00085349,,unresolved
CC9311,sync_2758,hypothetical protein_sync_2758,-1.970960599,0.001254599,sync_2758,locus_tag:symbol
CC9311,sync_2793,fatty acid desaturase,-2.246378341,0.004194161,sync_2793,locus_tag:symbol
CC9311,sync_1050,hypothetical protein_sync_1050,-1.384301074,0.005139652,sync_1050,locus_tag:symbol
CC9311,sync_1121,hypothetical protein_sync_1121,-1.618597605,0.006341106,sync_1121,locus_tag:symbol
CC9311,sync_1814,hypothetical protein_sync_1814,-1.130692592,0.010073368,sync_1814,locus_tag:symbol
CC9311,sync_2757,transcriptional regulator_1,-1.409774131,0.010712751,sync_2757,locus_tag:symbol
CC9311,dnaK-1,chaperone protein dnaK2 (heat shock protein 70-2) (HSP70-2),-1.548272406,0.012794159,sync_1293,tier1:symbol
CC9311,sync_2421,hypothetical protein_sync_2421,1.135952161,0.014851524,sync_2421,locus_tag:symbol
CC9311,sync_2844,tRNA-Val,1.230336991,0.018179458,,unresolved
CC9311,sync_2681,vanadium-dependent bromoperoxidase 2,-1.411505782,0.018852259,sync_2681,locus_tag:symbol
CC9311,sync_2439,possible high light inducible protein-related protein,-1.325959869,0.019379149,sync_2439,locus_tag:symbol
CC9311,sync_2182,hypothetical protein_sync_2182,-1.031614718,0.019572318,sync_2182,locus_tag:symbol
CC9311,sync_2764,transcriptional regulator_2,-1.299939176,0.02605862,sync_2764,locus_tag:symbol
CC9311,petF-2,ferredoxin,-1.133988476,0.026173588,sync_2841,tier1:symbol
CC9311,sync_2304,CAB/ELIP/HLIP family protein,-1.154532075,0.026684008,sync_2304,locus_tag:symbol
CC9311,sync_1494,RNA polymerase sigma-70 factor family protein,1.199247825,0.026850661,sync_1494,locus_tag:symbol
CC9311,sync_0349,"beta-lactamase, putative",-1.305494164,0.028689452,sync_0349,locus_tag:symbol
CC9311,sync_1816,predicted membrane protein,-1.038977998,0.029276544,sync_1816,locus_tag:symbol
CC9311,sync_2238,hypothetical protein_sync_2238,-1.291091664,0.02958979,sync_2238,locus_tag:symbol
CC9311,deaD,superfamily II DNA/RNA helicase,-1.179679685,0.032365974,sync_1051,tier1:symbol
CC9311,sync_1063,hypothetical protein_sync_1063,-1.235808076,0.033477514,sync_1063,locus_tag:symbol
CC9311,sync_0840,hypothetical protein_sync_0840,-1.390747613,0.035271829,sync_0840,locus_tag:symbol
CC9311,sync_0716,hypothetical protein_sync_0716,-1.197923783,0.035662493,sync_0716,locus_tag:symbol
CC9311,sync_2775,small heat shock protein (HSP20) family protein,-1.15679738,0.035836493,sync_2775,locus_tag:symbol
CC9311,sync_0667,possible pilin,-1.455117879,0.039532639,sync_0667,locus_tag:symbol
CC9311,sync_2425,hypothetical protein_sync_2425,-1.094360646,0.041882104,sync_2425,locus_tag:symbol
CC9311,sync_1066,hypothetical protein_sync_1066,-1.28724349,0.045667964,sync_1066,locus_tag:symbol
CC9311,sync_1112,hypothetical protein_sync_1112,-1.009904689,0.046779267,sync_1112,locus_tag:symbol
