gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
dnaN,dnaN,ACZ81_RS00010,ACZ81_00010,Protein Homology,1625,2725,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_012516526.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,ACZ81_00010
recF,recF,ACZ81_RS00015,ACZ81_00015,Protein Homology,2851,3939,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_061438857.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,ACZ81_00015
gyrB,gyrB,ACZ81_RS00020,ACZ81_00020,Protein Homology,3948,6368,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_014977848.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,ACZ81_00020
ACZ81_RS00025,,ACZ81_RS00025,ACZ81_00025,Protein Homology,6540,6983,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,hypothetical protein,WP_039234509.1,,,,,,ACZ81_00025
glyS,glyS,ACZ81_RS00030,ACZ81_00030,Protein Homology,7069,9147,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_061438859.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,ACZ81_00030
glyQ,glyQ,ACZ81_RS00035,ACZ81_00035,Protein Homology,9150,10055,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_014947716.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,ACZ81_00035
ACZ81_RS00040,,ACZ81_RS00040,ACZ81_00040,Protein Homology,10202,10810,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_080986385.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,ACZ81_00040
ACZ81_RS00045,,ACZ81_RS00045,ACZ81_00045,Protein Homology,10923,11384,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977855.1,DUF2489 domain-containing protein,WP_049586362.1,,,,,,ACZ81_00045
yihI,yihI,ACZ81_RS00050,ACZ81_00050,Protein Homology,11404,11907,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_014947719.1,,,,,,ACZ81_00050
ACZ81_RS00055,,ACZ81_RS00055,ACZ81_00055,Protein Homology,12035,12736,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947720.1,class I SAM-dependent methyltransferase,WP_080986387.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,ACZ81_00055
ACZ81_RS00060,,ACZ81_RS00060,ACZ81_00060,Protein Homology,13037,13660,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996768.1,c-type cytochrome,WP_014947721.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,ACZ81_00060
yihA,yihA,ACZ81_RS00065,ACZ81_00065,Protein Homology,13835,14470,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975249.1,ribosome biogenesis GTP-binding protein YihA/YsxC,WP_014975249.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,,ACZ81_00065
polA,polA,ACZ81_RS00070,ACZ81_00070,Protein Homology,14887,17679,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516538.1,DNA polymerase I,WP_061438861.1,"GO:0006261,GO:0003676,GO:0003677,GO:0003887,GO:0008408",,"nucleic acid binding|0003676||IEA,DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA-templated DNA replication|0006261||IEA,,ACZ81_00070
elbB,elbB,ACZ81_RS00075,ACZ81_00075,Protein Homology,18101,18754,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975251.1,isoprenoid biosynthesis glyoxalase ElbB,WP_061438863.1,,,,,,ACZ81_00075
ACZ81_RS00080,,ACZ81_RS00080,ACZ81_00080,Protein Homology,19020,20471,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516540.1,TrkH family potassium uptake protein,WP_014947725.1,"GO:0015379,GO:0016020",membrane|0016020||IEA,potassium:chloride symporter activity|0015379||IEA,,,ACZ81_00080
trkA,trkA,ACZ81_RS00085,ACZ81_00085,Protein Homology,20587,21966,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982135.1,Trk system potassium transporter TrkA,WP_014947726.1,"GO:0006813,GO:0015079,GO:0016020",membrane|0016020||IEA,potassium ion transmembrane transporter activity|0015079||IEA,potassium ion transport|0006813||IEA,,ACZ81_00085
rsmB,rsmB,ACZ81_RS00090,ACZ81_00090,Protein Homology,22031,23350,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975252.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_061438869.1,"GO:0001510,GO:0006355,GO:0006364,GO:0003723,GO:0008649",,"RNA binding|0003723||IEA,rRNA methyltransferase activity|0008649||IEA","RNA methylation|0001510||IEA,regulation of DNA-templated transcription|0006355||IEA,rRNA processing|0006364||IEA",,ACZ81_00090
fmt,fmt,ACZ81_RS00095,ACZ81_00095,Protein Homology,23353,24303,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947728.1,methionyl-tRNA formyltransferase,WP_061438871.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,,ACZ81_00095
def,def,ACZ81_RS00100,ACZ81_00100,Protein Homology,24312,24821,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982132.1,peptide deformylase,WP_014947729.1,"GO:0036211,GO:0042586",,peptide deformylase activity|0042586||IEA,protein modification process|0036211||IEA,,ACZ81_00100
ACZ81_RS00105,,ACZ81_RS00105,ACZ81_00105,Protein Homology,25038,26111,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516545.1,LysM peptidoglycan-binding domain-containing protein,WP_061486884.1,GO:0097367,,carbohydrate derivative binding|0097367||IEA,,,ACZ81_00105
dprA,dprA,ACZ81_RS00110,ACZ81_00110,Protein Homology,26151,27260,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947731.1,DNA-processing protein DprA,WP_014975255.1,GO:0009294,,,DNA-mediated transformation|0009294||IEA,,ACZ81_00110
ACZ81_RS00115,,ACZ81_RS00115,ACZ81_00115,Protein Homology,27262,27738,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007107314.1,DUF494 family protein,WP_014947732.1,,,,,,ACZ81_00115
