uniprot_id	locus_tag	product	PMTid	P9313name
Q7V9E7	AKG35_RS00005	DNA polymerase III subunit beta	PMT_0001	P9313_00001
Q7V9E6	AKG35_RS00010	hypothetical protein	PMT_0002	P9313_00011
Q7V9E5	AKG35_RS00015	phosphoribosylformylglycinamidine synthase subunit PurL	PMT_0003	P9313_00021
Q7TV87	AKG35_RS00020	amidophosphoribosyltransferase	PMT_0004	P9313_00031
Q7V9E4	AKG35_RS00025	DNA topoisomerase 4 subunit A	PMT_0005	P9313_00041
Q7V9E3	AKG35_RS00030	hypothetical protein	PMT_0006	P9313_00051
Q7V9E2	AKG35_RS00035	tRNA epoxyqueuosine(34) reductase QueG	PMT_0007	P9313_00061
Q7V9E1	AKG35_RS00040	HpsJ family protein	PMT_0008	P9313_00071
Q7V9E0	AKG35_RS00045	DUF502 domain-containing protein	PMT_0009	P9313_00081
Q7V9D9	AKG35_RS00050	transcription antitermination factor NusB	PMT_0010	P9313_00091
Q7V9D8	AKG35_RS00055	signal recognition particle-docking protein FtsY	PMT_0011	P9313_00101
Q7V9D7	AKG35_RS00060	PP2C family protein-serine/threonine phosphatase	PMT_0012	P9313_00111
Q7TV86	AKG35_RS00065	argininosuccinate lyase	PMT_0013	P9313_00121
Q7V9D6	AKG35_RS00070	RNA-binding protein	PMT_0014	P9313_00131
Q7V9D5	AKG35_RS00075	tRNA dihydrouridine(20/20a) synthase DusA	PMT_0015	P9313_00141
Q7V9D4	AKG35_RS00080	peptide-methionine (R)-S-oxide reductase MsrB	PMT_0016	P9313_00151
Q7V9D3	AKG35_RS00085	NAD(P)/FAD-dependent oxidoreductase	PMT_0017	P9313_00161
Q7V9D2	AKG35_RS00090	type II secretion system F family protein	PMT_0018	P9313_00171
Q7V9D1	AKG35_RS00095	type IV pilus twitching motility protein PilT	PMT_0019	P9313_00181
Q7V9D0	AKG35_RS00100	GspE/PulE family protein	PMT_0020	P9313_00191
Q7V9C9	AKG35_RS00105	nucleotide exchange factor GrpE	PMT_0021	P9313_00201
Q7V9C8	AKG35_RS00110	molecular chaperone DnaJ	PMT_0022	P9313_00211
Q7V9C7	AKG35_RS00115	sulfurtransferase TusA family protein	PMT_0023	P9313_00221
Q7V9C6	AKG35_RS00120	ribosome small subunit-dependent GTPase A	PMT_0024	P9313_00231
Q7V9C5	AKG35_RS00125	YbaB/EbfC family nucleoid-associated protein	PMT_0025	P9313_00241
Q7V9C4	AKG35_RS00130	UDP-N-acetylmuramate dehydrogenase	PMT_0026	P9313_00251
Q7V9C3	AKG35_RS00135	UDP-N-acetylmuramate--L-alanine ligase	PMT_0027	P9313_00261
Q7V9C2	AKG35_RS00140	type I glyceraldehyde-3-phosphate dehydrogenase	PMT_0028	P9313_00271
Q7V9C1	AKG35_RS00145	thiamine-phosphate kinase	PMT_0029	P9313_00281
Q7V9C0	AKG35_RS00150	peptidylprolyl isomerase	PMT_0030	P9313_00291
Q7V9B9	AKG35_RS00155	elongation factor P	PMT_0031	P9313_00301
Q7TV85	AKG35_RS00160	acetyl-CoA carboxylase biotin carboxyl carrier protein	PMT_0032	P9313_00311
Q7V9B8	AKG35_RS00165	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	PMT_0033	P9313_00321
B9ERB5	AKG35_RS00170	hypothetical protein	NA	NA
