seqid,gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,locus_tag,ec_numbers
NZ_CP139300.1,dnaA,dnaA,SOI86_RS00005,Protein Homology,80,1474,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007383.1,chromosomal replication initiator protein DnaA,WP_320681595.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",SOI86_RS00005,
NZ_CP139300.1,SOI86_RS00010,,SOI86_RS00010,Protein Homology,1469,2704,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818070.1,glutathione S-transferase N-terminal domain-containing protein,WP_320681596.1,,,,,SOI86_RS00010,
NZ_CP139300.1,gorA,gorA,SOI86_RS00015,Protein Homology,2757,4121,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862583.1,glutathione-disulfide reductase,WP_320681597.1,"GO:0006749,GO:0045454,GO:0004362,GO:0050660,GO:0050661",,"glutathione-disulfide reductase (NADPH) activity|0004362||IEA,flavin adenine dinucleotide binding|0050660||IEA,NADP binding|0050661||IEA","glutathione metabolic process|0006749||IEA,cell redox homeostasis|0045454||IEA",SOI86_RS00015,1.8.1.7
NZ_CP139300.1,SOI86_RS00020,,SOI86_RS00020,Protein Homology,4124,5203,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007386.1,calcium/sodium antiporter,WP_320681598.1,"GO:0098662,GO:0016020",membrane|0016020||IEA,,inorganic cation transmembrane transport|0098662||IEA,SOI86_RS00020,
NZ_CP139300.1,pyrC,pyrC,SOI86_RS00025,Protein Homology,5322,6371,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007387.1,dihydroorotase,WP_320681599.1,"GO:0019856,GO:0004151",,dihydroorotase activity|0004151||IEA,pyrimidine nucleobase biosynthetic process|0019856||IEA,SOI86_RS00025,3.5.2.3
NZ_CP139300.1,SOI86_RS00030,,SOI86_RS00030,Protein Homology,6830,7006,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007503.1,DUF3721 domain-containing protein,WP_320681600.1,,,,,SOI86_RS00030,
NZ_CP139300.1,SOI86_RS00040,,SOI86_RS00040,Protein Homology,7346,7579,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376126.1,NAD(P)H-quinone oxidoreductase subunit L,WP_320681601.1,,,,,SOI86_RS00040,
NZ_CP139300.1,SOI86_RS00045,,SOI86_RS00045,Protein Homology,7584,7904,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819950.1,DUF3007 family protein,WP_320681602.1,,,,,SOI86_RS00045,
NZ_CP139300.1,trpA,trpA,SOI86_RS00050,Protein Homology,7933,8775,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862588.1,tryptophan synthase subunit alpha,WP_320681603.1,"GO:0000162,GO:0004834",,tryptophan synthase activity|0004834||IEA,tryptophan biosynthetic process|0000162||IEA,SOI86_RS00050,4.2.1.20
NZ_CP139300.1,SOI86_RS00055,,SOI86_RS00055,Protein Homology,8856,9212,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862589.1,AbrB family transcriptional regulator,WP_320681604.1,,,,,SOI86_RS00055,
NZ_CP139300.1,SOI86_RS00060,,SOI86_RS00060,Protein Homology,9313,9582,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862590.1,YciI family protein,WP_320681605.1,,,,,SOI86_RS00060,
NZ_CP139300.1,SOI86_RS00065,,SOI86_RS00065,Protein Homology,9813,10133,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818079.1,hypothetical protein,WP_320681606.1,,,,,SOI86_RS00065,
NZ_CP139300.1,SOI86_RS00070,,SOI86_RS00070,Protein Homology,10134,10502,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818080.1,YkvA family protein,WP_320681607.1,GO:0016020,membrane|0016020||IEA,,,SOI86_RS00070,
NZ_CP139300.1,SOI86_RS00075,,SOI86_RS00075,Protein Homology,10540,11463,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862593.1,RNA polymerase sigma factor RpoD/SigA,WP_320681608.1,,,,,SOI86_RS00075,
