gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
dnaN,dnaN,ALTBGP6_RS00010,EZ55_00002,Protein Homology,1626,2726,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_012516526.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,EZ55_00002
recF,recF,ALTBGP6_RS00015,EZ55_00003,Protein Homology,2852,3940,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_156085674.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,EZ55_00003
gyrB,gyrB,ALTBGP6_RS00020,EZ55_00004,Protein Homology,3949,6369,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_039234384.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,EZ55_00004
ALTBGP6_RS00025,,ALTBGP6_RS00025,EZ55_00005,Protein Homology,6728,7201,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013754804.1,type II toxin-antitoxin system death-on-curing family toxin,WP_156085675.1,"GO:0016301,GO:0090729,GO:0110001",toxin-antitoxin complex|0110001||IEA,"kinase activity|0016301||IEA,toxin activity|0090729||IEA",,,EZ55_00005
ALTBGP6_RS00030,,ALTBGP6_RS00030,EZ55_00006,Protein Homology,7218,8231,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013754803.1,DNA-binding protein,WP_136782395.1,,,,,,EZ55_00006
ALTBGP6_RS00035,,ALTBGP6_RS00035,EZ55_00007,GeneMarkS-2+,8224,8433,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_136782394.1,,,,,,EZ55_00007
ALTBGP6_RS00040,,ALTBGP6_RS00040,EZ55_00008,Protein Homology,8474,9817,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011920080.1,restriction endonuclease subunit S,WP_156085676.1,"GO:0006304,GO:0003677",,DNA binding|0003677||IEA,DNA modification|0006304||IEA,,EZ55_00008
ALTBGP6_RS00045,,ALTBGP6_RS00045,EZ55_00009,Protein Homology,9810,11444,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_016899489.1,HsdM family class I SAM-dependent methyltransferase,WP_136782392.1,"GO:0009307,GO:0003677,GO:0008168,GO:1904047",,"DNA binding|0003677||IEA,methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA",DNA restriction-modification system|0009307||IEA,,EZ55_00009
ALTBGP6_RS00050,,ALTBGP6_RS00050,EZ55_00010,Protein Homology,11478,14591,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_016899488.1,type I restriction endonuclease subunit R,WP_136782391.1,"GO:0009307,GO:0003677,GO:0004386,GO:0005524,GO:0009035,GO:0016887",,"DNA binding|0003677||IEA,helicase activity|0004386||IEA,ATP binding|0005524||IEA,type I site-specific deoxyribonuclease activity|0009035||IEA,ATP hydrolysis activity|0016887||IEA",DNA restriction-modification system|0009307||IEA,,EZ55_00010
ALTBGP6_RS00055,,ALTBGP6_RS00055,EZ55_00011,Protein Homology,14604,14807,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919781.1,helix-turn-helix domain-containing protein,WP_136782390.1,GO:0003677,,DNA binding|0003677||IEA,,,EZ55_00011
