old_locus_tag,locus_tag_new,gene,product,has_primary_tss,antisense_tss_count,internal_tss_count,minus10_element_score,tss_distance_to_cds,resolved_locus_tag,resolution_method
,1047rnK,,,False,0,1,,,,empty
,1188472:1188520,,,False,1,0,,,,empty
,120495:120534,,,False,1,0,,,,empty
,1318281:1318282,,,False,1,0,,,,empty
,1334081:1334248,,,False,0,1,,,,empty
,1357351:1357524,,,False,1,2,,,,empty
,1367540:1367676,,,False,1,0,,,,empty
1397r,PMED4_15431,,,True,0,0,3.612533921,14.0,PMM1979,tier1:locus_tag_new
,1440417:1440698,,,False,0,1,,,,empty
,1533192:1533365,,,False,1,2,,,,empty
,258771:258772,,,False,1,0,,,,empty
,341984:342035,,,False,2,0,,,,empty
,662949:663100,,,False,1,0,,,,empty
,728296:728341,,,False,1,0,,,,empty
,770577:770578,,,False,1,0,,,,empty
,775276:775361,,,False,1,0,,,,empty
,814399:814549,,,False,1,0,,,,empty
,820150:820300,,,False,3,0,,,,empty
,966350:966500,,,False,3,0,,,,empty
,IG0040f,,,True,0,0,3.933879861,33.0,,empty
,IG0057f3-5,,,True,0,0,3.530951357,42.0,,empty
,IG0064r2-4,,,True,1,0,3.898686889,15.0,,empty
,IG0090r2-3,,,True,0,0,4.720043179,0.0,,empty
,IG0346r10,,,True,1,0,3.063111946,19.0,,empty
,IG0346r3-4,,,True,0,0,2.913978297,15.0,,empty
IG0348f10_198,PMED4_03472,,,True,0,0,3.041366904,16.0,,unresolved
,IG0350f2-3,,,False,1,0,,,,empty
,IG0354r3,,,False,1,1,,,,empty
,IG0371f5-6,,,True,0,0,2.48480766,69.0,,empty
,IG0375f18,,,False,1,0,,,,empty
,IG0375r18,,,False,1,0,,,,empty
,IG0380f14-17,,new orf determined by microarrays,False,1,0,,,,empty
,IG0380r37-44,,,False,2,0,,,,empty
,IG0392f2,,,True,0,0,2.417778909,15.0,,empty
,IG0418f,,,False,1,1,,,,empty
,IG0418r17,,,True,0,1,2.875441293,78.0,,empty
,IG0430r0-7,,,True,1,0,4.78707193,69.0,,empty
,IG0642r8,,,False,1,0,,,,empty
,IG0676f16-17,,,True,0,0,3.86685111,96.0,,empty
,IG0676r2,,,False,1,0,,,,empty
IG0676r28-31,PMED4_07131,,,True,0,0,3.86685111,22.0,PMM1856,tier1:locus_tag_new
IG0701r2-7,PMED4_07432,,,True,0,0,2.449614688,17.0,PMM2046,tier1:locus_tag_new
,IG0703f2-7,,,True,0,0,4.78707193,29.0,,empty
,IG0703r7-9,,,True,1,0,3.337999729,15.0,,empty
,IG0704f6,,,True,0,0,3.933879861,33.0,,empty
,IG0704r38,,,False,1,0,,,,empty
,IG0714f13,,,False,0,1,,,,empty
,IG0719f3,,,False,1,0,,,,empty
,IG0730r5-7,,,True,0,0,2.48480766,90.0,,empty
,IG0735f2-3,,,False,0,1,,,,empty
,IG0735r5-6,,,False,1,0,,,,empty
,IG0751f9,,,True,0,0,4.78707193,14.0,,empty
,IG0754r,,,False,1,0,,,,empty
IG0818r4,PMED4_08892,,,True,0,0,4.423464314,23.0,PMM2054,tier1:locus_tag_new
,IG0818r4_535,,,False,1,0,,,,empty
IG0821f4,PMED4_08922,,,True,0,0,4.78707193,26.0,PMM2055,tier1:locus_tag_new
,IG0821f4_539,,,False,1,1,,,,empty
,IG0825r6-7,,,True,0,1,3.337999729,18.0,,empty
,IG0834r,,new orf determined by 5'RACE based on Bjoern's prediction cluster553rev,False,1,0,,,,empty
,IG0875f11-16,,,True,1,0,3.933879861,72.0,,empty
,IG0977r2-4,,,True,0,0,4.78707193,16.0,,empty
,IG1016f5-6,,,False,1,0,,,,empty
,IG1022r,,,True,1,0,4.720043179,3.0,,empty
IG1023r,PMED4_11311,,,True,0,0,3.86685111,17.0,PMM1934,tier1:locus_tag_new
,IG1042r,,,True,0,0,3.86685111,89.0,,empty
,IG1048f,,,True,0,0,4.356435563,17.0,,empty
IG1054f8-13,PMED4_11782,,,True,0,0,2.417778909,73.0,PMM2057,tier1:locus_tag_new
,IG1054r19,,,True,1,0,2.974392112,23.0,,empty
,IG1142r10,,,True,0,0,4.78707193,14.0,,empty
,IG1142r19-25,,,False,1,0,,,,empty
,IG1149f1-3,,,False,1,0,,,,empty
IG1149r,PMED4_12751,,,True,0,0,4.015984759,109.0,PMM1127,tier1:locus_tag_new
,IG1153f,,,True,1,0,3.337999729,22.0,,empty
IG1153r5,PMED4_12832,,,False,1,0,,,PMM2061,tier1:locus_tag_new
,IG1153r5-10,,,False,1,0,,,,empty
,IG1174r1,,,True,0,0,3.270970978,1.0,,empty
,IG1389r2,,new orf determined by phage and P microarray,False,1,0,,,,empty
,IG1389r2_914,,,False,1,0,,,,empty
,IG1397f8,,,True,0,0,2.48480766,0.0,,empty
,IG1398f2-3,,new orf determined by microarrays,True,0,0,4.78707193,16.0,,empty
,IG1398f2-3_924,,,False,2,0,,,,empty
,IG1398r3,,,False,1,0,,,,empty
,IG1399f16,,,True,0,0,3.862597209,0.0,,empty
,IG1399f3,,,True,0,0,3.86685111,30.0,,empty
,IG1399r26,,,True,1,0,3.337999729,20.0,,empty
,IG1405f15-17,,,True,0,0,3.862597209,31.0,,empty
,IG1405f20-21,,,False,1,0,,,,empty
,IG1405r20-23,,,False,1,0,,,,empty
,IG1406f14-15,,new orf determined by microarrays,False,1,0,,,,empty
,IG1406f14-15_932,,,False,1,0,,,,empty
,IG1408f2,,,False,2,0,,,,empty
,IG1410f19-22,,,False,1,0,,,,empty
,IG1410r21,,new orf determined by microarrays,False,1,0,,,,empty
,IG1412f10-11,,new orf determined by light and P microarrays,True,0,0,3.862597209,6.0,,empty
,IG1412r33,,,False,1,0,,,,empty
