old_locus_tag,locus_tag_new,gene,product,has_primary_tss,antisense_tss_count,internal_tss_count,minus10_element_score,tss_distance_to_cds
,1047rnK,,,false,0,1,,
,1188472:1188520,,,false,1,0,,
,120495:120534,,,false,1,0,,
,1318281:1318282,,,false,1,0,,
,1334081:1334248,,,false,0,1,,
,1357351:1357524,,,false,1,2,,
,1367540:1367676,,,false,1,0,,
,1440417:1440698,,,false,0,1,,
,1533192:1533365,,,false,1,2,,
,258771:258772,,,false,1,0,,
,341984:342035,,,false,2,0,,
,662949:663100,,,false,1,0,,
,728296:728341,,,false,1,0,,
,770577:770578,,,false,1,0,,
,775276:775361,,,false,1,0,,
,814399:814549,,,false,1,0,,
,820150:820300,,,false,3,0,,
,966350:966500,,,false,3,0,,
,IG0040f,,,true,0,0,3.933879861,33.0
,IG0057f3-5,,,true,0,0,3.530951357,42.0
,IG0064r2-4,,,true,1,0,3.898686889,15.0
,IG0090r2-3,,,true,0,0,4.720043179,0.0
,IG0346r10,,,false,1,0,,
,IG0346r3-4,,,true,0,0,2.913978297,15.0
,IG0350f2-3,,,false,1,0,,
,IG0354r3,,,false,1,1,,
,IG0371f5-6,,,true,0,0,2.48480766,69.0
,IG0375f18,,,false,1,0,,
,IG0375r18,,,false,1,0,,
,IG0380f14-17,,new orf determined by microarrays,false,1,0,,
,IG0380r37-44,,,false,2,0,,
,IG0392f2,,,true,0,0,2.417778909,15.0
,IG0418f,,,false,1,0,,
,IG0418r17,,,true,0,1,2.875441293,78.0
,IG0430r0-7,,,true,1,0,4.78707193,69.0
,IG0642r8,,,false,1,0,,
,IG0676f16-17,,,true,0,0,3.86685111,96.0
,IG0676r2,,,false,1,0,,
,IG0703f2-7,,,true,0,0,4.78707193,29.0
,IG0703r7-9,,,true,1,0,3.337999729,15.0
,IG0704f6,,,true,0,0,3.933879861,33.0
,IG0704r38,,,false,1,0,,
,IG0714f13,,,false,0,1,,
,IG0719f3,,,false,1,0,,
,IG0730r5-7,,,true,0,0,2.48480766,90.0
,IG0735f2-3,,,false,0,1,,
,IG0735r5-6,,,false,1,0,,
,IG0751f9,,,true,0,0,4.78707193,14.0
,IG0754r,,,false,1,0,,
,IG0818r4_535,,,false,1,0,,
,IG0821f4_539,,,false,1,1,,
,IG0825r6-7,,,true,0,1,3.337999729,18.0
,IG0834r,,new orf determined by 5'RACE based on Bjoern's prediction cluster553rev,false,1,0,,
,IG0875f11-16,,,true,1,0,3.933879861,72.0
,IG0977r2-4,,,true,0,0,4.78707193,16.0
,IG1016f5-6,,,false,1,0,,
,IG1022r,,,true,1,0,4.720043179,3.0
,IG1042r,,,true,0,0,3.86685111,89.0
,IG1048f,,,true,0,0,4.356435563,17.0
,IG1054r19,,,true,1,0,2.974392112,23.0
,IG1142r10,,,true,0,0,4.78707193,14.0
,IG1142r19-25,,,false,1,0,,
,IG1149f1-3,,,false,1,0,,
,IG1153f,,,false,1,0,,
,IG1153r5-10,,,false,1,0,,
,IG1174r1,,,true,0,0,3.270970978,1.0
,IG1389r2,,new orf determined by phage and P microarray,false,1,0,,
