old_locus_tag,locus_tag_new,gene,product,has_primary_tss,antisense_tss_count,internal_tss_count,minus10_element_score,tss_distance_to_cds
,P9313_00331,,Conserved hypothetical protein,true,0,0,5.221245144,145.0
,P9313_00551,,,true,1,0,3.984013134,7.0
,P9313_00561,,Conserved hypothetical protein,false,1,0,,
,P9313_00601,,Conserved hypothetical protein,false,1,0,,
,P9313_00711,,Conserved hypothetical protein,true,0,0,4.269887529,76.0
,P9313_01201,,,false,3,0,,
,P9313_01211,,,true,0,1,4.693114357,37.0
,P9313_01271,,,false,1,2,,
,P9313_01701,,Conserved hypothetical protein,false,0,1,,
,P9313_01711,,,false,1,0,,
,P9313_01731,,Conserved hypothetical protein,false,1,0,,
,P9313_01871,,Conserved hypothetical protein,true,0,0,5.063055658,155.0
,P9313_01981,,Conserved hypothetical protein,false,0,1,,
,P9313_02141,,,false,1,0,,
,P9313_02151,,Conserved hypothetical protein,true,1,0,4.887785797,21.0
,P9313_02161,,,true,0,0,2.259634936,20.0
,P9313_02231,,,false,1,0,,
,P9313_02261,,Conserved hypothetical protein,true,0,0,5.201312567,22.0
,P9313_02271,,Conserved hypothetical protein,false,1,1,,
,P9313_02281,,,false,1,0,,
,P9313_02531,,,false,1,0,,
,P9313_02541,,,false,1,0,,
,P9313_02551,,,true,0,0,2.216409015,67.0
,P9313_02851,,,false,1,0,,
,P9313_02931,,Conserved hypothetical protein,true,0,1,3.99540665,52.0
,P9313_02941,,Conserved hypothetical protein,true,0,0,6.159696669,15.0
,P9313_02951,,Conserved hypothetical protein,true,0,0,5.59688702,25.0
,P9313_03011,,Conserved hypothetical protein,false,0,1,,
,P9313_03101,,Conserved hypothetical protein,false,1,0,,
,P9313_03231,,Conserved hypothetical protein,true,0,1,3.777142699,81.0
,P9313_03271,,,false,1,0,,
new ORF determined by 454,P9313_03332,,,true,0,0,5.05611699,17.0
,P9313_03491,,,false,1,0,,
,P9313_03612,P9313_03612,,true,0,0,5.923407699,48.0
,P9313_03751,,Conserved hypothetical protein,false,0,1,,
,P9313_03841,,Conserved hypothetical protein,false,1,0,,
,P9313_04191,,,false,1,0,,
,P9313_04341,,Conserved hypothetical protein,true,0,0,4.006493,12.0
new ORF determined by 454,P9313_04472,new ORF determined by 454,,true,0,0,2.441654142,46.0
,P9313_04491,,,false,0,2,,
,P9313_04501,,Conserved hypothetical protein,true,0,0,5.450595445,13.0
,P9313_04761,,Conserved hypothetical protein,false,1,0,,
,P9313_04991,,,false,1,0,,
,P9313_05011,,,false,0,1,,
,P9313_05021,,Conserved hypothetical protein,false,0,1,,
,P9313_05081,,Conserved hypothetical protein,false,0,1,,
,P9313_05101,,,false,1,0,,
,P9313_05111,,,false,1,0,,
,P9313_05511,,Conserved hypothetical protein,false,1,1,,
,P9313_05641,,Conserved hypothetical protein,false,1,0,,
,P9313_05661,,Conserved hypothetical protein,true,0,1,5.694057398,16.0
new ORF determined by 454,P9313_05672,,,true,1,0,6.159696669,18.0
,P9313_05711,,,false,3,0,,
,P9313_05761,,,false,1,0,,
,P9313_05811,,Conserved hypothetical protein,true,1,0,4.352459465,39.0
,P9313_05861,,,false,1,1,,
,P9313_05891,,,false,1,0,,
,P9313_05921,,,false,1,0,,
