Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,,,,,,,,,,,,,
1::Q7V9Q9_PROMA,29,27,1652.17,0.000169065,2.053216623,Control,Azaserine,Transketolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=tktA PE=3 SV=1,,,,,,,,,,,PP,,
1::ENO_PROMA,19,19,1313.86,0.000985139,3.619529264,Control,Azaserine,Enolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=eno PE=3 SV=1,,,,,,,,,,,Glucolisis/gluconeogénesis,,
1::TPIS_PROMA,6,6,485.06,0.001687366,2.523203607,Control,Azaserine,Triosephosphate isomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=tpiA PE=3 SV=1,,,,,,,,,,,Glucolisis/gluconeogénesis,,
1::RPIA_PROMA,12,12,768.9,0.002199988,1.86275238,Control,Azaserine,Ribose-5-phosphate isomerase A OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rpiA PE=3 SV=1,,,,,,,,,,,PP,,
1::Q7V9S1_PROMA,12,12,574.48,0.004825697,1.952614268,Control,Azaserine,Galactose mutarotase related enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=galM PE=4 SV=1,,,,,,,,,,,,Metab Galactosa,
1::Q7VCA0_PROMA,22,22,1459.36,0.005483607,1.674456163,Control,Azaserine,Glucose-1-phosphate adenylyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glgC PE=3 SV=1,,,,,,,,,,,,Biosint glucógeno,
1::Q7VAY9_PROMA,10,10,474.59,0.006125499,1.7500267,Control,Azaserine,UDP-glucose 4-epimerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=galE PE=3 SV=1,,,,,,,,,,,,Metab Galactosa,
1::TAL_PROMA,14,13,598.39,0.009193926,1.726542559,Control,Azaserine,Transaldolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=tal PE=3 SV=1,,,,,,,,,,,,PP,
1::GLGB_PROMA,20,20,1012.15,0.010381514,1.903838947,Control,Azaserine,"1,4-alpha-glucan branching enzyme GlgB OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glgB PE=3 SV=1",,,,,,,,,,,,Biosint glucógeno,
1::FBSB_PROMA,24,24,1619.9,0.011142543,2.243534672,Control,Azaserine,"D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0840 PE=3 SV=1",,,,,,,,,,,,,Ciclo de calvin (Biosint carbohidr)
1::Q7VD68_PROMA,13,13,627.92,0.01240569,1.789540891,Control,Azaserine,Phosphoglycerate mutase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=gpmB PE=4 SV=1,,,,,,,,,,,,Glucolisis/gluconeogénesis,
1::Q7VC81_PROMA,22,22,1559.8,0.016311878,1.401199088,Control,Azaserine,Phosphoribulokinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=prk PE=3 SV=1,,,,,,,,,,,,Ciclo de calvin (Biosint carbohidr),
1::Q7VEF0_PROMA,7,7,208.45,0.017882324,2.296468914,Control,Azaserine,"GDP-mannose 4,6-dehydratase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=gmd PE=3 SV=1",,,,,,,,,,,,Metabolismo manosa,
1::PGK_PROMA,20,20,1364.92,0.018904738,1.72291721,Control,Azaserine,Phosphoglycerate kinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pgk PE=3 SV=1,,,,,,,,,,,,Glucolisis/gluconeogénesis,
1::Q7VC87_PROMA,20,20,1586.82,0.021244066,1.598559475,Control,Azaserine,"Fructose-1,6-bisphosphate aldolase class II OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=cbbA PE=4 SV=1",,,,,,,,,,,,Glucolisis/gluconeogénesis,
1::G6PI_PROMA,23,21,1119.31,0.022771003,1.491020145,Control,Azaserine,Glucose-6-phosphate isomerase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pgi PE=3 SV=1,,,,,,,,,,,,Glucolisis/gluconeogénesis,
1::Q7VBM7_PROMA,4,4,142,0.026382609,2.095268624,Control,Azaserine,Glucokinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glk PE=3 SV=1,,,,,,,,,,,,Glucolisis/Síntesis de glucógeno,
1::Q7V9R8_PROMA,16,15,678.11,0.035558001,1.707552039,Control,Azaserine,"Alpha-1,4 glucan phosphorylase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glgP PE=3 SV=1",,,,,,,,,,,,Metabolismo carbohidratos,
1::Q7V9R3_PROMA,4,4,139.14,0.045103453,1.915274486,Control,Azaserine,Mannose-1-phosphate guanylyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=manC PE=3 SV=1,,,,,,,,,,,,Metabolismo carbohidratos,
1::Q7VBH0_PROMA,16,16,693.03,0.050294318,1.675633402,Control,Azaserine,Glucose-6-phosphate 1-dehydrogenase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=zwf PE=3 SV=1,,,,,,,,,,,,PP,
