Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description
1::ATP6_PROMA,2,2,98.7,0.001274681,2.286954001,Azaserine,Control,ATP synthase subunit a OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=atpB PE=3 SV=1
1::PSBF_PROMA,2,2,101.99,0.001778957,2.190586308,Azaserine,Control,Cytochrome b559 subunit beta OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=psbF PE=3 SV=1
1::Q7VBQ2_PROMA,2,2,62.34,0.002495431,1.67754997,Azaserine,Control,SAM-dependent methyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1040 PE=4 SV=1
1::DNAJ_PROMA,12,11,494.52,0.002820577,1.888108222,Azaserine,Control,Chaperone protein DnaJ OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=dnaJ PE=3 SV=1
1::RIMM_PROMA,2,2,61.18,0.003480129,2.060240163,Azaserine,Control,Ribosome maturation factor RimM OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=rimM PE=3 SV=1
1::Q7VDU0_PROMA,12,11,545.61,0.003509886,3.372358652,Azaserine,Control,Uncharacterized conserved membrane protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0278 PE=4 SV=1
1::Q7VB33_PROMA,4,4,129.65,0.004162464,1.756230878,Azaserine,Control,Predicted calcineurin family phosphoesterase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1267 PE=4 SV=1
1::Q7VDQ1_PROMA,6,6,215.76,0.004749196,1.562929876,Azaserine,Control,NUDIX/MutT family pyrophosphohydrolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0317 PE=3 SV=1
1::Q7VCU4_PROMA,2,2,52.23,0.005775433,3.051385924,Azaserine,Control,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0646 PE=4 SV=1
1::Q7VCK3_PROMA,8,4,510.28,0.007977477,1.425500925,Azaserine,Control,Porin homolog OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0737 PE=4 SV=1
1::Q7VCL9_PROMA,2,2,74.87,0.011477381,1.753954862,Azaserine,Control,Uncharacterized conserved protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0721 PE=4 SV=1
1::Q7VCV4_PROMA,5,5,179.25,0.011629603,1.352557257,Azaserine,Control,Uncharacterized conserved protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0636 PE=4 SV=1
1::Q7VAR2_PROMA,3,3,109.25,0.013183512,2.110791009,Azaserine,Control,High light inducible protein hli6 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=hli6 PE=4 SV=1
