seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_011138.3,dnaN,dnaN,MADE_RS00010,MADE_1000015,Protein Homology,1659,2759,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_015065833.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,MADE_1000015,2.7.7.7
NC_011138.3,recF,recF,MADE_RS00015,MADE_1000020,Protein Homology,2871,3959,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_041912785.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,MADE_1000020,
NC_011138.3,gyrB,gyrB,MADE_RS00020,MADE_1000025,Protein Homology,3968,6388,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_012516528.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,MADE_1000025,5.6.2.2
NC_011138.3,MADE_RS00025,,MADE_RS00025,MADE_1000030,Protein Homology,6598,7041,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,putative periplasmic lipoprotein,WP_012516529.1,,,,,,MADE_1000030,
NC_011138.3,glyS,glyS,MADE_RS00030,MADE_1000035,Protein Homology,7124,9202,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_012516530.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,MADE_1000035,6.1.1.14
NC_011138.3,glyQ,glyQ,MADE_RS00035,MADE_1000040,Protein Homology,9205,10110,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_012516531.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,MADE_1000040,6.1.1.14
NC_011138.3,MADE_RS00040,,MADE_RS00040,MADE_1000045,Protein Homology,10256,10864,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_012516532.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,MADE_1000045,3.2.2.20
NC_011138.3,MADE_RS00045,,MADE_RS00045,MADE_1000050,Protein Homology,10951,11418,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516533.1,DUF2489 domain-containing protein,WP_012516533.1,,,,,,MADE_1000050,
NC_011138.3,yihI,yihI,MADE_RS00050,MADE_1000055,Protein Homology,11437,11940,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_012516534.1,,,,,,MADE_1000055,
NC_011138.3,MADE_RS00055,,MADE_RS00055,MADE_1000060,Protein Homology,12068,12763,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975248.1,class I SAM-dependent methyltransferase,WP_080663254.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,MADE_1000060,"2.1.-.-,2.1.1.-"
NC_011138.3,MADE_RS00060,,MADE_RS00060,MADE_1000065,Protein Homology,13064,13687,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996768.1,c-type cytochrome,WP_012516536.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,MADE_1000065,
