NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
bacterioferritin_(bfr),WP_014949586.1,P,Inorganic_ion_transport_and_metabolism,9.9%,1.0%,9.9,1.0,3.3074285251922473
TonB-dependent_receptor,WP_014975983.1,P,Inorganic_ion_transport_and_metabolism,9.0%,0.8%,9.0,0.8,3.4918530963296748
"6,7-dimethyl-8-ribityllumazine_synthase_(ribE)",WP_014950088.1,H,Coenzyme_transport_and_metabolism,8.4%,0.5%,8.4,0.5,4.070389327891398
glutamate--ammonia_ligase,WP_014980177.1,E,Amino_acid_transport_and_metabolism,7.9%,1.7%,7.9,1.7,2.2163179069267636
porin_family_protein,WP_014978480.1,Unk,Unk,4.6%,,4.6,,
outer_membrane_protein_assembly_factor_BamA_(bamA),WP_014975852.1,M,Cell_wall/membrane/envelope_biogenesis,3.0%,,3.0,,
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,2.5%,1.2%,2.5,1.2,1.0588936890535685
outer_membrane_channel_protein_TolC_(tolC),WP_014978275.1,M,Cell_wall/membrane/envelope_biogenesis,1.9%,,1.9,,
MotA/TolQ/ExbB_proton_channel_family_protein,WP_014978639.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.8%,0.5%,1.8,0.5,1.84799690655495
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,1.7%,1.4%,1.7,1.4,0.2801079191927355
polysaccharide_export_protein,WP_014950246.1,M,Cell_wall/membrane/envelope_biogenesis,1.3%,,1.3,,
thiol:disulfide_interchange_protein_DsbA/DsbL,WP_014948248.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",1.3%,,1.3,,
outer_membrane_beta-barrel_protein,WP_014947736.1,M,Cell_wall/membrane/envelope_biogenesis,1.1%,,1.1,,
elongation_factor_Tu_(tuf),WP_014980400.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,4.1%,1.1,4.1,-1.898120385980786
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.9%,1.5%,0.9,1.5,-0.7369655941662062
50S_ribosomal_protein_L5_(rplE),WP_012519226.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.9%,2.6%,0.9,2.6,-1.5305147166987798
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.9%,1.6%,0.9,1.6,-0.8300749985576876
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,,0.7,,
50S_ribosomal_protein_L9_(rplI),WP_012519953.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.7%,0.7,0.7,0.0
TIGR04219_family_outer_membrane_beta-barrel_protein,WP_014980295.1,Unk,Unk,0.7%,,0.7,,
DUF839_domain-containing_protein,WP_014979604.1,R,General_function_prediction_only,0.6%,,0.6,,
tRNA_(N6-isopentenyl_adenosine(37)-C2)-methylthiotransferase_MiaB_(miaB),WP_014948994.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,,0.6,,
peptidoglycan-associated_lipoprotein_Pal_(pal),WP_014948870.1,M,Cell_wall/membrane/envelope_biogenesis,0.6%,,0.6,,
aminopeptidase_PepB_(pepB),WP_014980490.1,E,Amino_acid_transport_and_metabolism,0.6%,,0.6,,
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,2.1%,0.5,2.1,-2.070389327891398
ribonuclease_T,WP_014948771.1,L,"Replication,_recombination_and_repair",0.5%,,0.5,,
outer_membrane_protein_assembly_factor_BamE_(bamE),WP_012517879.1,M,Cell_wall/membrane/envelope_biogenesis,0.5%,,0.5,,
superoxide_dismutase_[Fe]_(sodB),WP_014948764.1,P,Inorganic_ion_transport_and_metabolism,0.5%,1.0%,0.5,1.0,-1.0
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.8%,0.5,0.8,-0.6780719051126377
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(dapD)",WP_014948549.1,E,Amino_acid_transport_and_metabolism,,0.6%,,0.6,
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,
30S_ribosomal_protein_S17_(rpsQ),WP_014975444.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.7%,,1.7,
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
30S_ribosomal_protein_S7_(rpsG),WP_014980519.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
30S_ribosomal_protein_S8_(rpsH),WP_012519224.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L1_(rplA),WP_014980521.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L13_(rplM),WP_014948329.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
50S_ribosomal_protein_L16_(rplP),WP_014947979.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L17_(rplQ),WP_014980434.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,
