NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
elongation_factor_Tu,WP_148275229.1,J,"Translation,_ribosomal_structure_and_biogenesis",16.3%,7.7%,16.3,7.7,1.0819416135361763,,unresolved
TonB-dependent_receptor,WP_014950805.1,P,Inorganic_ion_transport_and_metabolism,9.9%,1.6%,9.9,1.6,2.629356620079609,MASE_16265,tier1:NCBI_PGAP_accession
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.1%,0.6%,2.1,0.6,1.8073549220576044,MASE_05220,tier1:NCBI_PGAP_accession
acyl_carrier_protein_(acpP),WP_012518211.1,I,Lipid_transport_and_metabolism,2.0%,,2.0,,,MASE_07915,tier1:NCBI_PGAP_accession
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,1.6%,1.0%,1.6,1.0,0.6780719051126377,MASE_09115,tier1:NCBI_PGAP_accession
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",1.6%,0.8%,1.6,0.8,1.0,MASE_12705,tier1:NCBI_PGAP_accession
DUF839_domain-containing_protein,WP_014949867.1,R,General_function_prediction_only,1.6%,,1.6,,,MASE_11260,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_beta_(atpD),WP_014951449.1,C,Energy_production_and_conversion,1.4%,1.1%,1.4,1.1,0.3479233034203066,MASE_19735,tier1:NCBI_PGAP_accession
MotA/TolQ/ExbB_proton_channel_family_protein,WP_014948703.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.2%,1.3%,1.2,1.3,-0.115477217419936,MASE_05225,tier1:NCBI_PGAP_accession
malate_dehydrogenase_(mdh),WP_014950802.1,C,Energy_production_and_conversion,1.2%,0.7%,1.2,0.7,0.7776075786635522,MASE_16250,tier1:NCBI_PGAP_accession
TonB-dependent_receptor_plug_domain-containing_protein,WP_014948286.1,P!!!P,Inorganic_ion_transport_and_metabolism!!!Inorganic_ion_transport_and_metabolism,1.2%,,1.2,,,MASE_03050,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,,1.1,,,MASE_RS17530,tier1:NCBI_PGAP_accession
succinate_dehydrogenase_iron-sulfur_subunit,WP_012518362.1,C,Energy_production_and_conversion,1.1%,0.6%,1.1,0.6,0.8744691179161412,MASE_09100,tier1:NCBI_PGAP_accession
thioredoxin_TrxA_(trxA),WP_012517074.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",1.0%,,1.0,,,MASE_02040,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,1.0%,0.9%,1.0,0.9,0.15200309344505,MASE_19745,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.9%,2.3%,0.9,2.3,-1.3536369546147005,MASE_16875,tier1:NCBI_PGAP_accession
phasin_family_protein,WP_014949994.1,Unk,Unk,0.7%,,0.7,,,MASE_11930,tier1:NCBI_PGAP_accession
elongation_factor_G,WP_014949028.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.8%,0.7,0.8,-0.192645077942396,MASE_06930,tier1:NCBI_PGAP_accession
succinate--CoA_ligase_subunit_alpha_(sucD),WP_012518366.1,C,Energy_production_and_conversion,0.7%,0.4%,0.7,0.4,0.807354922057604,MASE_09120,tier1:NCBI_PGAP_accession
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,1.1%,0.7,1.1,-0.6520766965796935,MASE_17875,tier1:NCBI_PGAP_accession
NADP-dependent_isocitrate_dehydrogenase,WP_014949329.1,C,Energy_production_and_conversion,0.7%,0.9%,0.7,0.9,-0.3625700793847084,MASE_08500,tier1:NCBI_PGAP_accession
phosphopyruvate_hydratase_(eno),WP_014948502.1,G,Carbohydrate_transport_and_metabolism,0.6%,,0.6,,,MASE_04190,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.7%,0.6,0.7,-0.2223924213364478,MASE_01430,tier1:NCBI_PGAP_accession
flagellin,WP_014948605.1,N,Cell_motility,0.6%,,0.6,,,MASE_04710,tier1:NCBI_PGAP_accession
outer_membrane_channel_protein_TolC_(tolC),WP_014948205.1,M,Cell_wall/membrane/envelope_biogenesis,0.5%,,0.5,,,MASE_02630,tier1:NCBI_PGAP_accession
