NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
TonB-dependent_receptor,WP_049587684.1,P,Inorganic_ion_transport_and_metabolism,13.3%,0.7%,13.3,0.7,4.247927513443586
elongation_factor_Tu_(tuf),WP_014977498.1,J,"Translation,_ribosomal_structure_and_biogenesis",6.9%,4.8%,6.9,4.8,0.5235619560570131
carboxypeptidase_regulatory-like_domain-containing_protein,WP_049586961.1,P,Inorganic_ion_transport_and_metabolism,5.7%,0.6%,5.7,0.6,3.2479275134435857
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.1%,0.5%,2.1,0.5,2.070389327891398
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.9%,1.9%,1.9,1.9,0.0
MotA/TolQ/ExbB_proton_channel_family_protein,WP_049587691.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.8%,0.4%,1.8,0.4,2.169925001442312
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,1.7%,1.2%,1.7,1.2,0.5025003405291834
esterase-like_activity_of_phytase_family_protein,WP_049588550.1,S,Function_unknown,1.6%,,1.6,,
F0F1_ATP_synthase_subunit_beta_(atpD),WP_014951449.1,C,Energy_production_and_conversion,1.5%,0.8%,1.5,0.8,0.9068905956085185
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,1.4%,0.8%,1.4,0.8,0.807354922057604
elongation_factor_G,WP_049588862.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,1.0%,1.1,1.0,0.13750352374993502
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,1.4%,1.1,1.4,-0.3479233034203067
glutamate--ammonia_ligase,WP_014980177.1,E,Amino_acid_transport_and_metabolism,0.9%,0.9%,0.9,0.9,0.0
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,0.9%,0.6%,0.9,0.6,0.5849625007211562
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.8%,1.0%,0.8,1.0,-0.3219280948873623
succinate_dehydrogenase_iron-sulfur_subunit_(sdhB),WP_012518362.1,C,Energy_production_and_conversion,0.8%,0.6%,0.8,0.6,0.415037499278844
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.8%,0.7,0.8,-0.19264507794239608
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,1.9%,0.7,1.9,-1.4405725913859815
pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase_(aceF),WP_049586087.1,C,Energy_production_and_conversion,0.7%,,0.7,,
outer_membrane_channel_protein_TolC_(tolC),WP_049587315.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,,0.7,,
prepilin-type_N-terminal_cleavage/methylation_domain-containing_protein,WP_049586079.1,N!!!W,Cell_motility!!!Extracellular_structures,0.6%,,0.6,,
malate_dehydrogenase_(mdh),WP_014950802.1,C,Energy_production_and_conversion,0.6%,,0.6,,
succinate--CoA_ligase_subunit_alpha_(sucD),WP_012518366.1,C,Energy_production_and_conversion,0.6%,0.4%,0.6,0.4,0.584962500721156
dihydrolipoyl_dehydrogenase_(lpdA),WP_049586089.1,C,Energy_production_and_conversion,0.6%,0.7%,0.6,0.7,-0.22239242133644782
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.9%,0.5,0.9,-0.84799690655495
30S_ribosomal_protein_S17_(rpsQ),WP_014975444.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,1.4%,0.5,1.4,-1.4854268271702418
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,1.3%,0.5,1.3,-1.37851162325373
chaperonin_GroEL_(groL),WP_014980670.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,
thioredoxin_TrxA_(trxA),WP_012517074.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,
aldehyde_dehydrogenase,WP_014950684.1,I,Lipid_transport_and_metabolism,0.5%,,0.5,,
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,1.1%,0.5,1.1,-1.137503523749935
phosphopyruvate_hydratase,WP_049585952.1,G,Carbohydrate_transport_and_metabolism,0.5%,,0.5,,
2-oxoglutarate_dehydrogenase_complex_dihydrolipoyllysine-residue_succinyltransferase_(odhB),WP_014949449.1,C,Energy_production_and_conversion,0.5%,,0.5,,
elongation_factor_Ts_(tsf),WP_049585983.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,
"cytochrome-c_oxidase,_cbb3-type_subunit_II_(ccoO)",WP_014979357.1,C,Energy_production_and_conversion,0.4%,,0.4,,
Na(+)-translocating_NADH-quinone_reductase_subunit_A,WP_049586994.1,C,Energy_production_and_conversion,0.4%,,0.4,,
SapC_family_protein,WP_014950439.1,Unk,Unk,0.4%,,0.4,,
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",0.4%,0.4%,0.4,0.4,0.0
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,1.0%,0.4,1.0,-1.3219280948873622
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,1.0%,0.4,1.0,-1.3219280948873622
acyl_carrier_protein_(acpP),WP_012518211.1,I,Lipid_transport_and_metabolism,0.4%,,0.4,,
bacterioferritin_(bfr),WP_014949586.1,P,Inorganic_ion_transport_and_metabolism,0.4%,,0.4,,
NADP-dependent_isocitrate_dehydrogenase,WP_049586716.1,C,Energy_production_and_conversion,0.4%,0.5%,0.4,0.5,-0.3219280948873623
DUF839_domain-containing_protein,WP_014949867.1,R,General_function_prediction_only,0.4%,,0.4,,
succinate_dehydrogenase_flavoprotein_subunit_(sdhA),WP_014949447.1,C,Energy_production_and_conversion,0.4%,0.6%,0.4,0.6,-0.5849625007211561
glyceraldehyde-3-phosphate_dehydrogenase,WP_049587602.1,G,Carbohydrate_transport_and_metabolism,0.4%,0.4%,0.4,0.4,0.0
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.6%,0.4,0.6,-0.5849625007211561
DNA-directed_RNA_polymerase_subunit_beta'_(rpoC),WP_039229319.1,K,Transcription,0.3%,0.6%,0.3,0.6,-1.0
FMN-dependent_L-lactate_dehydrogenase_LldD_(lldD),WP_015068029.1,C!!!I!!!R,Energy_production_and_conversion!!!Lipid_transport_and_metabolism!!!General_function_prediction_only,0.3%,,0.3,,
phosphoglycerate_dehydrogenase_(serA),WP_049586098.1,H,Coenzyme_transport_and_metabolism,0.3%,,0.3,,
FKBP-type_peptidyl-prolyl_cis-trans_isomerase_(fkpA),WP_014951335.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.3%,,0.3,,
30S_ribosomal_protein_S14_(rpsN),WP_014950910.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,,0.3,,
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.9%,,1.9,
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,
30S_ribosomal_protein_S20_(rpsT),WP_014950134.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S21_(rpsU),WP_012517258.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.9%,,1.9,
30S_ribosomal_protein_S9_(rpsI),WP_014948330.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,
50S_ribosomal_protein_L1_(rplA),WP_014980521.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L13_(rplM),WP_014948329.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L15_(rplO),WP_049586735.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,
50S_ribosomal_protein_L16_(rplP),WP_014997065.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
50S_ribosomal_protein_L17_(rplQ),WP_012519212.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L19_(rplS),WP_024015986.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,
50S_ribosomal_protein_L2_(rplB),WP_014997064.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L21_(rplU),WP_012517169.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.0%,,2.0,
50S_ribosomal_protein_L23_(rplW),WP_012516959.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L24_(rplX),WP_014950912.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014976150.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
50S_ribosomal_protein_L3_(rplC),WP_014947975.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L33_(rpmG),WP_012516577.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
citrate_synthase,WP_014949444.1,C,Energy_production_and_conversion,,0.5%,,0.5,
cold-shock_protein,WP_012519905.1,K,Transcription,,1.3%,,1.3,
DNA-directed_RNA_polymerase_subunit_alpha_(rpoA),WP_039226687.1,K,Transcription,,0.4%,,0.4,
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014977618.1,K,Transcription,,0.5%,,0.5,
molecular_chaperone_DnaK_(dnaK),WP_014948972.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",,0.5%,,0.5,
NADH:ubiquinone_reductase_(Na(+)-transporting)_subunit_F,WP_014950793.1,C,Energy_production_and_conversion,,0.4%,,0.4,
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,0.6%,,0.6,
phosphoenolpyruvate_synthase_(ppsA),WP_049586697.1,G,Carbohydrate_transport_and_metabolism,,0.4%,,0.4,
transcription_termination/antitermination_protein_NusG_(nusG),WP_014951044.1,K,Transcription,,0.3%,,0.3,
translational_GTPase_TypA_(typA),WP_049588246.1,T,Signal_transduction_mechanisms,,0.4%,,0.4,
trigger_factor,WP_014950148.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",,0.6%,,0.6,
