NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
TonB-dependent_receptor,WP_014977470.1,P,Inorganic_ion_transport_and_metabolism,14.0%,5.3%,14.0,5.3,1.4013625623817674,ALTBGP6_03431,tier1:NCBI_PGAP_accession
elongation_factor_Tu_(tuf),WP_014977498.1,J,"Translation,_ribosomal_structure_and_biogenesis",5.7%,2.7%,5.7,2.7,1.078002512001273,ALTBGP6_03469,tier1:NCBI_PGAP_accession
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.8%,0.6%,2.8,0.6,2.222392421336448,ALTBGP6_01164,tier1:NCBI_PGAP_accession
porin_family_protein,WP_014948444.1,Unk,Unk,2.7%,0.4%,2.7,0.4,2.7548875021634687,ALTBGP6_00891,tier1:NCBI_PGAP_accession
acyl_carrier_protein_(acpP),WP_012518211.1,I,Lipid_transport_and_metabolism,2.0%,,2.0,,,ALTBGP6_01738,tier1:NCBI_PGAP_accession
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,1.9%,0.7%,1.9,0.7,1.4405725913859817,ALTBGP6_01995,tier1:NCBI_PGAP_accession
MotA/TolQ/ExbB_proton_channel_family_protein,WP_156078053.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.9%,,1.9,,,ALTBGP6_01165,tier1:NCBI_PGAP_accession
DUF839_domain-containing_protein,WP_156078507.1,R,General_function_prediction_only,1.7%,,1.7,,,ALTBGP6_02414,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_beta_(atpD),WP_014951449.1,C,Energy_production_and_conversion,1.5%,0.7%,1.5,0.7,1.0995356735509143,ALTBGP6_04051,tier1:NCBI_PGAP_accession
outer_membrane_channel_protein_TolC_(tolC),WP_156077872.1,M,Cell_wall/membrane/envelope_biogenesis,1.4%,,1.4,,,ALTBGP6_00605,tier1:NCBI_PGAP_accession
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",1.4%,0.6%,1.4,0.6,1.222392421336448,ALTBGP6_02726,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.2%,,1.2,,,ALTBGP6_03671,tier1:NCBI_PGAP_accession
succinate--CoA_ligase_subunit_alpha_(sucD),WP_012518366.1,C,Energy_production_and_conversion,1.1%,0.6%,1.1,0.6,0.8744691179161412,ALTBGP6_01996,tier1:NCBI_PGAP_accession
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,1.1%,1.7%,1.1,1.7,-0.6280312226130421,ALTBGP6_03739,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.0%,2.2%,1.0,2.2,-1.137503523749935,ALTBGP6_03538,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,1.0%,0.5%,1.0,0.5,1.0,ALTBGP6_04053,tier1:NCBI_PGAP_accession
elongation_factor_G,WP_014949028.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.0%,0.5%,1.0,0.5,1.0,ALTBGP6_01537,tier1:NCBI_PGAP_accession
succinate_dehydrogenase_iron-sulfur_subunit_(sdhB),WP_156078342.1,C,Energy_production_and_conversion,0.8%,0.7%,0.8,0.7,0.1926450779423961,ALTBGP6_01992,tier1:NCBI_PGAP_accession
bacterioferritin_(bfr),WP_014949586.1,P,Inorganic_ion_transport_and_metabolism,0.8%,0.9%,0.8,0.9,-0.1699250014423122,ALTBGP6_02106,tier1:NCBI_PGAP_accession
thioredoxin_TrxA_(trxA),WP_012517074.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.8%,,0.8,,,ALTBGP6_00488,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.8%,1.3%,0.8,1.3,-0.7004397181410921,ALTBGP6_00055,tier1:NCBI_PGAP_accession
malate_dehydrogenase_(mdh),WP_014950802.1,C,Energy_production_and_conversion,0.8%,0.4%,0.8,0.4,1.0,ALTBGP6_03428,tier1:NCBI_PGAP_accession
phosphopyruvate_hydratase,WP_014975823.1,G,Carbohydrate_transport_and_metabolism,0.8%,,0.8,,,ALTBGP6_00955,tier1:NCBI_PGAP_accession
outer_membrane_beta-barrel_protein,WP_014947736.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,,0.7,,,ALTBGP6_00029,tier1:NCBI_PGAP_accession
