NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
TonB-dependent_receptor,WP_014999639.1,P,Inorganic_ion_transport_and_metabolism,7.1%,2.5%,7.1,2.5,1.5058909297299572,AMBLS11_15985,tier1:NCBI_PGAP_accession
elongation_factor_Tu_(tuf),WP_014999673.1,J,"Translation,_ribosomal_structure_and_biogenesis",4.9%,2.8%,4.9,2.8,0.8073549220576043,AMBLS11_16165,tier1:NCBI_PGAP_accession
MotA/TolQ/ExbB_proton_channel_family_protein,WP_014978639.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",3.1%,1.3%,3.1,1.3,1.253756592245783,AMBLS11_05325,tier1:NCBI_PGAP_accession
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.9%,0.7%,2.9,0.7,2.050626073069968,AMBLS11_05320,tier1:NCBI_PGAP_accession
isocitrate_lyase,WP_014999082.1,C,Energy_production_and_conversion,2.0%,2.4%,2.0,2.4,-0.2630344058337938,AMBLS11_13055,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,1.8%,1.2%,1.8,1.2,0.5849625007211562,AMBLS11_18940,tier1:NCBI_PGAP_accession
DUF3192_domain-containing_protein,WP_014997556.1,Unk,Unk,1.6%,0.9%,1.6,0.9,0.8300749985576877,AMBLS11_04495,tier1:NCBI_PGAP_accession
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014998325.1,C,Energy_production_and_conversion,1.6%,0.9%,1.6,0.9,0.8300749985576877,AMBLS11_08920,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_beta_(atpD),WP_015000144.1,C,Energy_production_and_conversion,1.5%,1.6%,1.5,1.6,-0.0931094043914814,AMBLS11_18930,tier1:NCBI_PGAP_accession
OmpA_family_protein,WP_014999868.1,M,Cell_wall/membrane/envelope_biogenesis,1.5%,0.8%,1.5,0.8,0.9068905956085184,AMBLS11_17365,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.4%,2.5%,1.4,2.5,-0.8365012677171207,AMBLS11_16405,tier1:NCBI_PGAP_accession
DUF839_domain-containing_protein,WP_014998732.1,R,General_function_prediction_only,1.3%,,1.3,,,AMBLS11_11110,tier1:NCBI_PGAP_accession
elongation_factor_G,WP_014997984.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,0.7%,1.1,0.7,0.6520766965796934,AMBLS11_06950,tier1:NCBI_PGAP_accession
TonB-dependent_receptor_plug_domain-containing_protein,WP_014997332.1,P!!!P,Inorganic_ion_transport_and_metabolism!!!Inorganic_ion_transport_and_metabolism,1.1%,0.5%,1.1,0.5,1.1375035237499351,AMBLS11_03230,tier1:NCBI_PGAP_accession
citrate_synthase,WP_014998320.1,C,Energy_production_and_conversion,1.0%,1.2%,1.0,1.2,-0.2630344058337938,AMBLS11_08885,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S9_(rpsI),WP_014948330.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.0%,0.3%,1.0,0.3,1.7369655941662063,AMBLS11_03520,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.9%,,0.9,,,AMBLS11_RS17290,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.8%,1.0%,0.8,1.0,-0.3219280948873623,AMBLS11_00250,tier1:NCBI_PGAP_accession
acyl_carrier_protein_(acpP),WP_012518211.1,I,Lipid_transport_and_metabolism,0.8%,,0.8,,,AMBLS11_07900,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.8%,0.8%,0.8,0.8,0.0,AMBLS11_01750,tier1:NCBI_PGAP_accession
succinate_dehydrogenase_iron-sulfur_subunit_(sdhB),WP_012518362.1,C,Energy_production_and_conversion,0.8%,0.7%,0.8,0.7,0.1926450779423961,AMBLS11_08905,tier1:NCBI_PGAP_accession
succinate--CoA_ligase_subunit_alpha_(sucD),WP_014998326.1,C,Energy_production_and_conversion,0.8%,0.4%,0.8,0.4,1.0,AMBLS11_08925,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,1.6%,0.7,1.6,-1.192645077942396,AMBLS11_17040,tier1:NCBI_PGAP_accession
porin,WP_014999660.1,Unk,Unk,0.7%,,0.7,,,AMBLS11_16095,tier1:NCBI_PGAP_accession
"6,7-dimethyl-8-ribityllumazine_synthase_(ribE)",WP_014998929.1,H,Coenzyme_transport_and_metabolism,0.7%,0.4%,0.7,0.4,0.807354922057604,AMBLS11_12180,tier1:NCBI_PGAP_accession
DUF481_domain-containing_protein,WP_014999240.1,M,Cell_wall/membrane/envelope_biogenesis,0.6%,0.3%,0.6,0.3,1.0,AMBLS11_13880,tier1:NCBI_PGAP_accession
polyribonucleotide_nucleotidyltransferase_(pnp),WP_044556961.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.6%,0.6,0.6,0.0,AMBLS11_08635,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.7%,0.6,0.7,-0.2223924213364478,AMBLS11_04555,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.7%,0.6,0.7,-0.2223924213364478,AMBLS11_16415,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.7%,0.6,0.7,-0.2223924213364478,AMBLS11_16355,tier1:NCBI_PGAP_accession
polysaccharide_export_protein,WP_014999108.1,M,Cell_wall/membrane/envelope_biogenesis,0.6%,0.3%,0.6,0.3,1.0,AMBLS11_13190,tier1:NCBI_PGAP_accession
phasin_family_protein,WP_014949994.1,Unk,Unk,0.6%,,0.6,,,AMBLS11_11670,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_B_(atpF),WP_014951452.1,C,Energy_production_and_conversion,0.5%,,0.5,,,AMBLS11_18950,tier1:NCBI_PGAP_accession
