NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
TonB-dependent_receptor,WP_061485087.1,P,Inorganic_ion_transport_and_metabolism,33.1%,4.4%,33.1,4.4,2.9112557881699206
"6,7-dimethyl-8-ribityllumazine_synthase_(ribE)",WP_014950088.1,H,Coenzyme_transport_and_metabolism,8.5%,,8.5,,
bacterioferritin_(bfr),WP_014949586.1,P,Inorganic_ion_transport_and_metabolism,5.4%,,5.4,,
porin_family_protein,WP_061484841.1,Unk,Unk,4.2%,,4.2,,
outer_membrane_channel_protein_TolC_(tolC),WP_049587315.1,M,Cell_wall/membrane/envelope_biogenesis,3.8%,,3.8,,
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,2.4%,2.0%,2.4,2.0,0.2630344058337938
TonB-dependent_siderophore_receptor,WP_061486950.1,P,Inorganic_ion_transport_and_metabolism,2.1%,,2.1,,
DUF839_domain-containing_protein,WP_061486042.1,R,General_function_prediction_only,1.9%,,1.9,,
polysaccharide_export_protein,WP_061486270.1,M,Cell_wall/membrane/envelope_biogenesis,1.8%,,1.8,,
aminopeptidase_PepB_(pepB),WP_061486687.1,E,Amino_acid_transport_and_metabolism,1.4%,,1.4,,
MotA/TolQ/ExbB_proton_channel_family_protein,WP_014975938.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.2%,0.5%,1.2,0.5,1.2630344058337937
ketol-acid_reductoisomerase_(ilvC),WP_014951396.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,1.1%,,1.1,,
glutamate--ammonia_ligase_(glnA),WP_014950588.1,E,Amino_acid_transport_and_metabolism,0.9%,0.6%,0.9,0.6,0.5849625007211562
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,0.8%,0.8%,0.8,0.8,0.0
DUF481_domain-containing_protein,WP_014950387.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,,0.7,,
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.5%,,1.5,
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
30S_ribosomal_protein_S20_(rpsT),WP_014950134.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S21_(rpsU),WP_012517258.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.2%,,2.2,
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.9%,,1.9,
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.8%,,1.8,
30S_ribosomal_protein_S9_(rpsI),WP_014975723.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.4%,,2.4,
50S_ribosomal_protein_L1_(rplA),WP_014951042.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L13_(rplM),WP_014948329.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L16_(rplP),WP_014947979.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.5%,,1.5,
50S_ribosomal_protein_L17_(rplQ),WP_012519212.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L2_(rplB),WP_061439206.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.4%,,1.4,
